"IDRSSD"	RCFD0010	RCFD0022	RCFD0070	RCFD0082	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0080	RCON0082	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BALANCES WITH BKS IN FGN COUNTRIES	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALANCES DUE FROM DEPOSITORY INSTITU	BALANCES WITH F. R. BKS (COML BK BOO	
179700						5531	1937	0	1740	1449	405	
180144												
180537												
180845												
181963												
182951												
183668												
183770												
183958												
184656												
184759												
185251												
185448												
185859												
186221						50967	2	0	6482	12391	32092	
186548												
186717												
186744												
187648												
187947						25725	12938	0	4660	597	7530	
188056												
188177												
188430												
188449						24270	0	0	0	24270	0	
188720												
188739												
188917												
189129												
189745						49779	0	0	2088	9023	38668	
189950												
190563												
190648												
190947												
190956												
191355						24959	253	0	1604	1748	21354	
191935												
192147						78601	0	0	4657	2831	71113	
192558						18443	2263	0	5524	5830	4826	
192651												
192857												
193162												
193247												
193537												
193649												
193809						11910	7218	0	3027	331	1334	
194440												
194570												
194936												
195111												
195157												
195456												
196752												
196800						32658	10782	0	4708	2086	15082	
197142												
197254												
197302												
197478	2784056	266437	1399058	125715	992846	2055737	137541	670739	128896	125715	992846	
197759												
198073												
198149												
198251												
198961												
199137												
199351												
199436												
199463												
200042												
200378						256059	15249	0	32839	42433	165538	
200435						186014	579	0	11298	1579	172558	
201254												
201834						130371	3112	0	5653	12212	109394	
202514												
202541												
202907						234213	124682	1725	79391	7570	20845	
203043						13390	2	0	3304	7658	2426	
203052												
203575												
204004						183929	0	0	51808	86606	45515	
204237												
204826												
205243												
205346												
205458												
205542												
206156												
206174												
206473												
206772												
206950												
207041												
207050												
207452												
207470												
207555												
207845												
207872												
208057						117506	3300	0	1110	4773	108323	
208244	807822	201579	339	92611	513293	807715	10821	232	190758	92611	513293	
208347												
208440												
208459												
208570												
208655												
208972												
209148						52859	0	0	3235	3479	46145	
209362												
209559												
209858												
210238												
210256												
210434	46150010	117792	22044660	31017	23956541	22096086	54206	47734	62589	31004	21900553	
210779												
211114												
211271						212187	3430	0	2585	4336	201836	
211338												
211851												
212018						18116	5229	0	1863	3972	7052	
212335						43296	84	0	3454	1911	37847	
212344												
212465	11770604	927019	153179	372495	10317911	11770604	453982	153179	473037	372495	10317911	
212522						40877	15600	0	19423	5268	586	
212577						121566	3	0	17416	32750	71397	
213471												
213538												
213912												
213958												
214106						67070	15698	0	3043	2939	45390	
214414						59815	13930	0	10721	11018	24146	
214722						26508	9261	0	4468	11917	862	
214807						17617000	41000	0	0	13000	17563000	
214843												
215345												
215354												
215653												
215662						26163	10683	0	4669	1757	9054	
215710												
216164												
216230												
216922						270561	65970	0	62077	19728	122786	
217059						16280	85	0	1584	11089	3522	
218131												
218261												
218850												
218878												
219044												
219651												
219679												
220059												
220527						155461	3	0	18948	16483	120027	
220844												
220974												
221775												
222156												
222558												
222754												
223322						435803	1682	0	17332	53223	363566	
223452												
223751												
223845												
224954												
225054												
225157												
225559												
225942												
226949												
227151												
227357												
227656												
227777												
228000												
228158												
228279												
228345												
229070												
229173												
229342												
229454												
229801						1117147	161005	92070	84868	115336	663868	
229913	1340362	0	8621	304746	1026995	1340362	0	8621	0	304746	1026995	
230423												
230610												
230759						92051	19572	3	58322	14154	0	
231279												
232847												
232856												
233031	16486000	2442000	23000	528000	13493000	16486000	1064000	23000	1378000	528000	13493000	
233246												
233358												
233442												
233527												
233554												
234355						66357	8026	0	12478	36828	9025	
234506						14223	44	0	3718	2580	7881	
234739												
234841												
235174												
235231												
235316												
235446												
235530												
235558												
235950												
236153						94359	3087	0	9652	51288	30332	
236256												
236603												
236706						108280	0	0	3247	2335	102698	
236957												
237066						402539	3592	0	12529	6876	379542	
237619						399352	37145	0	7872	1442	352893	
237954												
238139												
238250												
238737												
239556												
239613												
239659												
240954												
241009												
241157						18177	7584	0	8192	2212	189	
241559												
241607												
242257												
242444						86359	10166	0	10840	1340	64013	
242949												
242958												
242976						78425	2	0	3708	10851	63864	
243375												
243414												
243955												
244037												
244149						107906	136	0	3035	104735	0	
244158												
244251												
245016	256935	12232	178	11660	232865	256935	7677	178	4555	11660	232865	
245276						732721	11884	113	23907	245940	450877	
245351												
245557												
246022						9054	2473	0	1541	1583	3457	
246134						42152	0	0	6313	35267	572	
246451												
246657						107351	5443	0	5472	2507	93929	
246947												
246956												
247140												
247355												
247476												
247551												
247908												
248240						92943	0	0	8296	57978	26669	
248352												
248455												
248633												
248745												
249416												
249612						837959	4569	5601	19987	141236	666566	
249658												
250430												
250476												
250850												
251352						34775	4542	0	4652	3891	21690	
251558												
251745												
251978												
252041												
252452												
252658												
253356						59396	19416	0	6148	1221	32611	
253468						145316	25504	0	4738	4675	110399	
253646						7152	0	0	6463	689	0	
253730												
253776												
254317												
254504												
254849												
255350												
255547												
255556												
255574												
255659						197067	39245	0	29095	7626	121101	
256058												
256076												
256179												
256553						230856	23916	0	18642	119178	69120	
257233												
257345												
257578												
257653												
257756												
258146												
258306												
258379												
258445												
258539												
258771						51127	274	0	11973	13879	25001	
258874												
259059												
259330						36820	0	0	4439	2681	29700	
259442												
259956												
260055						274325	35405	0	60066	15031	163823	
260831												
261146						19932	3	0	943	16726	2260	
261360												
261940												
262059												
262237												
262358												
262741												
262844												
262956												
263243						29635	1	0	4936	5322	19376	
263627												
264455												
264772						896519	0	0	394	60918	835207	
265340												
265407												
265452												
265676												
266066												
266244												
266253												
266655												
266851												
266945												
267652												
268006						35685	13178	312	10921	1776	9498	
268136												
268677						95540	0	0	3219	452	91869	
268828						44138	0	0	3771	3095	37272	
268976												
269049												
269058												
269571												
269759												
270148												
270353												
270504												
270531												
270652												
271136												
271275						7268	1288	0	1116	370	4494	
271341												
271529												
272030												
272058												
272151												
272272												
272302						257750	7560	0	5356	36218	208616	
273336						414063	24362	0	5276	32404	352021	
273550												
273653												
273662												
273840												
273859												
274025												
274052												
274548												
274829						23821	17	0	3436	334	20034	
274856												
275255												
275358												
275479												
275657												
276074												
276159												
276551												
276579						1840184	594785	65502	371428	151524	656945	
276645												
276654												
276850												
276953												
277240												
277277												
277679												
277736												
277820												
278256												
278555												
278733												
278751												
278818						113010	21584	0	16492	8600	66334	
278872												
279105						103154	9088	0	3569	6798	83699	
279842												
279954						143367	434	0	2881	36271	103781	
280110	5201834	778594	65991	220500	4136749	5201256	59582	65413	719012	220500	4136749	
280138												
280352												
280558												
282075						143740	7837	0	3030	25636	107237	
282226												
282824												
283157												
283438						76876	0	0	4638	42769	29469	
283652												
283737												
283867												
284154												
284239												
284556												
284752												
284958												
285151												
285348												
285544												
285553												
285740						29478	28	0	3063	18278	8109	
285777												
285852												
285928												
286251												
286457												
286840												
287007												
287342												
287922												
287959												
288152												
288376						8640	12	0	1562	27	7039	
288853						317781	110820	0	58193	32041	116727	
289056												
289225												
289515												
289702												
289739												
289757												
290249						108181	7814	0	4421	58773	37173	
290838												
290922												
291059												
291330												
291376												
291611												
291732												
292234												
292467												
292850												
292908						21211	9565	0	4674	5950	1022	
293053												
293352												
293437												
293651												
293754												
294023												
294564						54676	20902	0	28018	1747	4009	
294751						37686	3608	0	12847	3079	18152	
294779						264377	8849	0	15959	23932	215637	
294827												
295011						108567	3029	0	3332	92664	9542	
295057												
295646												
296456												
296474												
296559												
296755												
296858												
297051												
297631												
297761												
298049												
298218												
298245						30478	1352	0	2122	3448	23556	
299868						44532	0	0	16	42223	2293	
300009												
300063												
300157												
300353												
300456												
300933						26946	4	0	3826	12003	11113	
300942												
300960												
301574												
301800						66317	4470	0	6234	43310	12303	
302030												
302133												
302553												
302656						92318	20	0	14722	9450	68126	
303653												
303701												
303747												
303952												
304173												
304520												
304575												
304762												
304913												
305059												
305077												
305237												
305442												
306056												
306140												
306159						18148	0	0	864	11841	5443	
306337												
306908												
307062												
307334												
307361												
307679												
307932												
308256												
308340												
308836												
309150												
309655												
309851												
310754												
310950												
310978						71673	3959	0	2427	40250	25037	
311050												
311144												
311256												
311265												
311603												
311658												
311845						585428	691	0	242080	81382	261275	
311939												
312244												
312356												
313009												
313157												
313223												
313577												
314257												
314444												
315656												
316840						750354	44735	0	46765	5059	653795	
316859												
316934												
317258												
317342						293764	0	0	31731	68033	194000	
317379												
317650												
318639												
318974												
319047												
319458												
319551												
320034												
320052						247423	3906	0	5560	4769	233188	
320070												
320119						537450	0	376033	2571	27473	131373	
321152												
321255												
321273												
321330												
321947						12384	1	0	4234	7924	225	
322449												
322476												
322551												
323204												
323651												
324153												
324229												
324256												
324340						51491	16930	0	9124	7284	18153	
324854												
324863						285095	20794	0	7984	11235	245082	
324975												
325141												
325459												
325534												
326054												
326344												
326858												
326979												
327220												
327305						33550	6421	681	5398	1040	20010	
327435												
327556												
327855												
328058												
328357						170361	1369	0	4001	159374	5617	
328656												
328777						74975	12979	0	3694	9953	48349	
329149												
329345												
329550												
329952						73437	2416	0	5000	18567	47454	
330239												
330248												
330855						36604	10581	0	11731	10026	4266	
330873												
330949												
331076												
331375												
331544												
331713												
332224												
332345												
332402												
332671												
332756												
333034												
333203						46409	9710	0	3631	14897	18171	
333650												
333856						100169	3	0	1981	30154	68031	
333940												
334264												
335346												
336147												
336361												
336576												
336950												
337340												
338646												
338851												
338945												
339072						35036	3393	0	891	1429	29323	
339353												
339456						48116	0	0	11987	6185	29944	
339607												
339773						52090	16389	0	21886	1131	12684	
339858						1682182	352956	17920	536508	18035	756763	
339876												
340135						55911	13366	0	13597	12532	16416	
340144												
340256												
340443												
340742						36454	2249	0	5290	391	28524	
340751												
341310												
342054												
342362						32232	4573	0	1845	4577	21237	
342410						67176	26317	0	7985	20118	12756	
342634						479637	127466	0	138354	14157	199660	
343051												
343248												
343770												
343903												
343958												
344647						23745	9113	0	4165	3939	6528	
344852												
345309						97668	10307	0	4150	32922	50289	
345345						15949	2986	0	913	1335	10715	
345747						20202	0	0	2380	5949	11873	
345756						42252	0	0	991	4439	36822	
345877												
346379												
346566												
346771												
347022												
347639												
347956						62737	2480	0	593	32951	26713	
348159												
348720												
349129												
349343												
350572												
350657												
350750												
351131												
351560												
351878												
352370												
352651												
352745												
352772						821921	125097	0	144293	175882	376649	
353238												
353546												
353555						1416775	69212	0	43771	150961	1152831	
353957												
354057												
354253												
354310						113038	47759	0	16631	10667	37981	
354552												
354851												
355120												
355559												
355858						21877	12053	0	4570	1383	3871	
356239												
356659												
356752												
357526												
357553												
357777												
357937												
358112												
358448												
358756												
359472												
359650												
359744												
360777												
361055												
361167						114096	53205	0	56010	1431	3450	
361279												
361354												
361439						23530	0	0	2123	7669	13738	
362043												
362155												
362717						10887	4960	0	4369	1421	137	
362856												
362940												
363442												
363648												
363657						10010	3630	0	2844	791	2745	
363778												
364131												
364270	76031	2667	0	1278	72086	75586	0	0	2222	1278	72086	
364430												
364850												
365325						1354590	119189	0	153056	117928	964417	
365745												
365848												
365950												
366078												
366238						47153	0	0	22650	23583	920	
366247												
366359												
366658												
366854												
367150												
367178												
367431												
367543												
368054												
368344												
368522												
368933												
368951												
369453												
369659												
370020												
370347												
370721												
370833												
370954												
371223												
371232												
371362												
371559												
371755												
371849												
371924												
371942												
372444												
372538												
372640												
372855												
373272												
373553												
373601						277017	0	0	1018	210508	65491	
374130												
374653						192869	15059	0	142503	21380	13927	
374774												
375043						30095	6831	0	14508	2183	6573	
375379												
375502												
375566												
375650												
376237												
376273						428856	37	0	11514	70079	347226	
376442						19797	5719	0	1542	9827	2709	
376947												
377663												
377850												
378044												
378110												
379050												
379153												
379470												
379649												
379920						2285341	252042	34246	165111	185541	1648401	
380346												
380458												
380533												
380878												
380944												
381026												
381343						257081	8338	0	10578	44030	194135	
381932												
381950												
382050						30242	15	171	3566	7754	18736	
382069						16939	2680	0	10796	3463	0	
382256												
382274												
382443												
382537												
382649												
382658												
382742												
382854												
384018												
384278						98696	18293	0	11648	10993	57762	
384353												
384652												
384830												
385350												
385471												
385547												
385686												
386432												
386450						31321	539	0	984	14342	15456	
386731												
386825												
387055												
387671												
388155												
388258												
388557												
388744												
388753												
388874												
389358												
389376												
389826												
390372												
390840												
391418												
391557												
391575	93008	5737	0	14166	73105	91129	69	0	3889	14066	73105	
391959												
391977												
392152												
392255												
392778												
393252												
393355												
393953												
394156												
394259						6653	1843	0	3312	1498	0	
395238						1794317	191996	0	195633	145940	1260748	
396057												
396244						10260	2	0	5497	532	4229	
396253												
396954												
397456												
397531												
397540						131955	24268	0	12545	14660	80482	
397559												
397755												
397858												
398051												
398248						25553	0	0	2658	1743	21152	
398668	497096	0	0	53191	443905	497096	0	0	0	53191	443905	
398837												
399357												
399517						205673	34298	0	14513	3706	153156	
399731												
399973												
400057												
400141												
400365												
400767												
401072												
401559												
401755												
401906												
401951												
402846												
402873												
403067												
403151						91157	51310	0	12708	11202	15937	
403179												
403254												
403656												
403870												
403946												
404653												
404943												
406022												
406059												
406666												
406974												
407168												
407506												
407645												
407850												
408307						5662	2403	0	1900	811	548	
408642												
408875												
409265												
410159												
410560												
410748						39239	1194	0	965	48	37032	
410917												
410944												
411062												
411174												
411231												
411240												
411512						26708	6790	0	2343	1817	15758	
411549												
