"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON3545	RCON3548	RCON8492	RCON8495	RCON8496	RCON8499	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	RCONHT71	RCONJA22	RCONJF75	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	TOTAL TRADING ASSETS	TRADING LIABILITES	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	Total loans held for trading	Equity securities with readily deter	Total amount of fair value option lo	
31835	0	10552					1917	2210	42784					0	0	0			2210	11494	0	0										0		
32234	15354	14341					2447	177708	62659					0	0	0			126162	3007	0	0										0		
32766	0	0					1939	0	0					47000	0	0			0	0	0	0										0		
32971	0	10515					1265	1	62545					7500	0	0			0	37465	0	0										48		
33147	0	2416					810	0	15991					0	0	0			0	1802	0	0										0		
33259	0	119530					1978	1405	176347					18000	0	0			0	2824	0	0										0		
33268	0	27487					0	0	88188					0	0	0			0	33433	0	0										0		
33370	0	0					355	54	0					3445	0	0			0	0	0	0										0		
33839	0	1234					79	0	12635					1750	0	0			0	2682	0	0										0		
33857	0	15214					9384	0	104231					174343	0	0			0	35476	0	0										0		
34434	1990	7174					1034	9214	69425					0	0	0			7224	15420	0	0										0		
34537	0	184					40024	774706	1860734					0	0	0			0	28054	0	201178										8202		
34555	0	44223					4424	0	139884					1799	0	0			0	43450	0	0										0		
34742	0	5808					2755	2383	58450					22000	0	0			0	15633	0	0										0		
35057	0	4061					882	0	13364					0	0	0			0	4676	0	0										39		
35301	11621000	7645000	239000	215000	10000	18000	405000	58412000	27571000	1910000	214294000	0	200189000	3000000	4509000	1877000	16000	0	0	924000	600000	4250000	19442000	328000	20569000	9075000	4219000	1133000	2296000	8233000	0	5000	0	
35646	0	1948					1449	0	33637					0	0	0			0	21837	0	0										0		
35879	11762	25832					1076	40781	59584					13380	0	0			0	13415	0	0										0		
36456	499	3090					292	499	45807					0	0	0			0	12730	0	0										0		
36933	0	0					165	0	61017					0	0	0			0	22564	0	0										0		
37051	0	0					173	0	1519					2000	0	0			0	1019	0	0										9		
37341	0	0					555	0	5195					6400	0	0			0	3846	0	0										12		
37435	0	0					1141	68333	415736					0	0	0			9242	30853	0	0										0		
37640	0	0					15106	0	1695370					27908	10554	10352			0	771994	0	43455										0		
37659	0	497					47	4849	504					0	0	0			4849	0	0	0										0		
37949	0	12834					346	0	139819					6600	0	0			0	58417	0	12102										0		
38740	0	0					1850	0	93631					4000	0	0			0	23618	0	0										0		
39327	17901	1763					467	35412	168803					0	0	0			2778	24927	0	0										0		
39756	0	69117					674	0	172984					11091	0	0			0	60174	0	4604										0		
40033	0	3567					309	4	20107					0	0	0			0	5466	0	0										0		
40499	0	0					17383	15000	304852					345685	29243	29243			0	0	0	0										0		
40855	0	9820					773	0	19162					8248	0	0			0	8342	0	0										0		
41553	0	0					343	21472	50002					0	0	0			20961	0	0	0										0		
41629	0	28674					2116	0	76325					2519	0	0			0	16067	0	0										0		
41825	0	0					2281	102704	39352					53000	23	0			28506	7048	0	0										0		
