"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJ461	RCFDJ462	RCFDJA29	RCFDJF76	RCFDK183	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCFNK260	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJ461	RCONJ462	RCONJA29	RCONJF76	RCONK169	RCONK170	RCONK171	RCONK172	RCONK173	RCONK174	RCONK175	RCONK176	RCONK177	RCONK183	RCONK187	RCONK188	RCONK189	RCONK190	RCONK191	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL58	RCONLL59	RCONLL60	RCONLL61	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
565536																																		2691	0	6500	2596	95	8500		0	0	0	0	0	2103	1	95			0	6500	1000	1000	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																						
565750																																		1393	14740	0	0	1393	8000		14440	122	0	0	178	1987	1	2163			0	0	8000	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																					http://www.bankofwashington.com	
565844																																		0	0	0	0	0	0		0	0	0	0	0	382	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					0	0	0	0	0	0	0	0																					WWW.GOSTATEBANK.COM	
566056																																		931	0	219	485	446	234		0	0	0	0	0	343	0	481			0	219	0	0	15	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																						
566243																																		0	0	0	0	0	892		0	0	0	0	0	660	1	0			0	0	0	0	892	0	0	0	0	0	0	0					16	0																					0	0	0	0	0	0	0	0																					https://www.glenwoodstatebank.com	
567240																																		0	5	20	0	0	7392		5	0	0	0	0	200	0	0			0	20	711	594	6067	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																						
567679																																		763	0	0	0	763	422		0	0	0	0	0	1712	0	763			0	0	0	0	0	0	0	0	0	422	0	0					0	0																			1	true	0	0	0	0	0	0	0	0																						
567736																																		0	200	0	0	0	0		200	0	0	0	0	929	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																					http://www.farmers24.com	
568126																																		0	0	1516	0	0	2572		0	0	0	0	0	988	0	0			0	1516	242	379	435	0	0	0	0	0	0	0					0	0																					0	0	0	0	0	0	0	0																						
568135																																		750	265	10000	0	750	22000		0	265	0	0	0	500	0	750			0	10000	2000	0	10000	0	0	0	0	0	0	0					15	0																					3	1458	0	0	0	0	0	0																					http://www.holcomb.bank	
568359																																		5330	0	49000	4478	0	84000		0	0	0	0	0	2136	2	0	false	0	0	49000	23000	12000	0	0	0	0	0	0	0	0	true	false	0	0		852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					3	175	0	0	0	0	0	0																					www.americanbankofmissouri.bank	
568377																																		0	0	3000	0	0	3000		0	0	0	0	0	428	0	0			0	3000	0	0	0	0	0	0	0	0	0	0					0	0																			1	true	0	0	0	0	0	0	0	0																						
568470																																		28975	0	37000	22615	1171	56174		0	0	0	0	0	5334	1	1784	true	0	19174	37000	0	0	0	0	19174	0	0	0	0	0	true	true	0	0		5189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					3	226	0	0	0	0	0	0																					http://www.ibankpeoples.com	
568939																																		0	1805	0	0	0	0		1805	0	0	0	0	3055	1	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					11	240	0	0	0	0	0	0																					http://www.fnbop.com	
570558																																		0	0	0	0	0	0		0	0	0	0	0	95	0	0			0	0	0	0	0	0	0	0	0	0	0	0						0																					0	0	0	0	0	0	0	0																					http://www.arrowheadbanktexas.com	
