"IDRSSD"	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG422	RCONG423	RCONG427	RCONG428	RCONG432	RCONG433	RCONG437	RCONG453	RCONG457	RCONG458	RCONG462	RCONHT72	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
	STNDBY LTRS OF CRD ISSD BY FHLB BK B	1-4  FAM RES CNSTRCTN LN COMMITMNTS	CMRL RE OTHR CNSTRCTN LN & LND DEV L	NTL AMT REG CAP CVRD MRR SL PRTC	NTL AMT REG CAP CVRD MRR PURC PRTC	NTL AMT REG CAP OTHR SL PRTC	NTL AMT REG CAP OTHR PRTC REG CAP	NTL REG CAP OTHR PRTC NOT REG CAP	NTL SL CR PRTC INV MAT LE 1 YR.	NTL SL CR PRTC INV MAT 1T5 YR	NTL SL CR PRTC INV MAT GT 5 YR	NTL SL CR PRTC SUBINV MAT LE 1 YR.	NTL SL CR PRTC SUBINV MAT 1T5 YR	NTL SL CR PRTC SUBINV MAT GT 5 YR	NTL PURC CR PRTC INV MAT LE 1 YR.	NTL PURC CR PRTC INV MAT 1T5 YR	NTL PURC CR PRTC INV MAT GT 5 YR	NTL PURC CR PRTC SUBINV MAT LE 1 YR.	NTL PURC CR PRTC SUBINV MAT 1T5 YR	NTL PURC CR PRTC SUBINV MAT GT 5 YR	OTC DRVT CR EXP BK & SCTY FIRM	OTC DRVT CR EXP CORP OTHR CNTRPRTY	OTC FV CSH USD BK & SCTY FIRM	OTC FV CSH USD CORP OTHR CNTRPRTY	OTC FV CSH OTHR CUR BK & SCTY FIRM	OTC FV CSH OTHR CUR CORP OTHR CNTRPR	OTC FV US TREAS SCTY BK & SCTY FIRM	OTC FV US TREAS SCTY CORP OTHR CNTRP	OTC FV OTHR CLTRL BK & SCTY FIRM	OTC FV OTHR CLTRL CORP OTHR CNTRPRTY	OTC FV TOTAL FV CLTRL BK & SCTY FIRM	OTC FV TOTAL FV CLTRL CORP OTHR CNTR	Unused commitments, Revolving, open 	UNUSED CNSMR CR CARD LINE	OTHR UNUSED CNSMR CR CARD LINE	OTHR UNUSED CMTMT CMRL IND LN	OTHR UNUSED CMTMT LN FNCL INST	OTHR UNUSED CMTMT ALL OTHR	1ST CP OF OT OFF BALANCE SHEET LIABI	2ND CP OF OT OFF BALANCE SHEET LIABI	3RD CP OF OT OFF BALANCE SHEET LIABI	1ST ITMZD&DESCRPTN LINE CPNT OF 5591	2ND ITMZD&DESCRPTN LINE CPNT OF 5591	3RD ITMZD&DESCRPTN LINE CPNT OF 5591	4TH ITMZD&DESCRPTN LINE CPNT OF 5591	
61122	2500	21596	35148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																131295	0	4220								
61355		9580	36844																																	94527	0	17876								
61476		16314	23492																																	5306	0	52187								
61757	0	2794	26979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																25887	0	2597								
61832		2999	3083																																	11524	0	4210								
61953		891	1127																																	1416	0	0								
62044		12543	3229																																	8986	0	3418								
62110		0	0																																	0	0	0								
62147		3254	1619																																	514	0	2343								
63050		12613	15839																																	4197	0	1769								
63069																																														
63201		2994	4050																																	8592	0	4695								
63573		56664	22863																																	7778	0	29								
63733	0	34116	41720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																19857	0	69968								
64150		5366	194																																	9279	0	15383								
64552	80825	6003	5057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																4595	0	3971								
64730		1635	34287																																	135	0	2929								
65205		1641	41051																																	5766	0	3291								
65513																																														
65559	0	12133	9071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																36171	0	38326								
65858		175655	159680																																	140295	0	93521	N/A	N/A	N/A	N/A	N/A	N/A	N/A	
66154		6948	6825																																	24698	0	5514								
66275		4584	18458																																	38456	0	35943								
66677	0	3426	423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0	0	11550								
67142		5218	1974																																	2011	0	3916								
67151		58542	78629																																	54252	0	7265								
67209		47324	73381																																	33396	0	21014								
67254		0	0																																	0	0	0								
67656	0	10423	74145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																19722	0	23794								
67870		7680	14494																																	11082	0	1948								
68671		691	0																																	0	0	0								
68756	0	26748	34117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																105500	0	53434								
68831		2487	6584																																	2840	0	3344								
69333	0	21876	41758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																116770	2804	6746								
69678		2345	28648																																	49604	0	19482								
70218	0	0	1287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																537	0	69								
70414		531	3704																																	34838	0	46875								
70638		1162	1716																																	1809	0	33812								
70955		0	0																																	0	0	300								
71073		2917	1066																																	1549	0	22235								
71457		0	25678																																	19757	0	67451								
71859		0	0																																	515	0	989								
72258		103	2017																																	15288	0	12263								
72351		158	38																																	1053	0	686								
72454		1128	1138																																	6078	0	6747								
72678		1111	1470																																	130	0	3185								
73116		16356	36818																																	23611	0	480								
73152		0	284																																	562	0	5130								
73554		1534	6926																																	9379	0	34896								
73956		0	83																																	1619	0	450								
74056		0	59300																																	2093	0	70419								
74140	0	5085	38431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																146672	5000	54731								
74403	50950	25396	38924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																83192	0	16091								
74449		173	0																																	31	0	236								
