"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RCONPR04	RCONPR05	RCONPR06	RIADG377	
1669																																																																0	4611		7665			31478	0		462	289132	0	0	0	122977	3620		42119	1592	3895	677	5199	23799	87814	17807	28016	13792	33651	24666	48151				0	0					31392	3304	60775	3876							240														0				0		0	45		9515													9412			CONF	CONF					
1856																																																																1915	1917		3066			2684	0		0	24484	0	0	0	5698	0		7445	1713	2839	255	15	458	417	6168	7763	1674	2377	807	0				0	0					1415	1855	1018	2183							0														9185				0		0	9		571													2153			CONF	CONF					
2161																																																																9920	6019	0	766	17417	0	17417	0		0	210341	0	0	0	88696	324	86876	15126	1151	13976	37349	31520	3216	1485	3618	17229	46080	36979	16971	159	0	0	0	417	83	0				2350	25677	29617	26511	0	0				495	0														101187				1114	321	0	321	0	761	0	0	0	168	0	451	0	0	0	0	0	0	1462	451	0	CONF	CONF					
2732																																																																0	286421		0			26530	2584		0	576188	514	0	4628	35206	47		60380	2470	1849	14062	16825	0	0	59660	46211	179688	245486	10094	1				0	0					1800	37646	30087	156226							0													0	286305				0		0	69		2													84			CONF	CONF				0	
2750																																																																5520	0		22439			3965	0		0	46617	0	0	0	992	6		26175	33	304	382	272	0	0	22122	5034	7426	8048	2072	924				0	57					0	1918	754	7284							0													0	20793				0		0	2889		431													362			CONF	CONF				0	
3252																																																																40878	1022		52079			9453	0		2603	120571	0	99	0	0	0		0	0	0	0	0	0	0	38511	57378	8479	9891	4968	433				0	0					0	349	0	7771							0														51678				0		0	658		1519													4140			CONF	CONF					
3458																																																																12161	385		4218			3513	0		0	48566	0	123	0	12618	101		7421	234	826	6488	4676	394	0	2407	4023	8624	11499	8750	0				0	0					795	0	6033	5877							0													0	19810				0		0	0		1673													1069			CONF	CONF				0	
3720																																																																10815	1362		3676			27753	1462		3910	188426	0	0	0	42110	1187		28191	1281	1907	7240	19753	8653	3212	12025	15821	39065	66553	12834	0				0	237					2265	8642	33449	42217							0														92489				0		56	93		3782													5410			CONF	CONF					
3971																																																																13050	53135		4621			192697	37262		0	838216	0	31278	5486	69534	1772		244035	1217	7828	9855	8397	8016	33825	169147	74888	165584	249899	80002	14735				0	443					6545	68786	73403	229202							320														271934				7077		0	151		396													55941			CONF	CONF					
4156																																																																21210	3482		5821			17866	7435		0	194443	0	0	0	68711	571		27745	1148	2257	4403	8033	27869	24999	20784	11472	18066	19743	32285	23295				0	0					2501	340	52862	10716							0														50505				0		0	0		1842													1086			CONF	CONF					
4231																																																															0	1953	874		1197			2211	0		957	45167	0	0	0	11620	65		10212	300	1403	3636	5809	446	0	965	7544	19075	5601	182	0				0	0					394	2146	10294	10509							0														0				0		0	56		956													1935			CONF	CONF					
5069																																																																4450	5643		0			4210	4526		0	465684	2867	0	0	73535	0		369636	63034	0	0	0	0	0	266035	45711	83270	0	0	0				0	0					38041	75500	73674	188972							0														91628				0		0	0		0													0			CONF	CONF					
5135																																																															0	87834	2511		113126			41226	0		4712	412149	0	0	0	67242	1512		271479	8939	13712	31185	10898	1604	76	112081	137557	79693	7163	2971	1586				751	0					5492	10167	47775	19076							0														32139				1787		0	65		3638													7022			CONF	CONF					
5210																																																															0	92431	64310		8741			79803	88687		65115	1615966	0	0	0	338245	46059		126252	10865	36500	58142	70076	85521	76799	221413	80999	276100	427459	261922	7623				0	2712					21149	65359	297100	438524							777														1213092				0		0	368		449													6914			CONF	CONF					
5461																																																																36551	73073		8505			21089	3319		0	427338	312	0	4980	34643	527		26282	1469	344	6461	10043	8477	7848	23568	25077	61137	144538	138530	154				0	24					470	2507	61763	181544							0													0	364342				0		0	1246		132													2257			CONF	CONF				0	
5751																																																																30366	3742		24110			31016	2158		2273	161704	0	0	0	30222	115		33804	1731	3913	3061	1423	7980	12114	39878	11252	18059	19485	27654	15031				0	13					918	1108	21637	9638							0													0	19220				19		0	55		3448													885			CONF	CONF				0	
6039																																																																40031	1369	0	6208	25091	0	25091	512		795	309799	0	0	0	68622	254	11158	97468	1928	4109	13406	16648	10468	21899	23555	68197	90596	41922	13782	2382	0	0	0	559	150	0				6592	26367	59347	65929	0	0				105	0														11195				105	1854	0	1854	0	926	0	0	0	0	0	0	0	0	0	0	0	0	5193	0	0	CONF	CONF					
6329																																																																3054	28344	0	704	103809	0	103809	11438		1466	1385436	0	0	0	267771	7702	917	194016	7869	12980	70717	172984	2032	84	71292	117499	243373	514800	160976	2488	0	0	0	0	1306	0				61858	170790	150754	114478	0	0				0	382													577	127558				0	546	0	546	0	367930	0	0	0	0	0	0	0	0	0	0	0	0	93486	0	66	CONF	CONF				0	
7009																																																															0	0	0		0			51006	0		0	272907	0	0	0	0	0		267532	0	0	0	0	0	0	267532	0	3619	1756	0	0				0	0					0	0	0	0							0														0				0		0	8958		0													212943			CONF	CONF					
7045																																																															0	8911	0		5040			6136	575		665	111369	0	0	0	61387	209	29565	5306	332	814	585	4552	12231	42578	1899	5660	9822	10905	12179	8755				451	9					1513	0	3025	8375						0	0														55557				367		0	0	0	7299	0	0	0	0	0			367	0	0	0	0	7774	0	0	CONF	CONF					
7072																																																																4460	21917		126			27796	7583		0	312954	0	0	0	178254	3879		19801	7087	14396	2442	4405	42327	106741	27464	2648	10358	13678	39716	40837				0	1249					4223	8356	21260	32657							381														128685				1604		0	0		0													1194			CONF	CONF					
7456																																																															0	15086	0		37035			14186	0		65	82150	0	0	0	4715	36		41158	117	460	2039	2099	0	0	38757	3538	12473	19717	1580	1370				0	4					1314	226	1896	5530							0														54345				0		0	19		1375													663			CONF	CONF					
7634																																																																2296	411		8109			9495	0		0	61936	0	0	0	17239	681		15083	326	1322	6607	5258	3619	0	3711	9768	14885	11333	3655	1298				0	0					1205	2307	1620	8172							0														1256				0		0	46		1115													9240			CONF	CONF					
8462																																																																9395	0		15325			15997	0		0	75033	0	0	0	14698	366		13164	5	327	0	6896	2035	5435	15094	12031	6336	16934	5147	4793				0	0					0	314	4382	2208							0														0				0		0	0		7853													4495			CONF	CONF					
8631																																																																120	0		177			4803	0		972	37812	0	0	0	19316	590		1484	106	88	771	796	5552	11884	1002	339	2867	4078	7767	2443				0	0					0	1328	284	7451							0													0	0				53		0	13		1366													1392			CONF	CONF				0	
9357																																																																0	28753		0			130825	1399		0	335742	0	24397	0	60	76		160577	0	0	0	0	60	0	129281	40610	40077	84361	31457	8942				0	1393					0	0	33012	31964							0													0	178463				0		82883	303		47													630			CONF	CONF				0	
9553																																																																52932	2184		49161			11553	0		0	134713	0	0	0	10976	39		44576	188	1036	1366	5877	2349	160	44250	5343	15141	26426	25921	6656				0	0					406	0	3030	567							0														81590				0		0	2569		808													488			CONF	CONF					
9807																																																																0	567544	0	0	25111	0	25111	26761		0	1713146	1628	0	0	216011	24319	55337	471608	9692	6237	27593	25094	65564	80415	284298	171381	386038	416815	236512	386	0	0	0	0	13	0				54078	282066	96289	421072	0	0				0	1345													0	583933				0	1177	0	1177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	333	0	1705	CONF	CONF				0	
9955																																																																19151	3031		1647			14588	2765		0	106765	0	10279	0	14243	476		48924	64	2001	8943	3160	75	0	26818	20042	28893	13596	3182	0				0	0					661	0	1729	37730							0														35101				0		0	18		359													88			CONF	CONF					
10250																																																																1069	18543		0			102333	17695		0	369376	0	0	0	65512	3401		29519	1335	1440	4475	16295	25225	16383	21745	15750	60931	138087	67348	0				0	249					5286	19678	77318	42728							80														157993				0		0	15		9761													5788			CONF	CONF					
10849																																																															0	23552	11879		12787			12631	482		2197	208297	28	0	0	49651	121		21265	3538	7535	28513	8363	1702	0	5232	45893	66978	31605	6928	2037				0	0					5206	10447	39246	35419							0														0				0		0	3192		601													914			CONF	CONF					
11145																																																																2448	515	0	10	22418	0	22418	8352		2526	256737	0	0	0	58702	1299	4749	24914	2176	3898	7399	15802	16637	12632	27959	7890	33177	67175	61072	561	0	0	0	0	11	0				3008	8289	53346	24818	0	0				418	0													0	108052				1032	0	0	0	0	10498	0	0	0	343	21	0	0	250	250	0	0	0	60497	0	0	CONF	CONF				0	
11640																																																															0	20248	59		66162			28149	3094		0	242214	0	0	0	32824	1040		108708	2553	6537	3016	7165	5718	7835	74903	45212	12268	31867	22903	19932				0	0					5675	38119	13663	24339							0														92252				17		0	131		6142													2569			CONF	CONF					
11837																																																																1810	7756		50			2007	1435		2611	64296	139	0	0	21689	101		13574	988	3048	9744	5003	2239	667	4097	7146	17253	5959	8291	0				102	0					462	1598	4405	18456							0														734				0		33	30		372													1518			CONF	CONF					
12030																																																															0	50266	11091		2598			34663	0		1	389365	0	0	0	81558	430		77059	2018	7866	27595	8384	33119	2576	35607	85429	135001	30500	19243	2027				899	233					1874	21608	107114	46639							0														0				0		0	884		14854													14653			CONF	CONF					
12142																																																																6288	8520		6448			30995	1524		0	154449	0	123	0	44283	1668		42322	2266	5318	12636	22953	1110	0	5941	28797	26527	34905	12970	1024				0	0					1940	3572	1347	28466							0													0	0				365		0	0		5788													13487			CONF	CONF				0	
12311		78580	3114670	7104024	168538	33200341	1108180	7497551	0	720746	121373841	0	640386	25962698	337452	18406320	58343680	1204671	6749736	12145988	12630086	3828489	0	4030	80	0	298780	726435	517704	10334	7928			449510	1799795	5700176	8429337	0	4906518													101537574	447262	0	12865843	173105	0	13639	0	0	0	6382853		78580	3114670	81145	168538	33118121	334641		7497551	0	720746	120518082	0	4906518		25962698	337452	13123651		375886	456550	710503	1565575	13775051	8995459							4030	80	298780	726435	517704					449510	1799795	5700176	8429337						33242	52665													0						626355	6396524			12865843	325	32663	104742	12682	76864				0				6382853		520208	CONF	CONF				0	
12647																																																																17307	10043		12280			11270	820		2177	115568	0	0	0	23916	190		15700	4671	6546	4362	3731	3962	401	21047	26332	13722	10926	18287	329				311	23					864	2647	5701	27784							0														90794				0		0	4		22													209			CONF	CONF					
12946																																																																118257	55247		19478			319069	0		5362	1929368	0	0	0	357529	11798		398774	17520	27943	132305	121320	31912	23670	399209	152185	471402	350324	184941	6827				2727	0					39740	229496	241574	459918							45													0	1073795				0		0	906		10450													57817			CONF	CONF				0	
13103																																																																0	163210	0	227	154673	0	154673	43332		0	2380027	0	0	0	880141	13984	159404	34785	33041	6863	11065	44548	189162	593264	278820	41175	184744	417978	341635	223380	0	0	0	0	58	0				18725	97253	317513	361433	0	0				1843	0														1264803				4615	804	0	804	0	322344	0	0	0	0	1261	1508	0	3	0	0	0	0	6330	1508	1460	CONF	CONF					
13251																																																																3193	0		2096			5841	0		0	47105	0	0	0	17409	1843		11676	457	1826	5643	8120	0	832	6192	3201	7758	11292	689	249				0	0					0	826	574	9456							0														0				569		0	0		3177													2690			CONF	CONF					
13457																																																																4489	0		6743			2358	0		0	14953	0	0	0	0	0		7238	0	0	0	0	0	0	8197	1374	1352	2096	741	1193				0	0					628	0	434	0							0													0	0				0		0	0		133													168			CONF	CONF				0	
14155																																																															0	65987	2428		34303			19033	3433		35	294278	0	0	14607	78949	910		103933	3837	12064	21873	28113	7169	5894	30318	58133	39843	77485	9331	50				0	0					27342	15029	19573	19727							0													0	186846				0		0	419		2973													4137			CONF	CONF				0	
14650																																																																216	0		344			14532	0		0	50088	0	0	110	5329	68		6879	0	934	95	2139	471	1629	1381	8101	7635	7573	19597	471				0	6					0	299	1041	14736							0														12190				0		0	14		1614													11889			CONF	CONF					
14753																																																																6308	0		16743			2895	0		292	29629	0	43	0	1075	0		10430	16	115	75	328	541	0	3699	7322	3126	6335	7873	199				0	0					0	0	1237	272							0														0				0		0	0		484													280			CONF	CONF					
14865																																																																139129	6465		161069			66602	571		8996	520271	0	0	0	23394	2315		172089	681	2170	3544	6666	4608	5572	168414	29335	38615	71710	83859	101711				1340	950					12549	11524	46355	37648							0														139378				0		0	20		263													1081			CONF	CONF					
14977																																																															0	7669	0		14769			4235	0		0	45938	7	0	0	9134	66	4181	12559	279	555	304	619	5726	1651	16176	1493	2896	6583	9494	169				0	0					0	0	2244	2808						0	0														0				0		0	1	0	3040	0	0	0	0	0			0	0	0	0	0	1979	0	0	CONF	CONF					
16551																																																																4051	18631		8050			25334	11727		1161	302395	0	865	0	96173	3026		24390	4607	2487	17781	29522	36545	4972	20137	11213	47598	50321	67019	9675				518	63					8479	73500	12395	25379							0													0	86525				278		0	0		3240													9803			CONF	CONF				0	
17110																																																																0	0		0			7135	0		0	79997	0	0	0	0	0	0	44409	0	0	0	0	0	0	79997	0	0	0	0	0				0	0					0	0	0	0						0	0														12779				0		0	7736	0	0	0	0	0	0	0			0	0		0	0	65126	0	0	CONF	CONF					
17147																																																															0	154667	700829	0	79171	3490953	0	3490953	589966		934252	12302394	0	0	0	2285807	19386	1086194	1683169	91293	17254	79699	112467	316117	1648733	5977693	338611	827838	1020444	818333	1000809	0	0	0	0	39039	8109				185399	836862	1153707	1659767	0	0				535	4189														2065878				47368	32555	0	32555	0	70584	0	13	3517	13157	14248	15864	0	34	34	0	0	0	69450	15864	532	CONF	CONF					
17259																																																																5117	0		1399			2614	0		1438	43665	28	227	0	11188	21		6660	948	946	2659	5669	824	141	7405	995	15035	5079	2861	1130				0	0					975	0	15717	1360							0														18197				4		0	5		917													2715			CONF	CONF					
17950																																																																86782	567		46492			33705	5988		825	345927	0	346	173	71612	1777		60165	915	4173	15775	25990	19502	5244	26637	48696	64427	73261	48408	11834				0	125					5679	18202	41776	17360							0													0	130733				78		0	122		5535													9034			CONF	CONF				0	
17978																																																																652	3500		0			0	859		0	147268	0	0	0	110788	2509		8454	470	612	355	579	14321	94451	1747	5625	669	684	5925	21830				0	4					13218	4945	2113	7131							27														110788				0		0	0		990													559			CONF	CONF					
18050																																																																78282	6219		1699			10549	4166		3114	523028	0	0	342	127821	2613		67998	12846	29530	38358	37094	6035	3680	46039	76474	106038	79637	30119	56505				0	0					4567	76977	91622	102399							261													0	506915				0		0	143		3129													9728			CONF	CONF				0	
18827																																																																7607	235073		1153			126357	26784		60214	1750614	0	0	0	402073	11187		113338	13100	6144	38915	48093	107228	186444	573639	141129	215604	246174	150047	21764				0	1348					5232	128592	132958	398795							1105														628648				0		1357	3429		908													207547			CONF	CONF					
