IDRSSD,RIAD0093,RIAD3196,RIAD3521,RIAD4010,RIAD4012,RIAD4020,RIAD4024,RIAD4056,RIAD4058,RIAD4059,RIAD4060,RIAD4065,RIAD4069,RIAD4070,RIAD4073,RIAD4074,RIAD4079,RIAD4080,RIAD4092,RIAD4093,RIAD4107,RIAD4115,RIAD4135,RIAD4150,RIAD4172,RIAD4180,RIAD4185,RIAD4200,RIAD4217,RIAD4300,RIAD4301,RIAD4302,RIAD4313,RIAD4340,RIAD4435,RIAD4436,RIAD4507,RIAD4508,RIAD4513,RIAD4518,RIAD5415,RIAD5416,RIAD8431,RIAD8757,RIAD8758,RIAD8759,RIAD8760,RIAD9106,RIADA220,RIADA251,RIADA530,RIADB485,RIADB486,RIADB487,RIADB488,RIADB489,RIADB491,RIADB492,RIADB493,RIADB496,RIADB497,RIADC216,RIADC232,RIADC386,RIADC387,RIADC886,RIADC887,RIADC888,RIADC889,RIADC890,RIADF186,RIADF551,RIADF552,RIADF553,RIADF554,RIADFT28,RIADFT36,RIADFT37,RIADFT38,RIADFT39,RIADFT40,RIADG103,RIADG104,RIADGW44,RIADH032,RIADH033,RIADH034,RIADH035,RIADHK03,RIADHK04,RIADHT69,RIADHT70,RIADHT73,RIADHT74,RIADJJ33
5278251.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2000.0,0.0,0.0,28000.0,15000.0,54000.0,29000.0,0.0,15000.0,25000.0,69000.0,17000.0,10000.0,245.0,,0.0,0.0,0.0,0.0,44000.0,58000.0,14000.0,0.0,44000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,false,0.0,0.0,0.0,1000.0,49000.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,,0.0,44000.0,,,,,,0.0,0.0,58000.0,0.0,,,0.0
5303724.0,978.0,0.0,0.0,2788.0,257.0,0.0,,,16.0,,214.0,0.0,,0.0,1202.0,2317.0,195.0,14.0,388.0,1580.0,3519.0,328.0,1079.0,30.0,,0.0,,,113.0,694.0,898.0,204.0,0.0,694.0,826.0,1681.0,0.0,120.0,,3.0,0.0,0.0,,,,,,0.0,,,false,0.0,8.0,,19.0,167.0,,-2.0,,0.0,183.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,694.0,0.0,,,,,40.0,64.0,898.0,0.0,0.0,0.0,34.0
5312593.0,851.0,0.0,0.0,4866.0,422.0,197.0,0.0,,1.0,,10.0,0.0,,0.0,4017.0,1306.0,128.0,0.0,730.0,1655.0,5323.0,213.0,713.0,26.0,,0.0,,,212.0,2.0,9.0,7.0,0.0,2.0,1562.0,2881.0,10.0,1265.0,,0.0,0.0,16.0,,,,,,0.0,,,false,0.0,0.0,,0.0,37.0,,15.0,,0.0,97.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,2.0,297.0,,,,,1435.0,169.0,9.0,0.0,0.0,0.0,-230.0
5313312.0,1132.0,0.0,0.0,4766.0,2051.0,357.0,,,193.0,,102.0,0.0,,0.0,2276.0,3010.0,209.0,48.0,560.0,2146.0,5286.0,41.0,1369.0,31.0,,0.0,,,217.0,468.0,623.0,155.0,0.0,468.0,736.0,1776.0,2.0,161.0,,10.0,0.0,0.0,,,,,,0.0,,,false,0.0,10.0,,10.0,0.0,,0.0,,0.0,161.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,468.0,3.0,,,,,543.0,437.0,623.0,0.0,0.0,0.0,450.0
5316920.0,554.0,0.0,0.0,3047.0,957.0,0.0,0.0,,0.0,,208.0,0.0,,0.0,1825.0,2016.0,143.0,47.0,623.0,2116.0,3841.0,408.0,1280.0,32.0,,0.0,,,213.0,-94.0,-78.0,16.0,0.0,-94.0,465.0,1625.0,44.0,28.0,,0.0,0.0,0.0,,,,,,0.0,,,false,0.0,0.0,,149.0,29.0,,0.0,,0.0,96.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,-94.0,281.0,,,,,524.0,438.0,-78.0,0.0,0.0,0.0,121.0
5332603.0,312.0,0.0,0.0,2040.0,751.0,0.0,,,58.0,,24.0,655.0,,0.0,1460.0,1594.0,262.0,20.0,362.0,1241.0,3054.0,280.0,764.0,19.0,,0.0,,,115.0,426.0,540.0,114.0,0.0,426.0,79.0,1152.0,0.0,394.0,,13.0,0.0,226.0,,,,,,0.0,,,false,0.0,0.0,,6.0,36.0,,3.0,,0.0,13.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,426.0,2.0,,,,,734.0,18.0,540.0,0.0,0.0,0.0,75.0
5336928.0,12.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,61.0,0.0,,0.0,92.0,94.0,0.0,0.0,17.0,21.0,186.0,125.0,0.0,0.0,,0.0,,,4.0,58.0,73.0,15.0,0.0,58.0,0.0,0.0,61.0,60.0,,0.0,0.0,0.0,,,,,,0.0,,,false,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,58.0,0.0,,,,,7.0,13.0,73.0,0.0,0.0,0.0,0.0
5342974.0,1303.0,0.0,0.0,5475.0,292.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,3386.0,4633.0,1097.0,1002.0,2080.0,5033.0,8019.0,2080.0,2547.0,51.0,,0.0,,,406.0,720.0,1000.0,280.0,0.0,720.0,334.0,4849.0,0.0,744.0,,0.0,0.0,0.0,,,,,,0.0,,,false,0.0,0.0,,0.0,464.0,,0.0,,0.0,95.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,720.0,641.0,,,,,471.0,227.0,1000.0,0.0,0.0,0.0,-303.0
5349218.0,2059.0,0.0,-199.0,9581.0,1526.0,0.0,0.0,,0.0,,276.0,0.0,,0.0,6801.0,4746.0,98.0,52.0,1213.0,4049.0,11547.0,1117.0,2280.0,55.0,,0.0,,,556.0,526.0,275.0,-251.0,0.0,526.0,2048.0,5994.0,100.0,215.0,,66.0,0.0,0.0,,,,,,0.0,,,false,0.0,13.0,,357.0,150.0,,0.0,,0.0,46.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,526.0,779.0,,,,,2323.0,1425.0,275.0,0.0,0.0,0.0,321.0
5382514.0,2282.0,-261.0,0.0,4093.0,3201.0,0.0,0.0,,0.0,,798.0,0.0,,0.0,5144.0,2616.0,206.0,50.0,1027.0,3535.0,7760.0,318.0,2298.0,44.0,,2.0,,,210.0,-927.0,-974.0,-47.0,0.0,-927.0,36.0,850.0,151.0,36.0,,80.0,0.0,0.0,,,,,,0.0,,,false,0.0,6.0,,490.0,1981.0,,85.0,,0.0,71.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,-927.0,1251.0,,,,,929.0,644.0,-974.0,0.0,0.0,0.0,0.0
