IDRSSD,RCFD3353,RCFD3355,RCFD3365,RCFD3368,RCFD3381,RCFD3401,RCFD3484,RCFDB558,RCFDB559,RCFDB560,RCFN3360,RCFN3404,RCON3353,RCON3355,RCON3360,RCON3365,RCON3368,RCON3381,RCON3386,RCON3387,RCON3401,RCON3465,RCON3466,RCON3484,RCON3485,RCONB558,RCONB559,RCONB560,RCONB561,RCONB562,RCONB563,RCONHK16,RCONHK17
222446.0,,,,,,,,,,,,,0.0,944.0,475917.0,99988.0,666499.0,490.0,33005.0,80634.0,,59281.0,288938.0,0.0,83769.0,9039.0,10884.0,16411.0,0.0,8565.0,260903.0,94673.0,13509.0
222558.0,,,,,,,,,,,,,348.0,0.0,75253.0,6379.0,195805.0,68690.0,11386.0,13722.0,,3934.0,45296.0,0.0,51793.0,31550.0,0.0,200.0,0.0,1330.0,45897.0,16243.0,1568.0
222754.0,,,,,,,,,,,,,0.0,8000.0,221117.0,0.0,365805.0,120149.0,,37164.0,,26865.0,156377.0,0.0,17872.0,2138.0,9141.0,10745.0,0.0,321.0,160477.0,9181.0,3602.0
223322.0,,,,,,,,,,,,,0.0,78019.0,2067944.0,0.0,2772773.0,485509.0,143135.0,232905.0,,400871.0,1202701.0,0.0,60920.0,79966.0,7037.0,3692.0,0.0,72231.0,1944693.0,194379.0,88406.0
223452.0,,,,,,,,,,,,,0.0,0.0,71660.0,7144.0,119337.0,6045.0,15848.0,3061.0,,18990.0,28456.0,0.0,21981.0,25360.0,1793.0,2998.0,0.0,4481.0,28886.0,38909.0,2571.0
223751.0,,,,,,,,,,,,,0.0,,52021.0,373.0,79159.0,20294.0,9957.0,1924.0,,18324.0,21481.0,0.0,6614.0,0.0,177.0,2578.0,0.0,1804.0,21398.0,18121.0,3704.0
223845.0,,,,,,,,,,,,,0.0,0.0,79273.0,29366.0,185325.0,945.0,6737.0,8580.0,,38467.0,18105.0,0.0,23356.0,21405.0,0.0,42745.0,263.0,6737.0,59197.0,44268.0,10935.0
224954.0,,,,,,,,,,,,,0.0,,40124.0,0.0,83048.0,21051.0,,1621.0,,25505.0,8813.0,0.0,6099.0,0.0,0.0,13168.0,0.0,1574.0,31657.0,13404.0,1531.0
225054.0,,,,,,,,,,,,,0.0,8905.0,126130.0,14564.0,149882.0,263.0,,17875.0,,21753.0,84248.0,0.0,23810.0,1000.0,1537.0,547.0,0.0,1956.0,53313.0,10607.0,4982.0
225157.0,,,,,,,,,,,,,0.0,593.0,183355.0,0.0,208878.0,14804.0,42328.0,26137.0,,13673.0,96850.0,142.0,18368.0,0.0,0.0,81.0,0.0,3930.0,65075.0,37857.0,15851.0
225559.0,,,,,,,,,,,,,12138.0,0.0,262382.0,0.0,481681.0,46808.0,0.0,21968.0,,160615.0,70585.0,0.0,115007.0,11472.0,70625.0,19634.0,0.0,9214.0,154057.0,31691.0,1243.0
