IDRSSD,RCFD0071,RCFD0081,RCFD1773,RCFD2130,RCFD2143,RCFD2145,RCFD2150,RCFD2160,RCFD2170,RCFD2930,RCFD2948,RCFD3000,RCFD3123,RCFD3190,RCFD3200,RCFD3210,RCFD3230,RCFD3300,RCFD3545,RCFD3548,RCFD3632,RCFD3656,RCFD3838,RCFD3839,RCFD5369,RCFD6724,RCFDA130,RCFDB528,RCFDB529,RCFDB530,RCFDB989,RCFDB995,RCFDG105,RCFDJA22,RCFDJJ34,RCFN2200,RCFN6631,RCFN6636,RCON0071,RCON0081,RCON1773,RCON2130,RCON2143,RCON2145,RCON2150,RCON2160,RCON2170,RCON2200,RCON2930,RCON2948,RCON3000,RCON3123,RCON3190,RCON3200,RCON3210,RCON3230,RCON3300,RCON3545,RCON3548,RCON3632,RCON3656,RCON3838,RCON3839,RCON5369,RCON6631,RCON6636,RCON6724,RCON8678,RCONA130,RCONB528,RCONB529,RCONB530,RCONB987,RCONB989,RCONB993,RCONB995,RCONG105,RCONJA22,RCONJJ34
1191352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19515.0,3443.0,84624.0,0.0,0.0,724.0,0.0,4187.0,220126.0,203321.0,1424.0,208745.0,0.0,2068.0,4000.0,0.0,11381.0,393.0,220126.0,0.0,0.0,18238.0,0.0,0.0,6534.0,0.0,48170.0,155151.0,2b,1231.0,0.0,109550.0,107482.0,-13784.0,151.0,0.0,0.0,0.0,11381.0,0.0,0.0
1211371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16605.0,5603.0,149371.0,0.0,1635.0,12552.0,0.0,22799.0,920511.0,699820.0,11489.0,834540.0,0.0,8356.0,62231.0,0.0,85971.0,2850.0,920511.0,0.0,0.0,91764.0,0.0,0.0,3994.0,147.0,168527.0,531293.0,2a,1231.0,0.0,699230.0,690874.0,-12637.0,0.0,0.0,61000.0,0.0,85971.0,0.0,20925.0
1216022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13700000.0,387000.0,3951000.0,16000.0,976000.0,1000.0,0.0,2453000.0,99374000.0,77638000.0,4865000.0,87716000.0,0.0,9077000.0,5213000.0,0.0,11658000.0,1000.0,99374000.0,0.0,0.0,5562000.0,807000.0,0.0,6161000.0,0.0,419000.0,77219000.0,2a,1231.0,0.0,86128000.0,77051000.0,-66000.0,0.0,0.0,0.0,0.0,11658000.0,32000.0,0.0
1216321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141456.0,11778.0,899225.0,0.0,3672.0,204653.0,553.0,66409.0,6082607.0,4879077.0,94719.0,5943796.0,0.0,26520.0,970000.0,0.0,138811.0,63.0,6082607.0,0.0,0.0,81538.0,0.0,0.0,238190.0,11706.0,1211099.0,3667978.0,2a,1231.0,0.0,3139418.0,3112898.0,-180980.0,0.0,0.0,0.0,0.0,138811.0,13.0,1630244.0
1216826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359229.0,446.0,316424.0,0.0,0.0,28.0,83.0,113788.0,1885858.0,1504149.0,149489.0,1653666.0,0.0,28.0,0.0,0.0,232192.0,0.0,1885858.0,0.0,28.0,-1109653.0,0.0,0.0,1341560.0,91299.0,75433.0,1428716.0,9.0,1231.0,0.0,4589.0,4561.0,285.0,0.0,0.0,0.0,0.0,232192.0,0.0,0.0
1218446.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37939.0,4394.0,4111.0,0.0,0.0,1196.0,0.0,12017.0,190822.0,123454.0,3689.0,158119.0,0.0,2700.0,0.0,0.0,32703.0,750.0,190822.0,0.0,0.0,28561.0,0.0,0.0,3478.0,0.0,86867.0,36587.0,2b,1231.0,0.0,130891.0,128191.0,-86.0,2908.0,0.0,30976.0,0.0,32703.0,66.0,0.0
1222519.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32136.0,14315.0,260767.0,0.0,0.0,16851.0,0.0,14581.0,899078.0,816099.0,3131.0,829230.0,0.0,5032.0,10000.0,0.0,69848.0,43.0,899078.0,0.0,0.0,95670.0,0.0,0.0,3386.0,923.0,26603.0,789496.0,2b,1231.0,0.0,509445.0,504413.0,-29251.0,2345.0,0.0,0.0,0.0,69848.0,0.0,52747.0
1222948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17740.0,7922.0,0.0,1030.0,3496.0,10873.0,20.0,4900.0,816507.0,718641.0,1211.0,724777.0,0.0,5613.0,0.0,0.0,91730.0,2546.0,816507.0,0.0,0.0,81449.0,0.0,0.0,7735.0,505.0,186515.0,532125.0,2b,1231.0,0.0,483680.0,478067.0,0.0,0.0,0.0,0.0,4925.0,91730.0,0.0,291954.0
1225752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18180.0,1669.0,94129.0,0.0,0.0,2665.0,0.0,12451.0,299283.0,255043.0,4681.0,289130.0,0.0,2247.0,29406.0,0.0,10153.0,2675.0,299283.0,0.0,0.0,14150.0,0.0,0.0,4475.0,501.0,69560.0,185483.0,1a,1231.0,0.0,171908.0,169661.0,-11147.0,27.0,0.0,0.0,0.0,10153.0,0.0,0.0
1225761.0,503662.0,0.0,3203835.0,0.0,0.0,0.0,0.0,188530.0,16473328.0,182653.0,14751076.0,0.0,41820.0,2000000.0,0.0,1722252.0,750.0,16473328.0,0.0,0.0,1812947.0,0.0,0.0,78450.0,4388.0,2a,0.0,12614733.0,12572913.0,-169895.0,0.0,0.0,1722252.0,0.0,0.0,,,,,,,,,,,,,12537257.0,,,,,,,,,,,,,,,,,0.0,12537257.0,,1231.0,,,,,0.0,,31166.0,,,,
1225798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5004.0,424.0,0.0,0.0,0.0,417.0,0.0,1535.0,102229.0,64100.0,1099.0,83934.0,0.0,953.0,18735.0,0.0,18295.0,0.0,102229.0,0.0,0.0,18295.0,0.0,0.0,0.0,0.0,7714.0,56386.0,8.0,1231.0,0.0,84905.0,83952.0,0.0,0.0,0.0,0.0,0.0,18295.0,0.0,10897.0
1228034.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.0,12245.0,87962.0,0.0,1969.0,14602.0,15.0,6715.0,838838.0,726912.0,3674.0,730816.0,0.0,9146.0,230.0,0.0,108022.0,1105.0,838838.0,0.0,0.0,110905.0,0.0,0.0,1365.0,166.0,225430.0,501482.0,1a,1231.0,0.0,690106.0,680960.0,-5353.0,34010.0,0.0,0.0,0.0,108022.0,0.0,0.0
