"IDRSSD"	RCFDJJ04	RCFDJJ05	RCFDJJ06	RCFDJJ07	RCFDJJ08	RCFDJJ09	RCFDJJ11	RCFDJJ12	RCFDJJ13	RCFDJJ14	RCFDJJ15	RCFDJJ16	RCFDJJ17	RCFDJJ18	RCFDJJ19	RCFDJJ20	RCFDJJ21	RCFDJJ23	RCFDJJ24	RCFDJJ25	RCONJJ04	RCONJJ05	RCONJJ06	RCONJJ07	RCONJJ08	RCONJJ09	RCONJJ11	RCONJJ12	RCONJJ13	RCONJJ14	RCONJJ15	RCONJJ16	RCONJJ17	RCONJJ18	RCONJJ19	RCONJJ20	RCONJJ21	RCONJJ23	RCONJJ24	RCONJJ25	
	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Loans and Leases, Held for Investmen	Held to Maturity Securities, Securit	Held to Maturity Securities, Mortgag	Held to Maturity Securities, Asset b	Held to Maturity Securities, Other d	Held to Maturity Securities, Total	
958204																					124431	665499	770600	91765	0	15493	1667788	1121	4105	10158	1265	0	75	41	16765	0	0	0	0	0	
958231																																									
958558																																									
958727																					227849	1404203	378495	296525	0	7788	2314860	2848	11771	6931	4115	0	99	0	25764	0	0	0	0	0	
958763																																									
959304																					73149	2614122	3411954	721532	0	1186	6821943	156	13849	13022	13716	0	9	0	40752	1084	0	0	0	1084	
959443																																									
959630																																									
959715																																									
960047																																									
960551																																									
960560																																									
960935																					179571	554568	259565	137378	0	16996	1148078	850	4809	3079	1661	0	96	570	11065	0	0	0	160	160	
961259																																									
961343																																									
961400																																									
961446																																									
961576																					149	2021	545484	299	0	22	547975	6	7	5861	68	0	2	76	6020	0	0	0	0	0	
961624																					371149	1698590	5541464	990213	67740	176853	8846009	3277	19758	34283	12168	2290	3259	0	75035	0	0	0	0	0	
961811																																									
962313																																									
962890																																									
962966																					1801	122277	2380	853105	316971	1003	1297537	0	1883	7	330	49092	1	0	51313	0	0	0	0	0	
963002																																									
963730																																									
963945																					1260916	4903256	1321301	3277432	0	3468	10766373	12763	42531	6905	13471	0	42	0	75712	0	0	0	0	0	
964157																																									
964250																																									
965051																																									
965789																					164847	496802	353304	594735	0	10568	1620256	3001	6057	4335	6407	0	129	0	19929	0	0	0	0	0	
966272																																									
966722																																									
966731																																									
966973																																									
967046																																									
967952																																									
968070																					240686	1032575	6509413	112322	0	9203	7904199	1743	16605	5162	1019	0	105	0	24634	0	0	0	0	0	
968155																																									
968249																																									
968744																																									
969059																																									
969255																																									
969639																																									
969844																																									
969956																																									
970055																																									
971070																																									
971379																																									
971959																					106541	840962	195729	593575	2648	362505	2101960	1775	11211	1622	6671	80	4197	78	25634	0	0	0	0	0	
972143																																									
972406																																									
972648																					123421	534439	376057	195900	0	27590	1257407	1091	4516	3250	1644	0	375	0	10876	159	0	0	0	159	
972732																					159008	361126	295071	77315	0	22605	915125	2444	4406	3928	946	0	412	55	12191	0	0	0	0	0	
972750																																									
972769																																									
972862																																									
973252																																									
974558																																									
974754																																									
975153																																									
975256																																									
975452																																									
975751																																									
975854																																									
976534																																									
976552																																									
976703																																									
976954																																									
977045																																									
977250																																									
977616																																									
977652																																									
977951																																									
978118																					184506	1434313	357779	209960	0	53101	2239659	1595	13413	2347	2919	0	1266	58	21598	0	0	0	0	0	
979133																																									
979151																																									
979357																																									
979375																					4748	244548	1041020	13348	0	6	1303670	770	13155	15234	98	0	0	0	29257	0	0	0	0	0	
979629																																									
979759																																									
980438																																									
980531																					87548	292446	196837	87774	0	32663	697268	1318	4302	2229	977	0	438	0	9264	0	0	0	0	0	
980661	972517	4301300	5408280	2583884	318480	735747	14320208	12441	43526	48237	19572	14415	21645	0	159836	0	0	0	0	0																					
980773																																									
980951																																									
980960																																									
