"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT88	RCONMT89	RCONMT90	RCONMT91	RCONMT92	RCONMT93	RCONMT94	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	SELECTED COMPONENTS OF TOTAL DEPOSIT	SELECTED COMPONENTS OF TOTAL DEPOSIT	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS OF 250000 OR LESS WITH	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	MATURITY AND REPRICING DATA FOR TIME	TIME DEPOSITS EQ 100K LE 250K	TIME DEPOSITS GT 250K	Total reciprocal deposit	BRKRD DEP GT 250000 MAT LE 1 YR	TIME DEP GT 250000 MAT LE 1 YRDEP	EST DEP LISTING SERVICE NOT BROKERED	Fully insured, affiliate sweep depos	Fully insured, affiliate, retail swe	Not fully insured, affiliate sweep d	Not fully insured, affiliate, retail	Fully insured, non-affiliate sweep d	Fully insured, non-affiliate, retail	Not fully insured, non-affiliate swe	Not fully insured, non-affiliate, re	Designated exception sweep deposit	OFFR CONSUM DEP ACT INDIV HSHLD FMLY	NONINTR TRN ACCTS INDIV HSHLD FMLY	INTR TRN ACCTS INDIV HSHLD FMLY	MMDA DEPS PRIMRLY INDIV HSHLD FAMLY	OTHR MMDA INDIV PRTNRS CORPS	OTHR SVGS DEPS IND HSHLD FAMILY USE	OTHR SVGS DEPS IND PRTNRS AND CORPS	
7456	25793	0	15708	30540	0	57794	0	0	0	0	62603	0	6990		14308	0		42086	55613	0	0	109	0	0	8342	15309	2169	97	23651	4549	6344	0	0	11609	10893	0	0	10893	0																	
7634	11453	0	2020	17049	0	22852	0	0	0	0	53258	0	138		9945	2094		20832	53120	0	0	4520	0	0	5681	17486	2633	2148	23167	1222	9597	375	569	18003	11763	0	0	10819	0																	
8462	1410	0	7351	36170	0	89230	0	0	0	0	77134	0	16964		8620	7463		81626	60170	253	0	1812	0	0	7086	12548	2385	0	19450	5760	39941	541	0	13399	46242	0	0	45700	0																	
8631	17887	0	1323	23354	0	27981	0	0	0	0	40758	0	2585		6092	2043		26658	38173	0	0	1282	0	0	4038	8645	535	163	12683	1753	5694	0	0	7288	7447	0	0	7447	0																	
9357	145129	233	1470	50382	0	56060	0	0	1	0	369886	12625	0		829	219683		54357	357261	0	0	295	1	1	795	1239	40	226	2034	325	2449	0	0	1472	2774	20687	0	2774	0																	
9553	23166	0	12591	31449	0	60874	0	0	4134	0	88732	0	3926		19302	9269		48283	84042	0	764	0	4134	25	7612	28498	4344	3407	36110	1739	9604	1093	0	24559	12436	25	0	11343	0																	
9807	603031	0	34398	134639	0	192851	0	0	0	0	2007800	0	570915		64445	907469	81367	158453	1436885	0	0	646	0	0	35354	121770	14088	0	133776	219445	106244	400	0	106767	326089	10900	0	318346	14671	0		0		0		0		0	true	9679	18346	515025	109630	343246	240013	
9955	16579	51	10792	42657	0	100654	0	0	0	0	87963	0	22770		4709	59230		89068	65193	743	0	0	0	0	2250	4970	1290	269	7220	1754	1621	0	0	4070	3375	36667	0	3375	0																	
10250	244464	0	7142	42274	0	105490	0	0	0	0	516104	0	15135		53956	128371		97850	500720	498	249	10892	0	0	39916	50730	17561	1661	90646	13106	15537	4758	0	55912	33401	51365	0	28643	2239																	
10849	89351	0	7545	7744	0	18367	0	0	0	0	234848	0	41493		34572	32673		10821	193355	1	0	2493	0	0	16674	45905	11597	324	62579	16699	20404	1220	0	39928	38323	0	0	35938	994																	
11145	58566	0	65712	84836	0	173676	0	0	11753	0	205037	0	17226		46734	49635	10103	107964	187811	0	0	5874	11753	0	12373	52479	6252	1536	52978	861	17825	5511	0	25906	24197	0	0	11686	0	0		0		0		0		0	true							
11640	23034	0	58125	85976	0	206459	0	0	0	0	139389	0	4868		27679	17936		148334	134521	0	0	10248	0	0	18124	27992	6588	6019	45934	16325	20068	2211	1093	31043	39697	0	0	36393	0																	
11837	6652	0	59310	14566	0	88789	0	0	15039	0	59812	0	72		9706	11688		29479	59740	0	0	842	0	0	1235	10836	5168	1950	12071	10039	6148	250	5846	9483	22283	0	10039	16187	0																	
12030	41574	0	0	199246	0	244641	0	0	0	0	259296	0	0		71786	37504		188226	257820	56415	1476	5874	0	0	50687	83527	6013	3058	134214	18921	18012	0	0	71499	36933	0	0	36933	0																	
12142	38173	0	30931	100547	0	181449	0	0	5999	0	122697	0	11268		22875	16189		150294	111429	224	0	1681	5999	5999	19241	24592	1057	0	33314	3607	19531	307	0	22015	23445	0	0	23137	0																	
12311	16276446	103	7670100	53497982	0	72830348	0	0	5722427	248	84809752	0	1644988		6831859	52895927	1383496	65143811	83155001	16334	9515	295984	5722427	5637341	4702325	6810442	754166	37587	11512767	1413714	1755965	161993	1187	5472661	3332859	4508590	0	3169679	0	14566	0	1728921	234	9728480	573176	191164	852	6054161	true	10756576	15337685	31028902	19711644	342089	15924283	
12647	32144	0	3709	53117	0	62294	0	0	0	0	114451	0	6674		9125	56055		58585	107777	0	0	0	0	0	4466	8129	4424	0	12595	2605	6128	500	0	7894	9233	0	0	8733	0																	
12946	152611	0	365855	576163	0	1147725	0	0	13113	0	1349876	0	150913		156121	541165		781870	1198920	0	43	24087	0	0	101617	207568	19347	4231	308089	130382	188625	4078	251	176643	323336	535319	0	319007	0																	
13103	71191	0	163058	449699	0	978054	0	0	50000	0	1570130	0	365427		226652	811433	64964	814827	1204044	169	659	29142	50000	50000	129641	227741	26203	13502	357381	137591	141851	8613	2364	170435	290419	231648	0	279442	0	0		0		0		0		0	true	45860	274540	337464	182414	57996	12570	
13251	5505	0	1349	11700	0	16584	0	0	0	0	38406	0	2746		6603	21403		15235	35660	0	0	0	0	0	2090	5552	1050	0	7642	0	1275	1531	0	2089	2806	0	0	1275	0																	
13457	2509	0	308	5857	0	8556	0	0	0	0	24808	0	537		3196	4767		8248	24271	0	0	148	0	0	1618	12577	812	0	14195	916	1608	0	0	11812	2524	0	0	2524	7708																	
14155	34455	0	8649	148462	0	149352	0	0	0	0	166999	0	16295		28079	53182		139215	150457	1488	247	4224	0	0	27124	37516	3770	661	64640	2949	6523	819	0	40991	10291	66184	0	9472	0																	
14650	7941	0	5860	21484	0	28957	0	0	5001	0	55237	0	3368		3585	27495		23097	30364	0	21505	1454	5001	5001	2986	12707	600	207	15693	767	1805	730	0	12914	3302	501	0	2572	11214																	
14753	15584	0	1332	24326	0	24326	0	0	0	0	26831	0	2761		6094	0		22994	24070	0	0	865	0	0	2317	7480	347	7	9797	500	596	0	0	4057	1096	0	0	1096	0																	
14865	150109	1	44756	490998	0	490999	0	0	0	0	271859	0	22618		20273	71294		446242	248624	0	617	6330	0	0	27996	12261	4863	611	35788	1895	2829	0	0	25458	4724	111016	0	4178	0																	
14977	6164	0	0	13421	0	16883	0	0	0	0	29170	0	0		6118	1882	3860	16883	29170	0	0	1984	0	0	5405	10266	662	128	15671	2003	2660	0	0	10343	4663	0	0	4663	0	0		0		0		0		0	false							
16551	63100	0	11962	96705	0	155314	0	0	0	0	213052	0	11199		58141	45463		143352	201853	0	0	13211	0	0	14130	41437	26403	6177	40533	2360	8159	3247	2576	30006	16342	0	0	10519	0																	
17110	0	0	0	0	0	0	0	0	0	0	114089	0	7218		13072	0	4916	0	106871	0	0	3515	0	0	53495	0	0	0	53495	60595	0	0	0	40422	60595	0	0	60595	0	0		0		0		0		0	false							
