"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RCONPR04	RCONPR05	RCONPR06	RIADG377	
667029																																																													0	5222	10549		323			11976	3291		22916	158345	0	0	0	61510	617		5010	318	2058	3691	8964	12943	33337	5222	2811	14397	19614	32083	22249				0	37			1039	3098	15692	14716							40														108145				147		0	0		2525													4834			CONF	CONF					
667252																																																													0	1558	675		2713			2198	13		23	12403	0	0	0	1804	132		4380	56	60	535	386	584	183	1691	2852	1497	3241	789	529				0	8			0	0	1360	856							0														0				0		0	0		449													614			CONF	CONF					
667346																																																													0	25696	11031		12502			964	306		1353	80624	0	137	0	10129	270		13300	589	665	1461	4805	2309	300	12065	6513	29359	9178	5724	7631				0	0			2	6156	1690	6485							0														0				301		0	0		845													3058			CONF	CONF					
667524																																																													0	29550	1142		1195			10974	4809		0	148968	54	0	0	63299	1663	47723	21902	1998	3551	5822	6858	8773	36297	13672	11672	10563	9694	21341	18734				470	122			2605	3275	16945	8155						0	0														21237				0		0	609	0	1474	0	0	0	0	0			0	0		0	0	2735	0	0	CONF	CONF					
667551																																																													0	17329	0		15000			7744	0		0	60517	0	4643	0	3292	325		10829	0	493	80	831	1784	0	9162	4757	10066	20155	10655	2428				109	27			1446	1451	4189	707							0														0				0		0	7		2361													1887			CONF	CONF					
667757																																																													0	99531	359765	0	3465	1844990	0	1844990	82071		63	7915002	0	0	52872	1275903	30533	819489	1985769	74588	56154	181442	472977	302543	175770	3209535	545383	1143651	1241313	465985	5222	0	0	0	0	6715	0		228274	840792	948624	1472164	0	0				1880	0														4565569				15965	82368	624260	82368	0	3051	0	1570	0	910	0	11605	0	0	0	0	0	0	12433	11605	16	CONF	CONF					
668053																																																													0	6278	1896		786			12528	1201		0	52613	0	0	0	3915	1370		9260	4	602	2218	904	37	150	11333	2431	15063	16083	2288	980				0	0			1722	310	9738	11860							0														24868				0		0	2		453													554			CONF	CONF					
668147																																																													0	43269	2137		37660			17879	168		761	178525	0	0	0	23715	2022		41272	878	3906	3044	9983	5879	25	41439	13344	30010	45719	20382	280				0	0			1983	5275	10127	28358							0														71890				0		0	287		4149													735			CONF	CONF					
669555																																																													0	188433	39858		188238			93372	28897		428	778892	0	0	0	40662	1971		218754	37	2849	11269	26025	35	448	197264	63167	180421	153241	68902	75058				0	35			8244	12305	47219	114293							0														130523				0		0	174		8451													6312			CONF	CONF					
670430																																																													0	6031	5463		1505			25483	1962		2566	134459	0	0	0	33516	1153		24753	1565	3510	6626	15276	2405	4134	16512	12724	21866	37667	10806	1368				0	1337			2288	7877	23586	14922							0														33516				0		0	17		3314													3439			CONF	CONF					
670467																																																													0	86677	96441		36844			81754	38041		144	979298	0	0	0	11821	79		69954	249	1075	2088	3609	3264	874	173796	33991	78337	228378	178617	269410				0	148			0	64161	202766	263889							633														431309				3930		0	1214		91859													3460			CONF	CONF					
670560																																																													0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0				0	0													0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	CONF	CONF				0	
670654																																																													0	6648	1090		2707			9733	0		974	78500	0	0	0	38858	657		3642	4	2714	27219	8920	0	0	1347	6658	22871	8766	0	0				0	1			818	4619	684	7522							0													0	46596				0		964	192		2779													254			CONF	CONF				0	
