"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RCONPR04	RCONPR05	RCONPR06	RIADG377	
64730																																																													0	3697	1852		60			6225	25		0	115586	200	0	0	17536	29		24778	5571	1687	5682	4182	166	0	21514	15112	24405	21506	15382	0				414	0			2851	14500	6558	56695							0														544				0		0	14		540													4790			CONF	CONF					
65205																																																													0	0	21698		0			4822	17468		0	668685	0	0	0	456086	19557		163	2680	1556	2952	16766	81009	350058	33731	2618	30669	65847	37158	42397				0	2			1184	12796	58215	76159							0														0				77		0	32		0													666			CONF	CONF					
65559																																																													0	43210	13571	372	42055	100712	0	100712	14968		8156	474120	0	0	0	43409	2610	30556	114030	819	1286	9999	6804	9272	15228	95803	42606	53294	79454	57021	102532	0	0	0	0	556	0		20450	26547	97733	48178	0	0				0	0														0				0	89	0	461	0	2174	0	0	0	0	0	0	0	0	0	0	0	0	9330	0	0	CONF	CONF					
65858																																																													0	47875	78609		59298			236943	39917		10560	1798115	0	7531	0	364902	731		199404	7131	8891	39856	89318	75732	143476	250764	134369	351416	477123	213961	5295				0	3546			75902	126729	203452	469143							0													0	946361				0		0	22633		36883													13461			CONF	CONF				0	
66154																																																													0	15677	1126		9234			43621	7255		5346	218270	0	0	0	43724	74		58820	2771	781	10812	19890	7196	2256	85217	9763	24966	37783	16316	369				0	0			8514	11246	22749	42408							0														83148				18		0	6		2390													4900			CONF	CONF					
66275																																																													0	89569	24224		110859			91597	12763		7279	528619	759	0	3672	75486	2741		212389	4427	9168	7719	5809	1842	46518	148111	50683	76472	130013	41494	6071				0	58			8863	29480	52135	20593							0														143362				2082		0	0		1360													2371			CONF	CONF					
67142																																																													0	92	0		0			12745	6903		0	194981	0	0	0	129118	2527		15307	2	1191	238	707	11542	114973	22290	1730	7230	17766	16734	0				0	0			7602	2400	2878	29667							0														119963				89		0	0		874													175			CONF	CONF					
67151																																																													0	288	28373		573			68426	14642		0	692459	0	7448	6724	67356	3624		156207	1521	14262	12487	13478	4789	20819	185596	81959	83862	163948	100034	9586				0	284			67544	95533	78832	253303							0													0	204129				942		0	268		1150													4815			CONF	CONF				0	
67209																																																													0	940	111375		0			146336	27245		41065	1356909	0	0	3103	402815	3495		128630	4124	14323	30610	40611	113943	198754	161872	65227	116670	220487	351473	37786				0	347			35362	81946	204129	252642							0														500586				1599		464	15		2711													46022			CONF	CONF					
67254																																																													0	0	0		0			0	0		0	15	0	0	0	0	0		0	0	0	0	0	0	0	0	0	1	7	0	0				3	0			0	0	0	0							0														0				0		0	0		12													0			CONF	CONF					
67656																																																													0	58890	114725	200	25718	34648	0	34648	2942		133	1100154	0	0	0	94183	1105	22437	101146	3323	6613	8126	8534	15395	51897	131937	70651	187564	101919	129569	377341	0	0	0	192191	80	0		7609	65510	72572	418177	0	0				0	314														729340				2949	279	0	479	2949	4199	0	0	0	0	0	0	0	2949	0	0	0	0	6993	0	0	CONF	CONF					
67870																																																													0	2694	18415		0			17592	10898		0	381838	0	0	2948	147039	1150		45544	3984	8451	32433	27174	42337	32166	46970	31014	64588	51656	34757	5084				0	23			17740	31247	40820	90856							0														165678				286		0	6		325													3033			CONF	CONF					
68671																																																													0	0	183		0			0	0		0	130513	600	0	0	127459	205		339	155	625	3717	1287	12325	108936	550	1349	990	84	576	105				0	8			2253	861	16	0							144														130513				203		0	0		0													128			CONF	CONF					
68756																																																													0	35091	31638	0	38518	121307	0	121307	461		33119	805920	0	300	0	121976	1598	53232	166445	4058	6647	24009	24977	20978	41265	54278	101529	105588	246929	83592	90346	0	0	0	0	0	0		35621	55864	113173	208840	0	300				0	0													0	240014				0	72	0	72	0	3765	0	0	0	0	0	0	0	0	0	0	0	0	4577	0	0	CONF	CONF				0	
68831																																																													0	15997	3483		2856			19360	6245		0	159230	0	0	0	44651	1804		34117	1024	5704	12736	22108	563	2375	8530	18968	35349	39867	9770	2095				0	0			6882	4540	9298	35846							0													0	0				0		0	59		3628													4581			CONF	CONF				0	
69333																																																													0	3836	31250	0	501	177196	0	177196	44048		2302	1131939	0	1151	0	252138	2801	72014	137956	5980	20783	36579	50654	69684	66152	139326	61666	215821	253189	191233	16512	0	0	0	0	1541	1614		12079	69333	232139	268376	0	1151				530	0														694700				640	363	19831	363	0	5693	0	64	0	0	0	46	0	0	0	0	0	0	7361	46	0	CONF	CONF					
69678																																																													0	9915	11071		15976			53656	3827		3535	381792	0	0	3710	133096	7325		51756	1758	4816	872	3429	27557	94545	58900	8469	15961	36199	86621	41926				0	1204			329	16964	44326	75792							0														115451				209		0	3694		13													1069			CONF	CONF					
70218																																																													0	0	42433		0			534	0		0	79014	129	0	58	19557	353	8210	4583	771	7952	7986	2847	0	0	7869	12710	18617	20389	0	0				0	13			0	0	4657	11595						0	0														50316				0		0	1	0	0	0	0	0	0	0			0	0		0	0	0	0	0	CONF	CONF					
70414																																																													0	21817	7583		7161			71662	17203		14712	435388	492	0	0	210278	6688		10065	15480	38130	43229	40463	62750	9421	37523	13853	45311	50957	37300	39312				0	603			2002	11298	3214	55090							53														0				0		0	5		3431													3133			CONF	CONF					
70638																																																													0	36004	440		7660			56724	0		907	383058	41	0	0	56954	95		35973	17327	8384	13725	8648	3836	2889	179281	24714	45654	29520	23658	8680				0	50			3370	16967	27665	157460							0													0	359774				0		0	1910		4360													12533			CONF	CONF				0	
70955																																																													0	1757	0		8607			1755	0		0	13122	0	0	0	154	0		5504	0	76	2	76	0	0	2732	2718	2734	4027	738	0				0	0			0	0	0	521							0														0				0		0	4		206													118			CONF	CONF					
71073																																																													0	0	5552		0			1858	3241		0	108397	0	0	0	75152	34		5423	184	518	5154	9854	34147	24042	7911	5002	3242	4431	6433	6226				0	0			4188	4023	2208	12134							0														80328				0		0	0		0													7			CONF	CONF					
71457																																																													0	115495	0		49088			47788	8478		774	381459	0	0	0	15267	591		122398	592	1592	1883	1708	7891	1601	83635	36579	73367	91892	74061	6658				0	8			0	4259	42183	91371							0														0				0		0	925		2909													2323			CONF	CONF					
71859																																																													0	50	0		256			2714	7		0	9037	0	2698	0	344	0		622	0	0	0	20	106	218	3055	54	998	4248	338	0				0	0			0	0	80	61							0														0				534		0	200		0													2627			CONF	CONF					
72258																																																													0	40996	0		26277			85709	0		0	263824	0	0	3477	42349	2322		41409	1644	5956	2424	1592	4976	24606	17247	31178	19169	51489	48820	49558				2591	265			1953	3781	9821	23946							0														0				0		0	400		15526													7888			CONF	CONF					
72351																																																													0	6086	396		3733			6415	45		386	39777	0	0	0	14116	0		8548	160	1369	5825	6440	322	0	2862	4157	6807	11323	508	0				0	6			381	550	2944	430							0														0				0		0	439		1497													2353			CONF	CONF					
72454																																																													0	32996	0		19434			11450	1994		0	96484	0	0	0	12608	1249		21299	524	1216	4450	6210	208	0	12524	12416	30180	21971	4650	2135				346	168			1795	903	279	9354							0														0				0		0	10		1462													2436			CONF	CONF					
72678																																																													0	0	7473		0			30884	12986		2133	282627	0	0	0	151894	127		5031	248	288	3026	16754	15143	115161	14886	9989	22359	45036	27844	10290				0	0			4247	382	22266	26691							0														125869				0		0	27		9784													13733			CONF	CONF					
73116																																																													0	4085	17049		151			36071	21681		0	490271	0	0	5728	125378	8258		72457	8993	6097	23101	33346	49685	3301	102337	17978	89243	108013	42687	3825				0	31			11160	42822	80292	142742							727													0	403441				0		0	40		53													458			CONF	CONF				0	
73152																																																													0	5575	0		9533			7166	0		520	44370	0	0	0	10109	710		12575	185	1460	1592	4411	2334	127	3518	7789	6117	11629	1725	3483				0	0			463	0	2799	3329							0														0				0		0	378		2282													1506			CONF	CONF					
73554																																																													0	63087	275		45337			23234	71		0	187886	-103	0	0	12253	702		69450	693	1813	3252	2593	3903	0	40190	30750	37778	40582	25518	698				0	15			1277	405	15376	24126							0														91100				343		0	224		1054													347			CONF	CONF					
73956																																																													0	5531	0		3788			2068	0		0	18404	0	0	0	3649	0		4900	181	442	859	1615	497	55	2031	2610	3489	5789	777	59				0	0			0	198	0	2655							0													0	3597				0		0	0		271													244			CONF	CONF				0	
74056																																																													0	26257	928		25122			1959	0		69	122308	0	30	1116	1661	0		64533	50	1302	164	146	0	0	35766	37087	20787	19713	6694	599				0	0			0	51525	4715	8474							0													0	22792				304		0	84		794													690			CONF	CONF				0	
74140																																																													0	68284	76562	0	25457	152849	0	152849	43215		1769	1365876	0	0	3022	390789	6898	186343	80228	269258	1523	4939	3916	88295	22564	688419	10723	74730	106327	92154	1743	0	0	0	0	668	0		7660	40526	180686	230796	0	0				0	0														349529				837	7765	34541	7765	0	50730	0	0	0	823	0	12	0	2	0	0	0	0	46681	12	0	CONF	CONF					
74403																																																													0	1279	60141	0	0	110468	0	110468	33849		3970	1167672	0	0	0	443654	5539	135382	15075	2536	8816	12562	36767	89048	293167	13789	38974	128167	141872	181145	211598	0	0	0	0	112	0		23183	41863	103902	117938	0	0				0	7														718575				0	0	0	0	0	4603	0	0	0	0	0	0	0	0	0	0	0	0	217171	0	0	CONF	CONF					
74449																																																													0	971	0		41			63	363		365	11300	0	0	0	6749	19		3558	901	1927	1886	1773	262	0	555	824	2376	664	132	0				0	0			641	366	666	0							0														0				0		0	0		781													275			CONF	CONF					
75259																																																													0	8449	25281		350			155651	19346		113	922314	0	0	9998	143413	4427		124420	20484	21611	58198	27195	13621	2303	250021	99952	202423	136565	81246	5845				0	3297			18620	72770	111496	318418							0													0	413514				127		730	37928		933													1092			CONF	CONF				0	
75446																																																													0	29407	6329		33791			39079	2664		78	318696	0	0	0	114999	247		55076	4755	10179	29148	49477	20689	457	24634	35292	39139	68685	30744	4229				0	29			4265	3781	41680	32024							10														176742				0		0	237		7978													2108			CONF	CONF					
75455																																																													0	3537	0		1751			2372	56		0	15461	0	0	0	3113	50		3151	0	680	668	1765	0	0	340	2133	3021	5781	967	0				0	25			0	112	1919	142							0														0				0		0	2		1024													1358			CONF	CONF					
75633		803599	2385963	25377042	2615126	48044765	351191	4429389	12385	2491379	147587758	0	4637489	20513406	230722	26866718	88060679	2363495	9137865	9308882	11070875	5588625	12035	175879	12	321	123758	998264	535645	541444	0	275709	6109946	8892232	10879801	2156	1196428													62818217	549996	0	3670521	245899	0	50536	0	0	0	7460084		803599	2385963	278491	2615126	48044765	351191		4429389	12385	2491379	147587758	0	1198584		20513406	230722	7436306		493300	1265410	302900	263494	1367210	16653812							187914	12	124079	998264	535645			275709	6109946	8892232	10879801						1919	77929																			3231364	21867187			3670521	0	68485	0	13391	169766				0				7460084		499664	CONF	CONF					
75651																																																													0	4908	35		8266			6395	821		0	32922	0	0	0	6503	459		12499	358	962	889	3667	0	628	4279	7237	4740	8366	1442	291				0	0			285	375	427	900							0														6958				0		0	0		3301													247			CONF	CONF					
76153																																																													0	10743	0		7228			2543	349		373	29754	0	0	0	4061	0	1517	7671	417	776	21	2055	173	618	11462	515	1614	7333	1296	2793				0	0			0	0	0	1475						0	0														5416				0		0	16	0	1988	0	0	0	0	0			0	0	0	0	0	978	0	0	CONF	CONF					
76443																																																													0	7919	2147		883			2544	8194		1040	71318	87	0	0	27624	1058		15054	1182	2107	3684	3668	11106	5586	13145	9683	6125	7729	3129	3707				0	64			8379	2789	666	4653							0														1147				596		0	29		1446													1970			CONF	CONF					
76854																																																													0	18596	17668		173			53840	10103		0	472394	0	0	0	98525	1773		68856	5335	7460	17838	28626	18128	21111	105792	17741	88520	92209	69461	155				0	0			10152	26297	81774	152831							0														335069				0		0	16		229													417			CONF	CONF					
77150																																																													0	20167	1948		13128			12977	947		0	70443	0	0	0	7363	247	471	23305	629	1538	2768	2275	153	0	24073	13208	19073	0	6650	0				0	23			660	2631	5687	4405						0	0														31201				0		0	15	0	128	0	0	0	0	0			0	0	0	0	0	117	0	0	CONF	CONF					
77253																																																													0	24882	7992		30504			35636	0		6435	295223	447	0	218	78020	937		58577	1802	2479	7798	7535	50789	7425	42339	25166	53596	50821	28984	16235				0	0			12864	25103	34512	29310							0													0	125415				0		0	232		2518													6725			CONF	CONF				0	
77422																																																													0	0	13299		0			5620	179		0	113851	0	0	0	7889	0		12467	428	375	2611	4045	0	430	17103	9404	47226	29984	2245	0				0	632			2597	9365	13854	44659							0														113851				0		3400	12264		0													93			CONF	CONF					
77851																																																													0	263146	237000	33278	164976	699626	0	699626	31530		44338	3520866	0	2055	7870	414384	39389	172278	975212	50660	9725	43035	83563	91122	136109	1030014	285739	538466	421836	760368	61077	0	0	0	78907	828	0		48729	379335	434223	554770	0	2055				0	336													0	1012764				0	635	65845	33913	0	16800	0	0	0	0	0	0	0	0	0	0	0	0	11072	0	0	CONF	CONF				0	
78157																																																													0	0	0		0			2281	0		104	47946	0	0	0	28577	310		1905	7	7	215	5701	9323	13325	1193	699	2452	4039	3633	7355				0	0			876	5281	3212	3872							0														0				0		0	7		2573													853			CONF	CONF					
78241																																																													0	1186	649		10312			10342	0		415	66120	0	0	11359	25269	231		12456	307	1516	4970	15434	2809	145	3583	7060	10992	13739	4773	364				0	0			3341	1639	6007	1311							0													0	0				0		0	1017		2904													1497			CONF	CONF				0	
78559																																																													0	4217	0		2549			1696	1130		861	45223	0	28617	0	668	66		7573	73	284	5	99	72	62	1564	7147	12314	16615	4985	1845				0	0			294	196	2217	1794							0														3278				0		0	1		388													529			CONF	CONF					
79042																																																													0	21637	12443	0	840	17580	0	17580	3297		172	378973	0	0	17580	150051	5122	121229	111344	8403	19369	676	6733	23480	91200	39403	66599	17500	33663	25306	46445	0	0	0	0	0	0		45018	46912	44381	27232	0	0				0	0													0	150051				1405	230	0	230	0	2212	0	0	0	1405	0	0	0	0	0	0	0	0	1846	0	0	CONF	CONF				0	
79127																																																													0	636	0		40			4935	0		517	52624	0	0	0	27493	1444		2206	308	3323	8325	14762	445	0	1184	1977	6901	12655	1965	0				0	0			1127	1998	3967	962							199													0	21927				0		0	89		3671													5745			CONF	CONF				0	
79145																																																													0	8772	87016		333			1720	10732		194	199546	0	0	0	40178	899		24613	1083	1466	7011	9738	8824	11772	4966	17098	55038	63043	18196	1028				0	0			3936	701	9039	34466							284														136630				172		0	7		1296													257			CONF	CONF					
79257																																																													0	2519	0		1242			10555	0		0	32967	0	0	0	15324	295		5575	88	925	2315	6277	5651	51	1261	3301	3459	5789	2864	969				0	0			0	0	2566	0							0														10508				156		0	0		67													399			CONF	CONF					
79855																																																													0	10031	40598		7840			47881	938		0	273427	0	0	1533	53683	2649		61792	1725	4345	10708	18776	17479	651	34780	29172	79959	59078	16350	0				0	27			4525	18368	39681	37216							0													13356	44037				123		0	4		1509													8477			CONF	CONF				176	
80150																																																													0	98345	655		136997			33629	0		149	333840	0	0	78	12221	574		153778	1640	1013	2577	5325	645	986	141464	9661	46173	71674	40750	11836				0	97			4212	4853	13067	15708							0														0				0		0	229		7001													6103			CONF	CONF					
80374																																																													0	0	362		193			1386	3352		0	96612	36	0	0	84055	567		2655	53	23	441	791	21759	60823	5484	1936	363	1637	2428	744				0	31			2137	682	2421	0							0														84055				0		0	0		1265													197			CONF	CONF					
80431																																																													0	5835	0		1026			5817	492		0	65285	0	0	0	36068	1756		6023	1010	3136	3681	9181	9971	8880	1728	4969	4132	9164	4925	2565				0	0			1666	10	5439	1159							0														0				0		0	2		1676													4339			CONF	CONF					
81175																																																													0	45357	21116		45603			53932	22120		0	448344	0	0	0	108853	8006		72358	12564	6266	15254	53612	14792	6362	70750	29599	71104	117388	42491	5058				390	85			8300	10088	55431	64455							0														96565				111		0	0		2802													1806			CONF	CONF					
82033																																																													0	237	4443		0			56015	7195		0	186690	230	0	0	17812	0		20237	0	3	66	588	10072	6844	10932	9302	14554	15598	116063	2659				0	7500			6634	15089	18123	51275							0														0				100		0	210		55													2332			CONF	CONF					
82257																																																													0	5551	371		5046			6306	0		530	28916	0	0	0	512	0		5044	0	0	179	333	0	0	4916	859	9151	7656	5652	15				3926	0			0	0	4425	2096							0														8096				0		0	0		151													2			CONF	CONF					
82350																																																													0	908	239		1674			12651	244		83	28139	0	0	149	5758	364		12508	4697	200	0	475	360	0	9252	5216	3739	2755	1230	91				0	0			484	24	971	192							0														5758				260		0	167		2516													1864			CONF	CONF					
83151																																																													0	909	29231		433			40334	5400		0	288501	0	0	0	98094	3199		40125	2627	12284	43307	34563	4792	504	31698	37189	70072	48346	3102	0				0	40			5763	12129	49935	41626							0														63944				0		0	38		245													1125			CONF	CONF					
83375																																																													0	0	48692		0			235666	10504		5995	926906	3808	708	0	56561	182		188478	1745	6418	9714	13558	24437	535	245630	107012	229129	230304	25159	10058				0	0			18346	119677	112000	229463							0														298474				533		0	220		1672													91028			CONF	CONF					
83638	5089113			17940	0	1531545	15368		0	0	7006383	0	0			896818	2519973	501266	1082864	1079624	543341	54232	0	0	0	0	13397	0	117734	32987						0	3227													2402928	0	0	935	0	0	0	0	0	0	217124		0	349917	0	0	1531545	15368		315960	0	0	7006383	0	3227		1197199	402	52663		99764	34037	70676	32339	66145	893887							0	0	13397	0	117734			49608	309648	1193909	1672470						0	0													0						1847	16093			935	0	0	0	0	0				0				217124		2392	CONF	CONF				0	
83834																																																													0	401	1618		0			12881	2300		0	161549	0	0	0	81734	329		37916	2912	6583	35761	34822	1323	57	17018	15629	32473	12530	1991	0				2345	0			3617	16091	17826	18677							0														84149				0		0	0		498													3232			CONF	CONF					
83852																																																													0	2074	0		2644			4587	0		0	18685	0	0	0	709	0		4710	0	2	14	92	601	0	4278	430	3345	3576	6347	0				0	0			0	0	0	4457							0														0				0		0	47		170													3997			CONF	CONF					
83955																																																													0	6033	0		6842			24029	266		4	85789	0	0	0	15295	387		35050	933	2200	2582	3899	4692	716	16420	25730	15107	8803	3755	611				0	0			589	4265	7068	11995							0														0				466		0	60		4273													4683			CONF	CONF					
84046																																																													0	1037	0		1341			3539	185		1054	12204	0	0	278	1976	112		2121	0	363	601	876	136	0	2692	57	3005	1564	2676	5				0	17			109	852	0	991							0														6092				0		0	2		707													282			CONF	CONF					
84541																																																													0	120884	84551		71264			229689	52216		13426	1680409	5010	203	0	259657	7366		360329	6790	16659	73697	104487	47310	8902	313915	154252	269289	429833	231737	5972				2027	479			86989	158233	233266	321669							0														544199				2507		1836	1483		14975													25206			CONF	CONF					
85052																																																													0	1482	6719		683			11872	333		0	74300	0	0	0	3008	286		10264	211	1363	420	284	604	125	2424	10446	13378	16755	10875	17141				0	13			1820	1701	6137	39204							0														0				603		0	0		0													1042			CONF	CONF					
85472																																																													0	1753	1035519	2500	0	677718	0	677718	87986		8663	10140084	0	365	186330	3198818	41073	395963	926261	43697	103113	109899	102503	504284	2327675	2407861	598250	1462903	1310073	1018793	115972	0	0	0	0	29563	0		131515	566526	820489	3518313	0	365				831	2280														7336405				8596	0	0	2500	0	0	0	0	6963	0	802	0	0	0	0	0	0	0	19283	0	0	CONF	CONF					
85931																																																													0	0	360		0			20127	2337		0	187890	0	4803	0	119859	470		19452	1838	3077	4456	4704	34946	70293	12712	6070	8334	12063	22127	5251				0	3010			11356	5543	11029	4246							0														93889				308		0	0		737													4013			CONF	CONF					
86349																																																													0	55813	7113		13173			32790	4017		365	422859	0	0	0	169560	8267		54691	11965	42863	36250	19017	16697	42154	22832	38707	51360	60365	44185	35448				678	355			10870	14305	26038	25585							0														422859				0		0	3		21030													32897			CONF	CONF					
86675																																																													0	1389	17836		0			8110	16622		0	912820	0	0	0	521762	1123		23581	203	1387	3911	6059	79221	428732	12030	9961	77682	65273	207754	15916				0	11			8206	31025	46448	260160							392														504184				247		0	11		0													117			CONF	CONF					
87047																																																													0	2954	1831		0			880	1473		149	79107	0	0	0	34928	530		1483	260	1252	6412	2602	3433	20969	2332	7558	23637	4264	2726	3662				0	0			711	1621	10120	23497							0														27684				455		0	8		374													31			CONF	CONF					
87234																																																													0	2543	7328		0			39907	36527		0	692906	0	0	0	279589	3340		219600	23491	10223	36837	36358	67857	104824	147727	38159	58981	72543	83215	12691				0	0			51803	54660	100593	110871							0													0	0				0		0	3482		988													1275			CONF	CONF				0	
87476																																																													0	3194	11364		0			1489	4632		76	184686	0	0	0	127022	341		858	395	1944	8647	38800	71471	4758	5538	1123	9240	11979	26988	2169				0	0			4252	5538	9258	13321							0														92414				1632		0	483		2348													1368			CONF	CONF					
87579																																																													0	0	97330	0	0	11052	0	11052	1468		0	486627	0	0	663	202087	3160	92995	34971	2538	7156	9712	28840	65636	88166	39988	17468	30536	10907	178408	7233	0	0	0	0	0	0		30546	24374	52038	64525	0	0				0	0														306385				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	CONF	CONF					
88231																																																													0	780	30812		125			36969	94928		0	1068861	0	0	0	374717	4186		242714	6874	6675	26101	24047	17062	293106	97932	131234	188568	138543	85689	50402				0	882			99901	114682	96250	211027							0													0	624317				0		0	0		1166													2436			CONF	CONF				0	
88259																																																													0	22070	0		10529			4550	1416		692	65296	0	401	0	17561	830		11876	84	737	6182	5888	2701	1970	1780	9773	11000	12843	11257	1077				0	5			169	193	1082	3257							0														18123				0		0	15		2102													424			CONF	CONF					
88352																																																													0	14511	358		17609			21302	787		0	121753	0	0	0	25253	148	24967	42892	1130	52	1822	3533	3780	14936	21733	21988	9874	16200	9509	16699				0	0			1715	12233	16677	2094						0	0														0				0		0	82	0	2703	0	0	0	0	0			0	0	0	0	0	6281	0	0	CONF	CONF					
88455																																																													0	196960	0		159050			46005	1804		7512	540388	0	0	142	17737	868		172511	462	1975	1350	4449	8740	761	195653	34491	85713	110018	86478	10287				0	2			13035	0	55308	26932							0														286964				0		0	9140		4609													1426			CONF	CONF					
89032																																																													0	89	575		2577			12717	2376		0	84559	0	0	708	15209	42		23485	1035	1528	4137	8286	67	157	11232	13880	19694	22315	1157	1071				0	0			5222	17800	9776	12724							0														19784				466		0	33		454													4965			CONF	CONF					
89135																																																													0	3111	1989		587			4779	613		19	67669	0	0	0	34775	865		6827	1411	5929	23068	2012	288	1834	662	8513	15133	5525	809	1976				0	0			4169	3917	4153	6572							0													0	16597				99		0	18		277													1825			CONF	CONF				0	
89854																																																													0	5971	12523		12769			23960	3162		25	173974	0	167	0	32316	3042		53657	3162	3529	11230	11720	835	1778	26366	20600	59265	26390	8899	138				0	52			5587	7793	23691	41288							0													0	48721				0		0	358		297													973			CONF	CONF				0	
89957																																																													0	9079	2377		94			20985	0		5	153924	0	0	0	50450	716		28702	1071	3061	6495	6092	8961	23562	35443	9021	21017	7848	13499	15980				0	0			6247	19529	11881	31897							0													0	146650				0		0	2		87													575			CONF	CONF				0	
90047																																																													0	4086	0		2450			2215	0		0	22589	0	0	0	11332	221		5598	630	1614	5856	2841	351	0	2100	1754	2008	4993	392	2				0	0			376	0	0	196							0														0				0		0	23		849													841			CONF	CONF					
90177																																																													0	0	0		0			0	2782		0	304842	1578	0	0	295267	3876		755	1331	20442	1524	1802	45449	224139	4006	1745	382	350	4635	33				0	0			441	2756	226	0							0														71778				1022		0	0		0													1072			CONF	CONF					
90328																																																													0	24345	72897		3244			47050	56738		4725	826684	0	0	0	278171	2775		58025	11476	17810	74076	77623	96851	28	110865	32816	162189	179120	60659	1381				0	737			20034	30866	134185	142222							0														192875				614		1000	848		1699													5148			CONF	CONF					
90337																																																													0	0	8613	0	396	114605	0	114605	1555		0	503857	345	0	0	50108	2575	5923	198235	8707	2976	15752	22287	159	0	152338	34250	128109	116422	19086	1610	0	0	0	135	90	0		18771	85176	82041	137832	0	0				0	0														232026				0	0	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	0	2144	0	0	CONF	CONF					
90579																																																													0	1781	25698		0			5825	4314		0	385169	0	0	0	231861	2803		23812	244	1162	1381	4267	41774	183029	8527	34737	32602	40135	34851	2441				0	0			2237	17168	19626	73221							0													0	259064				491		0	11		590													34			CONF	CONF				0	
91615																																																													0	25719	0		3384			8200	1511		305	111453	0	0	0	45151	1493		10476	570	2870	14525	17144	6149	3893	11112	5688	19743	17603	9888	1669				0	0			1532	579	4179	14713							0													0	36367				0		0	57		2990													1640			CONF	CONF				0	
91754																																																													0	11990	1334	0	3478	16947	0	16947	0		807	249478	0	0	0	95791	4480	0	56492	1727	4000	9920	20852	32981	26055	30267	21360	31412	26261	36500	5022	0	0	0	0	321	0		11702	25496	37484	26815	0	0				0	0														233812				0	369	0	369	0	2845	0	0	0	0	0	0	0	0	0	0	0	0	9619	0	0	CONF	CONF					
91950																																																													0	9826	0		2864			1872	487		0	39727	0	0	0	17829	371		10538	0	1042	2935	3241	10177	0	13346	2006	904	2929	2713	0				0	0			1029	776	2461	0							0														0				0		0	2		1639													571			CONF	CONF					
92144																																																													0	1862	0		9811			2623	0		0	16243	0	0	0	252	0		8693	1	101	132	17	0	0	7969	724	1244	2727	1167	1173				0	0			0	0	0	690							0														1000				0		0	0		379													626			CONF	CONF					
92676																																																													0	332	10072	0	0	71376	0	71376	13342		0	571500	0	0	0	163458	9859	30892	6626	2830	5507	4752	7727	54896	87220	35077	26054	77662	92302	150181	21949	0	0	0	0	0	0		10813	21458	65794	114136	0	0				0	0														127302				0	90687	0	90687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	CONF	CONF					
92706																																																													0	0	7272		0			14766	4318		5720	267507	307	45	0	186775	4730		5782	4636	19415	13507	11150	37292	100071	7535	9008	6970	8097	14142	35289				0	329			4232	3161	15777	14426							0														120547				391		0	0		130													6133			CONF	CONF					
92902																																																													0	240	0		0			2837	0		0	13935	0	0	0	2679	0		4217	260	0	1	52	671	1695	3916	41	255	571	1409	4888				0	0			0	314	4775	449							0														0				0		0	9		1085													1547			CONF	CONF					
93244																																																													0	45188	10781		12422			46565	19977		5837	311395	0	5306	0	67277	281		60799	1209	2644	14276	41257	7743	0	29754	27192	88064	71555	22960	577				0	16			7459	7163	49992	28931							0													0	252443				72		0	116		2442													1642			CONF	CONF				0	
