"IDRSSD"	RCON8725	RCONA126	RCONC391	RCONFT00	RCONFT01	RCONFT02	RCONFT03	RCONFT04	RCONFT05	RCONFT06	RCONFT07	RCONFT08	RCONFT09	RCONFT10	RCONFT11	RCONFT12	RCONFT13	RCONFT14	RCONFT15	RCONFT16	RCONHK18	RCONHK19	RIADC388	RIADC389	RIADC390	RIADF551	RIADF553	
	TOTL INT RATE CONTRCS-MKD TO MARKET	TOTAL INT RATE CONTRACTS TRADING	OTSTDNG CRED CD FEES & FIN CHGS	DOES THE INSTITUTION HAVE ANY DERIVA	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	TOTAL GROSS NOTIONAL AMOUNT OF ALL O	FOR THE TWO CALENDAR QUARTERS PRECED	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	DOES THE INSTITUTION USE THE FAIR VA	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY ASSETS	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION SERVICE ANY CLO	TOTAL OUTSTANDING PRINCIPAL BALANCE	DOES THE INSTITUTION HAVE ANY CONSOL	TOTAL ASSETS OF CONSOLIDATED VARIABL	TOTAL LIABILITIES OF CONSOLIDATED VA	DOES THE INSTITUTION, TOGETHER WITH	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	AGGREGATE AMOUNT OF FAIR VALUE OPTIO	UNCOLLBLE CRED CRD FEE&FIN CHGS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW CR LN&LSE LOSS CC/FIN CHGS	NET GAINS(LOSS) ERN RPT AT FV	NET GN LS ERN ON LIABILITY RPT AT FV	
48440				false			false			false	false		true	82639	true	110181	false			false								
49054				false			false			false	false		false		true	12903	false			false								
49148				false			false			false	false		false		false		false			false								
49241	20000	0		true	0	0	false			true	false		false		false		false			false	0	159				0	0	
49652				false			false			false	false		false		true	16113	false			false								
49858				false			false			false	false		false		false		false			false								
49951				false			false			false	false		false		false		false			false								
50144				false			false			false	false		false		false		false			false								
50461	0	0																										
51253	0	0																										
51356	0	0																										
51459				false			false			true	false		false		false		false			false	3488	0				350	0	
51842	0	0																										
52719	0	0						0	0																			
52951				false			false			false	false		false		false		false			false								
53051				false			false			false	false		false		false		false			false								
54058	0	0																										
54656	0	0																										
54973	15838	0						26343	2923																			
55336				false			false			false	false		false		false		false			false								
55635				false			false			false	false		false		false		false			false								
55653				false			false			false	false		false		false		false			false								
55970				false			false			false	false		false		true	141097	false			false								
56258				false			false			false	false		false		false		false			false								
56351	0	0																								-21170	0	
56548	1457	0		true	0	0	false			false	false		false		true	191668	false			false								
56717	6538	0		true	0	0	false			false	false		true	29344	true	144969	false			false								
57040	0	0																										
57451				false			false			false	false		false		true	126862	false			false								
58225				false			false			false	false		false		false		false			false								
58243	1738152	0						73073	9287																			
58355				false			false			false	false		false		false		false			false								
58551				false			false			false	false		false		false		false			false								
58636				false			false			false	false		false		false		false			false								
58757				false			false			false	false		false		false		false			false								
58971	104834	0						23153	4105																			
59316	10016	0		true	0	0	false			false	false		false		true	58404	false			false								
59352				false			false			false	false		false		false		false			false								
59370				false			false			false	false		false		false		false			false								
59754				false			false			false	false		false		false		false			false								
60143								9000	1000																			
60330	43607	0						0	0																			
60545				false			false			false	false		false		false		false			false								
60554				false			false			false	false		false		false		false			false								
60648				false			false			false	false		false		true	55383	false			false								
61122	0	0						0	0																			
