"IDRSSD"	RIAD3210	RIAD3217	RIAD4340	RIAD4356	RIAD4415	RIAD4460	RIAD4470	RIADB507	RIADB508	RIADB509	RIADB510	RIADB511	
10250	29617	30280	892	0	0	429	0	0	30280	0	0	-1126	
10849	26938	27031	331	0	0	77	0	0	27031	0	0	-347	
11145	36547	34901	1487	0	0	0	0	0	34901	0	0	159	
11640	35920	35756	865	0	0	0	0	0	35756	0	0	-701	
11837	10664	10974	128	0	0	0	0	0	10974	0	0	-438	
12030	95832	90810	5173	0	0	0	0	0	90810	0	0	-151	
12142	17597	17166	915	0	0	0	0	0	17166	0	0	-484	
12311	17649823	17959681	481875	0	0	600000	11174	0	17959681	22799	0	-203358	
12647	21460	21048	517	0	0	105	0	0	21048	0	0	0	
12946	211283	210051	6776	0	0	0	0	0	210051	0	0	-5544	
13103	408820	400513	9255	0	0	0	0	0	400513	0	0	-948	
13251	7503	7439	295	0	0	237	0	0	7439	0	0	6	
13457	14362	14327	103	0	0	0	0	0	14327	0	0	-68	
14155	39106	37148	2091	0	0	0	0	0	37148	0	0	-133	
14650	9175	8678	497	0	0	0	0	0	8678	0	0	0	
14753	6159	5986	205	0	0	0	22	0	5986	0	0	-10	
14865	78045	75738	3712	0	0	700	0	0	75738	0	0	-705	
14977	11148	11127	51	0	0	0	0	0	11127	0	0	-30	
16551	37803	41315	-1654	0	0	1638	0	0	41315	0	0	-220	
17110	33211	35295	2916	0	0	5000	0	0	35295	0	0	0	
17147	2257109	2291788	51461	0	0	65000	0	0	2291788	920	0	-22060	
17259	4136	4055	63	0	0	0	0	0	4055	0	0	18	
17950	48677	48861	932	0	0	428	0	0	48861	0	0	-688	
17978	130315	129779	536	0	0	0	0	0	129779	0	0	0	
18050	67448	68593	1787	0	0	287	0	0	68593	0	0	-2645	
18827	248719	191474	3058	31943	21000	0	0	0	191474	0	0	1244	
18836	18469	18324	308	0	0	221	0	0	18324	0	0	58	
18854	179331	169276	11288	0	0	1940	0	0	169276	252	0	455	
19356	11446	10716	511	0	0	34	0	0	10716	0	0	253	
19936	34701	33938	1608	0	0	728	0	0	33938	33	0	-150	
19972	24169	24151	18	0	0	0	0	0	24151	0	0	0	
20053	22088	21647	466	0	0	0	0	0	21647	0	0	-25	
20633	36731	36763	368	0	0	162	0	0	36763	0	0	-238	
20857	38607	38337	1235	0	0	0	0	0	38337	0	0	-965	
21256	1112	1103	-5	0	0	0	0	0	1103	0	0	14	
21359	5147	5418	190	0	0	271	0	0	5418	0	0	-190	
21658	17683	17225	528	0	0	211	0	0	17225	0	0	141	
22048	24132	24326	786	0	0	328	0	0	24326	0	0	-652	
22543	34264	33740	455	0	0	0	0	0	33740	0	0	69	
22552	7569	8185	204	0	0	716	0	0	8185	0	0	-104	
22730	12410	13129	219	0	0	0	0	0	13129	0	0	-938	
23456	25210	24454	559	0	1500	0	0	0	24454	0	0	-1303	
23504	1410566	1395526	19746	0	0	12500	0	0	1395526	1707	0	6087	
23643	10958	11448	237	0	0	0	0	0	11448	0	0	-727	
23755	16905	16620	552	0	0	225	0	0	16620	0	0	-42	
24006	280407	280090	2543	0	0	0	0	0	280090	0	0	-2226	
24378	8016	7917	96	0	0	0	0	0	7917	0	0	3	
24659	12050	12153	549	0	0	500	0	0	12153	0	0	-152	
24949	55411	54471	1235	0	0	250	0	0	54471	0	0	-45	
25357	61021	60388	1352	0	0	0	0	-807	59581	0	0	88	
25647	36727	35826	134	0	0	0	0	0	35826	750	0	17	
26765	358868	354649	17628	0	0	12355	0	0	354649	1000	0	-2054	
27070	122609	123548	-65	0	0	0	0	0	123548	0	0	-874	
27614	25455	27109	835	0	0	0	0	0	27109	0	0	-2489	
27847	64172	64726	1667	0	0	600	0	0	64726	0	0	-1621	
28013	719532	711211	6674	0	904	0	0	0	711211	0	0	743	
28152	13478	13248	278	0	0	0	0	0	13248	0	0	-48	
28675	22786	22525	530	0	0	0	0	0	22525	0	0	-269	
28732	18223	17731	570	0	0	0	0	0	17731	0	0	-78	
29476	15952	15572	369	0	0	0	0	0	15572	0	0	11	
29636	61285	60061	3244	0	0	2940	0	0	60061	0	0	920	
29878	727383	726164	3435	0	0	0	0	0	726164	0	0	-2216	
30052	6494	6197	297	0	0	0	0	0	6197	0	0	0	
30502	87867	89997	1545	0	0	800	0	0	89997	0	0	-2875	
30810	13003091	12791099	416034	0	0	0	0	-37381	12753718	0	0	-166661	
31134	33970	32793	1309	0	0	0	0	0	32793	0	0	-132	
31255	98980	97066	5257	0	0	2900	0	0	97066	0	0	-443	
31657	26454	25985	570	0	0	101	0	0	25985	0	0	0	
31826	43413	42992	503	0	0	0	0	0	42992	0	0	-82	
31835	19726	19642	900	0	0	725	0	0	19642	0	0	-91	
32234	14350	13075	249	0	0	0	0	-182	12893	0	0	1208	
32766	41049	40004	1659	0	0	614	0	0	40004	0	0	0	
32971	36469	36082	492	0	0	0	0	0	36082	0	0	-105	
33147	34550	36217	2396	0	0	4000	0	0	36217	0	0	-63	
33259	102242	98745	3574	0	0	0	0	0	98745	0	0	-77	
33370	3443	3408	35	0	0	0	0	0	3408	0	0	0	
33839	4655	4522	119	0	0	0	0	0	4522	0	0	14	
33857	125570	123148	2914	0	0	0	0	0	123148	0	0	-492	
34434	46250	45609	1394	0	0	737	0	0	45609	0	0	-16	
34537	2111379	2101688	26697	0	0	15145	0	0	2101688	2217	0	-4078	
34555	29358	29472	703	0	0	0	0	0	29472	0	0	-817	
34742	57209	56565	1076	0	0	425	0	0	56565	0	0	-7	
35057	20205	19977	746	0	0	455	0	0	19977	0	0	-63	
35301	26127000	25391000	534000	0	300000	100000	0	0	25391000	0	0	2000	
35646	14422	14296	242	0	0	0	0	0	14296	0	0	-116	
35879	10444	10747	-371	0	0	0	0	0	10747	0	0	68	
36456	9768	9954	43	0	0	102	0	0	9954	0	0	-127	
36933	29676	28694	1409	0	0	0	0	0	28694	5	0	-432	
37051	15334	15286	332	0	0	265	0	0	15286	0	0	-19	
37341	9163	8858	484	0	0	152	0	0	8858	0	0	-27	
37435	229098	216360	15758	0	0	0	0	0	216360	0	0	-3020	
37640	628170	652452	20582	0	0	25000	0	0	652452	0	0	-19864	
37659	6626	6485	268	0	0	125	0	0	6485	0	0	-2	
37949	22639	23259	1183	0	0	1200	0	0	23259	0	0	-603	
38740	20832	21465	196	0	0	0	0	0	21465	0	0	-829	
39327	104313	103253	2974	0	0	1475	0	0	103253	0	0	-439	
39756	66542	64735	2646	0	0	0	0	0	64735	0	0	-839	
40033	6600	6833	40	0	0	261	0	0	6833	0	0	-12	
40499	526263	526302	7313	0	670	3500	0	0	526302	460	0	-4982	
40855	16262	15930	552	0	0	180	0	0	15930	0	0	-40	
41553	4314	4475	286	0	0	50	0	0	4475	0	0	-397	
41629	32015	31451	688	0	0	250	0	0	31451	0	0	126	
41825	87409	85611	1681	0	0	0	0	0	85611	-53	0	170	
42037	9391	9391	58	0	0	0	0	0	9391	0	0	-58	
42354	19459	19352	1271	0	0	300	0	0	19352	0	0	-864	
42372	73145	72900	295	0	0	0	0	0	72900	0	0	-50	
42420	1297084	1284766	39284	0	0	19622	0	0	1284766	0	0	-7344	
42448	263169	263347	6107	0	0	5000	0	0	263347	0	0	-1285	
42457	6781	6848	196	0	0	200	0	0	6848	0	0	-63	
43052	24297	23987	564	0	0	0	0	0	23987	0	0	-254	
43351	59774	58549	1241	0	0	0	0	0	58549	0	0	-16	
43856	7761	7537	215	0	0	0	0	0	7537	0	0	9	
43959	15028	15837	610	0	0	200	0	0	15837	0	0	-1219	
44040	37351	37707	399	0	0	0	0	0	37707	0	0	-755	
44433	44011	45220	-1080	0	0	0	0	0	45220	0	0	-129	
44741	56456	57347	893	0	0	356	0	0	57347	0	0	-1428	
44750	10335	10766	438	0	0	341	0	0	10766	0	0	-528	
44929	17491	17211	366	0	0	0	0	0	17211	0	0	-86	
45038	13683	14009	453	0	0	160	0	0	14009	0	0	-619	
45056	12031	11910	190	0	0	0	0	0	11910	0	0	-69	
45430	20094	20097	356	0	0	0	0	0	20097	0	0	-359	
45458	20119	20417	531	0	0	250	0	0	20417	0	0	-579	
45551	110161	109061	2589	0	0	750	0	0	109061	0	0	-739	
45560	164449	164867	2801	0	0	2338	0	0	164867	0	0	-881	
45775	15092	15335	-100	0	0	0	0	0	15335	0	0	-143	
46053	13641	14020	266	0	0	586	0	0	14020	0	0	-59	
46941	13129	13377	475	0	0	289	0	0	13377	0	0	-434	
47247	94052	89180	2019	0	3500	345	0	0	89180	0	0	-302	
47500	67030	66547	1439	0	0	0	0	0	66547	0	0	-956	
48057	10137	9963	160	0	0	40	0	0	9963	0	0	54	
48150	5333	5280	59	0	0	0	0	0	5280	0	0	-6	
48374	196246	194576	5788	0	0	3756	0	0	194576	31	0	-393	
48440	14361	13932	321	0	0	0	0	0	13932	0	0	108	
49054	25289	25461	465	0	0	398	0	0	25461	0	0	-239	
49148	9356	9494	465	0	0	200	0	0	9494	0	0	-403	
49241	156459	154523	2600	0	0	1000	0	0	154523	0	0	336	
49652	16625	16677	53	0	0	0	0	0	16677	0	0	-105	
49858	26664	26012	698	0	0	0	0	27	26039	0	0	-73	
49951	14175	14447	86	0	0	0	0	0	14447	0	0	-358	
50144	15243	15146	97	0	0	0	0	0	15146	0	0	0	
50461	42058	41120	934	0	0	0	0	4	41124	0	0	0	
51253	185183	176859	8317	0	0	0	0	0	176859	0	0	7	
51356	14811	14563	366	0	0	307	0	-1	14562	0	0	190	
51459	15592	15474	862	0	0	450	0	0	15474	0	0	-294	
51842	67101	65000	2742	0	0	0	0	0	65000	0	0	-641	
52719	808567	797354	17513	0	0	0	6300	0	797354	0	0	0	
52951	47418	48013	1549	0	0	1500	0	0	48013	0	0	-644	
53051	19432	19310	822	0	0	700	0	0	19310	0	0	0	
54058	56665	56956	1465	0	0	1100	0	0	56956	0	0	-656	
54656	-33426	-20237	320	0	0	0	0	0	-20237	0	0	-13509	
54973	541595	529851	20934	0	578	0	0	0	529851	0	0	-9768	
55336	56004	55261	1066	0	0	0	0	0	55261	0	0	-323	
55635	18085	18426	-343	0	0	0	0	0	18426	0	0	2	
55653	11945	11719	479	0	0	200	0	0	11719	0	0	-53	
55970	70961	70402	298	0	0	0	0	0	70402	0	0	261	
56258	6891	7971	617	0	0	452	0	0	7971	0	0	-1245	
56351	430247	420021	12444	0	0	840	0	0	420021	0	0	-1378	
56548	82594	82966	78	0	0	0	0	0	82966	0	0	-450	
56717	95857	95464	2370	0	0	1000	0	0	95464	0	0	-977	
57040	26313	26045	258	0	0	0	0	0	26045	0	0	10	
57451	61090	60264	921	0	0	0	0	0	60264	0	0	-95	
58225	35546	35991	449	0	0	505	0	0	35991	0	0	-389	
58243	812687	800765	14923	0	0	0	0	0	800765	0	0	-3001	
58355	5877	5637	247	0	0	0	0	0	5637	0	0	-7	
58551	24190	24432	1094	0	0	735	0	0	24432	0	0	-601	
58636	38932	38382	1101	0	0	50	0	0	38382	0	0	-501	
58757	34721	34096	770	0	0	0	0	0	34096	0	0	-145	
58971	868715	862494	11765	0	0	4649	0	0	862494	0	0	-895	
59316	180799	180508	4686	0	0	2433	0	0	180508	89	0	-2051	
59352	63111	61184	1580	0	0	0	0	0	61184	0	0	347	
59370	56630	56075	632	0	0	0	0	0	56075	0	0	-77	
59754	11693	11424	167	0	100	0	0	0	11424	0	0	2	
60143	5444000	5703000	153000	0	0	0	0	-4000	5699000	0	0	-408000	
60330	103836	104149	5670	0	0	4348	0	0	104149	251	0	-1886	
60545	21592	20492	445	0	0	247	0	0	20492	0	0	902	
60554	9772	9851	275	0	0	275	0	0	9851	0	0	-79	
60648	26591	26740	537	0	0	255	0	0	26740	0	0	-431	
61122	167789	164878	3806	0	0	1828	0	0	164878	0	0	933	
61355	117936	117192	851	0	0	0	0	0	117192	0	0	-107	
61476	234179	231895	2533	0	0	0	0	0	231895	0	0	-249	
61757	63710	62845	1298	0	0	430	0	0	62845	0	0	-3	
61832	30931	30830	1264	0	0	0	0	0	30830	0	0	-1163	
61953	6393	6017	371	0	0	0	0	0	6017	0	0	5	
62044	14461	15709	-1210	0	39	0	0	-27	15682	0	0	-50	
62110	13276	12917	359	0	0	0	0	0	12917	0	0	0	
62147	7088	7328	110	0	0	90	0	0	7328	0	0	-260	
63050	50030	48570	1302	0	0	0	0	0	48570	0	0	158	
63069	10566096	10314366	163882	0	0	0	0	0	10314366	60	0	87788	
63201	18299	19070	131	0	0	0	0	0	19070	0	0	-902	
63573	110319	109936	259	0	0	0	0	0	109936	0	0	124	
63733	140366	140913	3337	0	0	2000	0	0	140913	0	0	-1884	
64150	23550	22577	795	0	0	0	0	0	22577	0	0	178	
64552	29754	31181	-1327	0	0	0	0	0	31181	0	0	-100	
64730	18558	19120	325	0	0	760	0	0	19120	0	0	-127	
65205	174460	174696	-42	0	0	0	0	0	174696	0	0	-194	
65559	70538	69797	2151	0	0	517	0	0	69797	0	0	-893	
65858	178223	176204	6615	0	0	5250	0	0	176204	0	0	654	
66154	19163	19141	412	0	28	240	0	0	19141	0	0	-178	
66275	60767	58989	2016	0	0	70	0	0	58989	0	0	-168	
67142	27552	27656	24	0	0	0	0	0	27656	0	0	-128	
67151	63397	62858	2290	0	0	353	0	0	62858	0	0	-1398	
67209	139625	138814	738	0	0	0	0	0	138814	0	0	73	
67254	1596	1618	-417	0	395	0	0	0	1618	0	0	0	
67656	231707	214039	18621	0	0	300	0	0	214039	0	0	-653	
67870	65942	65757	41	0	0	0	0	0	65757	193	0	-49	
68671	17060	17214	-154	0	0	0	0	0	17214	0	0	0	
68756	97152	95270	3963	0	0	1090	0	0	95270	0	0	-991	
68831	23377	22833	867	0	0	0	0	0	22833	0	0	-323	
69333	161554	158416	4986	0	0	5	0	0	158416	0	0	-1843	
69678	46844	47067	261	0	0	650	0	0	47067	0	0	166	
70218	13330	13361	-42	0	0	0	0	0	13361	0	0	11	
70414	51377	51714	338	0	388	240	0	0	51714	0	0	-823	
70638	49840	60476	3941	0	0	13850	0	0	60476	0	0	-727	
70955	3092	3028	64	0	0	0	0	0	3028	0	0	0	
71073	13528	13554	122	0	0	0	0	0	13554	0	0	-148	
71457	43054	44156	877	0	0	1000	0	0	44156	0	0	-979	
71859	22267	22451	-174	0	0	0	0	0	22451	0	0	-10	
72258	87219	81285	3960	0	0	0	0	0	81285	0	0	1974	
72351	4700	5098	170	0	0	35	0	0	5098	0	0	-533	
72454	13143	13316	298	0	0	355	0	0	13316	0	0	-116	
72678	56349	57762	421	0	0	0	0	0	57762	0	0	-1834	
73116	55070	54915	721	0	0	0	0	0	54915	0	0	-566	
73152	2982	3391	406	0	0	0	0	0	3391	0	0	-815	
73554	32834	32117	497	0	0	0	0	0	32117	0	0	220	
73956	5508	5615	61	0	0	0	0	0	5615	0	0	-168	
74056	23885	22574	963	0	0	0	0	0	22574	0	0	348	
74140	152577	157122	3750	0	0	6000	0	0	157122	0	0	-2295	
74403	113634	113530	1282	0	0	188	0	0	113530	0	0	-990	
74449	3741	3650	91	0	0	0	0	0	3650	0	0	0	
75259	99705	100374	400	0	0	1250	0	0	100374	0	0	181	
75446	64566	64803	899	0	0	570	0	0	64803	0	0	-566	
75455	7602	7405	112	0	0	0	0	0	7405	0	0	85	
75633	33215525	32976006	682897	0	0	87000	0	0	32976006	272	0	-356650	
75651	7429	7489	115	0	0	0	0	0	7489	0	0	-175	
76153	4595	4602	-7	0	0	0	0	0	4602	0	0	0	
76443	9275	9660	550	0	0	500	0	0	9660	0	0	-435	
76854	54142	53730	1415	0	0	0	0	0	53730	0	0	-1003	
77150	7156	7148	173	0	0	200	0	0	7148	0	0	35	
77253	31870	34319	548	0	0	700	0	0	34319	0	0	-2297	
77422	17759	17812	48	0	0	0	0	0	17812	0	0	-101	
77851	464046	451362	26714	0	0	13400	0	0	451362	0	0	-630	
78157	9038	8982	485	0	0	350	0	0	8982	0	0	-79	
78241	13084	12916	261	0	0	0	0	0	12916	0	0	-93	
78559	8402	9251	-819	0	0	0	0	0	9251	0	0	-30	
79042	29524	29733	469	0	0	225	0	0	29733	0	0	-453	
79127	7266	7556	129	0	0	305	0	0	7556	0	0	-114	
79145	23694	23384	344	0	0	0	0	0	23384	0	0	-34	
79257	6664	6627	30	0	0	0	0	0	6627	0	0	7	
79855	31532	30713	907	0	0	28	0	0	30713	0	0	-60	
80150	46624	45939	1891	1708	0	1485	0	0	45939	0	0	-1429	
80374	31686	31016	515	0	0	0	0	0	31016	0	0	155	
80431	11770	11481	367	0	0	0	0	0	11481	0	0	-78	
81175	46493	45930	650	0	0	0	0	0	45930	-272	0	185	
82033	16484	16783	164	0	0	0	0	0	16783	0	0	-463	
82257	4884	4761	148	0	0	0	0	0	4761	0	0	-25	
82350	4994	4996	138	0	0	15	0	0	4996	0	0	-125	
83151	33269	32336	897	0	0	0	0	0	32336	0	0	36	
83375	103022	102191	1599	0	0	0	0	0	102191	0	0	-768	
83638	817575	809908	13648	0	0	0	0	0	809908	-549	0	-5432	
83834	20680	19808	1000	0	0	21	0	0	19808	0	0	-107	
83852	4091	4710	424	0	0	900	0	0	4710	0	0	-143	
83955	9110	9124	290	0	0	39	0	0	9124	0	0	-265	
84046	3342	3599	-233	0	0	0	0	0	3599	0	0	-24	
84541	258528	253408	5388	-268	0	0	0	0	253408	0	0	0	
85052	8605	9129	127	0	0	0	0	0	9129	0	0	-651	
85472	1657960	1667170	28527	0	0	41000	0	0	1667170	1807	0	1456	
85931	22855	22827	354	0	0	100	0	0	22827	0	0	-226	
86349	62441	30757	1088	30500	0	675	0	0	30757	0	0	771	
86675	244033	244125	986	0	0	0	0	0	244125	0	0	-1078	
87047	20373	20639	297	0	0	0	0	0	20639	0	0	-563	
87234	84640	83751	1076	0	0	0	0	0	83751	0	0	-187	
87476	34012	34047	28	0	0	0	0	0	34047	0	0	-63	
87579	44821	44160	1098	0	0	0	0	0	44160	0	0	-437	
88231	129361	125553	3601	0	0	0	0	0	125553	0	0	207	
88259	8941	9458	210	0	0	700	0	0	9458	0	0	-27	
88352	32860	32142	1561	0	0	846	0	0	32142	0	0	3	
88455	87613	85976	2789	4081	0	4200	0	0	85976	0	0	-1033	
89032	21894	21680	301	0	0	0	0	0	21680	0	0	-87	
89135	8416	8444	102	0	0	0	0	0	8444	0	0	-130	
89854	20046	16905	447	0	2720	138	0	0	16905	0	0	112	
89957	25302	25167	21	0	0	0	0	0	25167	101	0	13	
90047	2501	2351	78	0	0	0	0	0	2351	0	0	72	
90177	33457	33160	230	0	0	0	0	0	33160	0	0	67	
90328	82511	82537	2097	0	0	1555	0	0	82537	0	0	-568	
90337	90069	87932	3625	0	0	1314	0	0	87932	0	0	-174	
90579	59393	60394	219	0	0	0	0	0	60394	0	0	-1220	
91615	10473	10410	193	0	0	55	0	0	10410	0	0	-75	
91754	-20001	-11570	-40	0	0	0	0	0	-11570	0	0	-8391	
91950	5526	5548	78	0	0	50	0	0	5548	0	0	-50	
92144	6496	6510	47	0	0	0	0	0	6510	0	0	-61	
92676	65234	65565	982	0	0	0	0	0	65565	0	0	-1313	
92706	40522	40632	393	0	0	0	0	0	40632	0	0	-503	
92902	2921	2830	91	0	0	0	0	0	2830	0	0	0	
93244	21301	22603	605	0	0	1094	0	0	22603	0	0	-813	
93543	59013	64098	1330	0	0	6000	0	0	64098	0	0	-415	
93619	39314	38000	1314	0	0	0	0	0	38000	0	0	0	
94139	90512	90863	714	0	0	466	0	0	90863	0	0	-599	
94522	102539	100197	3278	0	0	682	0	0	100197	0	0	-254	
94755	23414	22830	751	0	0	0	0	0	22830	0	0	-167	
94858	14950	14816	896	0	0	375	0	0	14816	0	0	-387	
95051	43777	45118	-1472	0	0	0	0	7	45125	0	0	124	
95677	9266	9350	-84	0	0	0	0	0	9350	0	0	0	
96553	14646	14297	349	0	0	0	0	0	14297	0	0	0	
97055	34975	34457	1356	0	0	583	0	0	34457	0	0	-255	
97279	8368	8453	60	0	0	37	0	0	8453	0	0	-108	
97457	17428	17127	1219	0	0	950	0	0	17127	0	0	32	
97804	144754	143114	2051	0	0	0	0	0	143114	0	0	-411	
97943	52154	53134	1516	0	0	1523	0	0	53134	0	0	-973	
98351	13096	13175	92	0	0	0	0	0	13175	0	0	-171	
98463	69316	71253	779	0	651	0	0	0	71253	0	0	-3367	
98717	28422	29150	-196	0	0	0	0	0	29150	0	0	-532	
99143	28067	28129	556	0	0	300	0	0	28129	0	0	-318	
99376	389036	381250	6386	0	0	0	0	0	381250	0	0	1400	
99442	98003	97914	2333	0	0	1900	0	0	97914	66	0	-410	
99536	93641	91157	4362	0	0	3069	0	0	91157	0	0	1191	
99853	3662	3922	133	0	0	270	0	0	3922	0	0	-123	
100236	43908	42699	2428	0	0	1139	0	0	42699	0	0	-80	
100357	86969	87776	3924	0	0	1680	0	0	87776	0	0	-3051	
100562	1252233	1253492	29180	0	1199	20440	0	0	1253492	0	0	-11198	
100777	67395	68543	218	0	0	0	0	0	68543	0	0	-1366	
100843	51207	51288	720	0	0	0	0	0	51288	0	0	-801	
101037	126870	128417	2913	0	0	1425	0	0	128417	0	0	-3035	
101439	34368	34892	2154	0	0	2568	0	0	34892	0	0	-110	
101671	61823	63749	586	0	0	186	0	0	63749	1	0	-2327	
101738	20576	21320	368	0	0	306	0	0	21320	0	0	-806	
101952	10262	9657	429	0	0	250	0	0	9657	0	0	426	
102333	4834	5094	-150	0	0	0	0	0	5094	0	0	-110	
102342	38233	37668	1011	0	0	250	0	0	37668	0	0	-196	
102557	18207	18198	48	0	0	0	0	0	18198	0	0	-39	
102874	29252	29110	174	0	0	0	0	0	29110	0	0	-32	
103134	7097	6955	188	0	0	11	0	0	6955	0	0	-35	
104234	11401	11502	156	0	0	0	0	0	11502	0	0	-257	
104542	1444	1747	-70	0	0	8	0	0	1747	0	0	-225	
104971	6812	6798	36	0	0	0	0	0	6798	0	0	-22	
105026	53092	51711	1387	0	0	0	0	0	51711	-18	0	12	
105473	446395	447321	-1013	0	0	0	0	0	447321	0	0	87	
105530	17666	18360	313	0	0	475	0	0	18360	0	0	-532	
106359	183473	184044	4094	0	0	700	0	0	184044	0	0	-3965	
106452	65566	64593	2816	0	0	1730	0	0	64593	0	0	-113	
106676	12317	12316	16	0	0	0	0	0	12316	0	0	-15	
107244	5266847	5139001	175537	0	4835	43326	4047	12690	5151691	-8010	0	-9833	
107570	44876	45144	772	0	0	600	0	0	45144	31	0	-471	
107758	6383	6397	47	0	0	0	0	0	6397	0	0	-61	
108072	13911	13753	409	0	0	0	0	0	13753	0	0	-251	
108269	8560	8549	107	0	0	0	0	0	8549	0	0	-96	
108652	9723	9051	172	0	500	0	0	0	9051	0	0	0	
108746	8928	9070	234	0	0	73	0	0	9070	0	0	-303	
108951	41292	42697	458	0	0	0	0	482	43179	0	0	-2345	
109136	36017	37081	1406	0	0	2000	0	0	37081	0	0	-470	
109154	8453	8359	234	0	0	71	0	0	8359	0	0	-69	
109453	21678	22013	484	0	0	450	0	0	22013	0	0	-369	
109574	50601	49703	1868	0	0	0	0	0	49703	0	0	-970	
109659	41158	41125	838	0	0	886	0	0	41125	0	0	81	
110413	173828	166750	23607	0	0	15800	0	0	166750	0	0	-729	
110936	253454	248762	12226	0	0	0	0	0	248762	0	0	-7534	
110945	32367	31802	711	0	31	0	0	0	31802	0	0	-177	
110972	9100	9097	-7	0	0	0	0	0	9097	0	0	10	
111157	8575	8874	148	0	0	420	0	0	8874	0	0	-27	
111205	88109	87409	1451	0	0	0	0	0	87409	0	0	-751	
111942	70851	69003	2183	0	0	255	0	0	69003	0	0	-80	
111979	91629	87807	4759	0	0	1263	0	0	87807	0	0	326	
112163	342155	351367	7508	0	0	15000	0	0	351367	0	0	-1720	
112332	14248	14478	268	0	0	175	0	0	14478	0	0	-323	
112510	6759	6581	264	0	0	73	0	0	6581	0	0	-13	
112556	6650	6845	193	0	0	365	0	0	6845	0	0	-23	
112837	53285296	53187218	1388136	0	37	1	0	-25029	53162189	0	0	-1265065	
113003	190154	176734	13910	0	0	0	0	0	176734	0	0	-490	
113030	16683	17167	649	0	0	950	0	0	17167	0	0	-183	
113441	101683	98104	3920	0	0	0	0	0	98104	77	0	-418	
113601	252599	246470	6655	0	0	0	525	0	246470	0	0	-1	
113740	97610	96158	3199	0	0	785	0	0	96158	70	0	-1032	
114149	32227	31780	716	0	0	0	0	46	31826	0	0	-315	
114260	470702	464791	13476	0	0	10134	0	0	464791	0	0	2569	
114457	22627	23625	1656	0	0	1204	0	0	23625	0	0	-1450	
114774	19512	19485	27	0	0	0	0	0	19485	0	0	0	
