"IDRSSD"	RCFA2170	RCFA3128	RCFA3792	RCFA5310	RCFA5311	RCFA7204	RCFA7205	RCFA7206	RCFA8274	RCFAA223	RCFAA224	RCFAB530	RCFAB596	RCFAH015	RCFAH036	RCFAH311	RCFAH313	RCFAH314	RCFAJJ30	RCFAJJ31	RCFAJJ32	RCFAKW00	RCFAKW03	RCFAKX77	RCFAKX78	RCFAKX79	RCFAKX80	RCFAKX81	RCFAKX82	RCFAKX83	RCFALB58	RCFALB59	RCFALB60	RCFALB61	RCFAP742	RCFAP793	RCFAP839	RCFAP840	RCFAP841	RCFAP842	RCFAP843	RCFAP844	RCFAP846	RCFAP847	RCFAP848	RCFAP849	RCFAP850	RCFAP852	RCFAP857	RCFAP858	RCFAP859	RCFAP860	RCFAP861	RCFAP862	RCFAP863	RCFAP864	RCFAP865	RCFAP866	RCFAP867	RCFAP868	RCFAP870	RCFAP872	RCFAP875	RCFAQ258	RCFAS540	RCFW3792	RCFW5310	RCFW5311	RCFW7205	RCFW7206	RCFWA223	RCFWH312	RCFWP793	RCFWP851	RCFWP852	RCFWP853	RCFWP854	RCFWP855	RCFWP856	RCFWP857	RCFWP858	RCFWP859	RCFWP870	RCOA2170	RCOA3128	RCOA3792	RCOA5310	RCOA5311	RCOA7204	RCOA7205	RCOA7206	RCOA8274	RCOAA223	RCOAA224	RCOAB530	RCOAB596	RCOAH015	RCOAH036	RCOAH311	RCOAH313	RCOAH314	RCOAJJ29	RCOAJJ30	RCOAJJ31	RCOAJJ32	RCOAKW00	RCOAKW03	RCOAKX77	RCOAKX78	RCOAKX79	RCOAKX80	RCOAKX81	RCOAKX82	RCOAKX83	RCOALB58	RCOALB59	RCOALB60	RCOALB61	RCOALE74	RCOANC99	RCOAP742	RCOAP793	RCOAP838	RCOAP839	RCOAP840	RCOAP841	RCOAP842	RCOAP843	RCOAP844	RCOAP846	RCOAP847	RCOAP848	RCOAP849	RCOAP850	RCOAP852	RCOAP857	RCOAP858	RCOAP859	RCOAP860	RCOAP861	RCOAP862	RCOAP863	RCOAP864	RCOAP865	RCOAP866	RCOAP867	RCOAP868	RCOAP870	RCOAP872	RCOAP875	RCOAQ258	RCOAS540	RCOWH312	
593249																																																																																						53734	2984	2984	9.9776%	21.7645%	20.5559%	50750	246888	508638	-17230	0			13.7645%							26412	509200								0	0	0		0		24900	20.5559%	1	0	34082	344	218	0	-17230	0	0	0		0	50750	0	0	50750	0	0	0	0	0	0	0	0	0	2984	0	562	0			
593333																																																																																						11509	914	914	7.9862%	11.0212%	10.1459%	10595	104426	132666	-2701	0			3.0212%							8165	132666								0	0	0		0		2430	10.1459%	1	0	7894	0	0	0	-2701	0	0	0		0	10595	0	0	10595	0	0	0	0	0	0	0	0	0	914	0	0	0			
593771																																																																																						1353	106	106	11.1062%	16.1533%	14.8878%	1247	8376	11228	0	0			8.1533%							-6011	11228								0	0	0		0		7258	14.8878%	1	0	1247	0	0	0	0	0	0	0		0	1247	0	0	1247	0	0	0	0	0	0	0	0	0	106	0	0	0			
593940																																																																																				87496	0				13.1306%			12306		93720	-5264	0										11033	93809	0	0.0000%	2550	0	0	2550	2.9144%	0	0	0	0	1		1362		1	0	7131	0	0	89	-5264	0	0	0		0	12306	0	0	12306	0	0	0	0	0	0						89	0	0		
594433																																																																																				2442888	0				10.7013%			273065		2551706	-220451	0										173758	2578548	0	0.0000%	255796	0	70483	326279	13.3563%	0	0	0	0	1		126149		1	0	79456	25435	1407	0	-220451	0	0	0		0	273065	0	0	273065	0	0	0	0	0	0						26842	0	29841		
594451																																																																																						114591	10059	10059	9.3312%	12.3769%	11.2904%	104532	925846	1120246	-7651	0			4.3769%							-2044	1121133								0	0	0		0		107463	11.2904%	1	0	97768	755	132	0	-7287	0	0	-364		0	104532	0	0	104532	0	0	0	0	0	0	0	0	0	10059	0	887	0			
594853																																																																																						140193	9303	9303	8.8012%	12.1928%	11.3837%	130890	1149806	1487189	-40876	0			4.1928%							102606	1492628								0	0	0		0		33723	11.3837%	1	0	95453	5241	198	0	-40876	0	0	0		0	130890	0	0	130890	0	0	0	0	0	0	0	0	0	9303	0	5439	0			
594938																																																																																						52067	2420	2420	9.1208%	15.4381%	14.7206%	49647	337262	544327	-19114	0			7.4381%							44847	544327								0	0	0		0		4800	14.7206%	1	0	30533	0	0	0	-19114	0	0	0		0	49647	0	0	49647	0	0	0	0	0	0	0	0	0	2420	0	0	0			
594947																																																																																						372312	22680	22680	9.9266%	11.7493%	11.0336%	349632	3168802	3522168	-15566	0			3.7493%							201464	3649203								0	0	0		0		275203	11.0336%	1	0	461101	110206	16829	0	-15566	0	0	0		0	349632	0	0	349632	0	0	0	0	0	0	0	0	0	22680	0	127035	0			
595270																																																																																						3245835	178827	178827	8.8071%	18.1435%	17.1439%	3067008	17889786	34824420	575160	34509			10.1435%							2942909	34922885								0	0	0		0		188056	17.1439%	1	0	3706125	59916	3778	168	-218896	807932	0	-13876		95	3067008	0	0	3067008	0	0	0	0	0	0	0	0	0	178827	0	63956	0			
