"IDRSSD"	RCONFT04	RCONFT05	RCONHT81	RCONHT82	RCONHT86	RCONL191	RCONL192	RCONM288	RIADHT85	
	PRINCIPAL AMOUNT OF 1-4 FAMILY RESID	QUARTER END AMOUNT OF 1-4 FAMILY RES	Retail originations during the quart	Wholesale originations and purchases	Repurchases and indemnification of 1	REP AND WARRNTY TO US GOVT AGCY	REP AND WARRNTY TO OTHR PARTIES	REP WARRNTY TO US GOVT AGCY TOTAL	Noninterest income for the quarter f	
90337	0	0	0	0	0	CONF	CONF	0	0	
90579						CONF	CONF			
91615						CONF	CONF			
91754	0	0	0	0	0	CONF	CONF	0	0	
91950						CONF	CONF			
92144						CONF	CONF			
92676						CONF	CONF			
92706						CONF	CONF			
92902						CONF	CONF			
93244						CONF	CONF			
93543						CONF	CONF			
93619						CONF	CONF			
94139						CONF	CONF			
94522	3540	0				CONF	CONF			
94755						CONF	CONF			
94858						CONF	CONF			
95051	24309	136324	751	2878	0	CONF	CONF	0	4424	
95677						CONF	CONF			
96553						CONF	CONF			
97055						CONF	CONF			
97279						CONF	CONF			
97457						CONF	CONF			
97804						CONF	CONF			
97943						CONF	CONF			
98351						CONF	CONF			
98463						CONF	CONF			
98717	0	0	0	0	0	CONF	CONF	0	0	
99143						CONF	CONF			
99376	5865	1210	6191	0	0	CONF	CONF	450	555	
99442						CONF	CONF			
99536						CONF	CONF			
99853						CONF	CONF			
100236						CONF	CONF			
100357						CONF	CONF			
100562	7902	225	6281	0	0	CONF	CONF	0	462	
100777						CONF	CONF			
100843						CONF	CONF			
101037						CONF	CONF			
101439						CONF	CONF			
101671						CONF	CONF			
101738						CONF	CONF			
101952						CONF	CONF			
102333						CONF	CONF			
102342						CONF	CONF			
102557						CONF	CONF			
102874						CONF	CONF			
103134						CONF	CONF			
104234						CONF	CONF			
104542						CONF	CONF			
104971						CONF	CONF			
105026						CONF	CONF			
105473						CONF	CONF			
105530						CONF	CONF			
106359						CONF	CONF			
106452						CONF	CONF			
106676						CONF	CONF			
107244	0	0	0	0	0	CONF	CONF	0	0	
107570						CONF	CONF			
107758						CONF	CONF			
108072						CONF	CONF			
108269						CONF	CONF			
108652						CONF	CONF			
108746						CONF	CONF			
108951	7542	851				CONF	CONF			
109136						CONF	CONF			
109154						CONF	CONF			
109453						CONF	CONF			
109574						CONF	CONF			
109659						CONF	CONF			
110413						CONF	CONF			
110936						CONF	CONF			
110945						CONF	CONF			
110972						CONF	CONF			
111157	0	0	0	0	0	CONF	CONF	0	0	
111205						CONF	CONF			
111942						CONF	CONF			
111979						CONF	CONF			
112163	17005	1260	15109	0	0	CONF	CONF	0	321	
112332						CONF	CONF			
112510						CONF	CONF			
112556						CONF	CONF			
112837	0	0	0	0	0	CONF	CONF	0	0	
113003						CONF	CONF			
113030						CONF	CONF			
113441						CONF	CONF			
113601						CONF	CONF			
113740	10325	1981	7242	0	0	CONF	CONF	0	365	
114149						CONF	CONF			
114260	8860	4689	11819	0	0	CONF	CONF	0	585	
114457						CONF	CONF			
114774	5907	488				CONF	CONF			
114840						CONF	CONF			
114859						CONF	CONF			
115146						CONF	CONF			
115575						CONF	CONF			
116358						CONF	CONF			
116554	8004	583				CONF	CONF			
116741						CONF	CONF			
117038	0	0	0	0	0	CONF	CONF	0	0	
117074						CONF	CONF			
117458						CONF	CONF			
117775	0	0	0	0	0	CONF	CONF	0	0	
118156						CONF	CONF			
118660						CONF	CONF			
118736						CONF	CONF			
119153						CONF	CONF			
119779						CONF	CONF			
119872						CONF	CONF			
120476						CONF	CONF			
120542						CONF	CONF			
120609						CONF	CONF			
120953						CONF	CONF			
121642	44780	8357	47764	0	0	CONF	CONF	0	687	
121651						CONF	CONF			
121914						CONF	CONF			
122153						CONF	CONF			
122546						CONF	CONF			
122854	50989	16576	56152	0	0	CONF	CONF	0	1106	
123075						CONF	CONF			
123374						CONF	CONF			
124344						CONF	CONF			
124830						CONF	CONF			
125154						CONF	CONF			
125855	8316	382				CONF	CONF			
125873						CONF	CONF			
126012						CONF	CONF			
126049						CONF	CONF			
126375						CONF	CONF			
126553	22953	5351	25083	0	0	CONF	CONF	0	0	
126834						CONF	CONF			
127055						CONF	CONF			
127224						CONF	CONF			
128258						CONF	CONF			
128904	9056	3068	7608	0	0	CONF	CONF	0	-20	
129349						CONF	CONF			
129358	20301	3324				CONF	CONF			
129479	12750	2552				CONF	CONF			
129732	0	0	0	0	0	CONF	CONF	0	0	
129853						CONF	CONF			
129910	3358	1779				CONF	CONF			
130345						CONF	CONF			
130541	23887	2409	20489	0	0	CONF	CONF	0	1498	
131436	0	0	0	0	0	CONF	CONF	0	0	
131717	0	0	0	0	0	CONF	CONF	0	0	
131940						CONF	CONF			
132107						CONF	CONF			
132451						CONF	CONF			
132778						CONF	CONF			
132938						CONF	CONF			
133579	0	0	0	0	0	CONF	CONF	0	8	
133850	18119	4233				CONF	CONF			
133971						CONF	CONF			
134156						CONF	CONF			
134437						CONF	CONF			
134455						CONF	CONF			
134848						CONF	CONF			
135836						CONF	CONF			
135854						CONF	CONF			
136048						CONF	CONF			
136338						CONF	CONF			
136459						CONF	CONF			
136655						CONF	CONF			
137205						CONF	CONF			
137447						CONF	CONF			
137456						CONF	CONF			
137559						CONF	CONF			
137643						CONF	CONF			
137652	180963	55102	185038	111	454	CONF	CONF	589	13618	
137915	913	45	948	0	0	CONF	CONF	0	0	
138051						CONF	CONF			
138257						CONF	CONF			
138556						CONF	CONF			
139133						CONF	CONF			
139478						CONF	CONF			
139553						CONF	CONF			
139656	3092	648	3391	0	241	CONF	CONF	0	122	
139740						CONF	CONF			
139843	7866	1659	7655	0	0	CONF	CONF	0	307	
140157						CONF	CONF			
140362	0	0	0	0	0	CONF	CONF	0	0	
140634						CONF	CONF			
141211						CONF	CONF			
141350						CONF	CONF			
141556						CONF	CONF			
141677						CONF	CONF			
141958						CONF	CONF			
142049						CONF	CONF			
142179						CONF	CONF			
142955						CONF	CONF			
143372						CONF	CONF			
143662	155067	49338	131744	0	9590	CONF	CONF	200	7816	
143859						CONF	CONF			
143952						CONF	CONF			
144034	8326	2633				CONF	CONF			
144052						CONF	CONF			
144155						CONF	CONF			
144678						CONF	CONF			
144856						CONF	CONF			
144913						CONF	CONF			
145059						CONF	CONF			
145545						CONF	CONF			
145554						CONF	CONF			
