"IDRSSD"	RCONK123	RCONK124	RCONK125	RCONK126	RCONK127	RCONK128	RCONK130	RCONK131	RCONK132	RCONK138	RCONK139	RCONK140	RCONK213	RCONK214	RCONK215	RCONK216	RCONK217	RCONK218	RCONK257	RCONK258	RCONK259	RCONK274	RCONK275	RCONK276	RCONK277	RCONK278	RCONK279	RCONK280	RCONK281	RCONK282	RCONL183	RCONL184	RCONL185	RCONL186	RCONL187	RCONL188	
	LN RSTR CMRL IND LN NUS ADR PD 30 - 	LN RSTR CMRL IND LN NUS ADR PD 90	LN RSTR CMRL IND LN NUS ADR NACRL	LN RSTR ALL OTHR LN LEASE PD 30 - 89	LN RSTR ALL OTHR LN LEASE PD 90	LN RSTR ALL OTHR LN LEASE NACRL	ITEMIZE LN FARM PD 30 - 89	ITEMIZE LN FARM PD 90	ITEMIZE LN FARM NACRL	ITEMIZE LN FINANCE AGRI FARM PD 30 -	ITEMIZE LN FINANCE AGRI FARM PD 90	ITEMIZE LN FINANCE AGRI FARM NACRL	AUTO LN TO IND HH FAM PD 30 - 89	AUTO LN TO IND HH FAM PD 90	AUTO LN TO IND HH FAM NONACCRUAL	OTHR LN TO IND HH FAM PD 30 - 89	OTHR LN TO IND HH FAM PD 90	OTHR LN TO IND HH FAM NONACCRUAL	LN RSTR CMRL IND LN PD 30 - 89	LN RSTR CMRL IND LN PD 90	LN RSTR CMRL IND LN NACRL	CREDIT CARD LN HOUSE FAMILY PD 30 - 	CREDIT CARD LN HOUSE FAMILY PD 90	CREDIT CARD LN HOUSE FAMILY NACRL	ITEMIZE AUTO LN HOUSE FAMILY PD 30 -	ITEMIZE AUTO LN HOUSE FAMILY PD 90	ITEMIZE AUTO LN HOUSE FAMILY NACRL	OTHR CNSMR LN HOUSE FAMILY PD 30 - 8	OTHR CNSMR LN HOUSE FAMILY PD 90	OTHR CNSMR LN HOUSE FAMILY NACRL	PURCH CREDIT IMPR LN BAL PD 30 - 89	PURCH CREDIT IMPR LN BAL PD 90	PURCH CREDIT IMPR LN BAL NACRL	PURCH CREDIT IMPR LN CARRY PD 30 - 8	PURCH CREDIT IMPR LN CARRY 90	PURCH CREDIT IMPR LN CARRY NACRL	
49951													0	0	0	3	0	0																			
50144													21	8	0	50	17	9													0	0	0	0	0	0	
50461				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
51253	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	22	18	0	0	0	0	0	0	0	0	0	0	0	0	0							
51356				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
51459													0	0	0	2	0	1																			
51842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
52719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
52951													349	0	210	450	31	323																			
53051													0	0	3	0	0	0																			
54058	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	32	4	1	0	0	0	0	0	0	0	0	0	0	0	0							
54656	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	43	0	5	0	0	0	0	0	0	0	0	0	0	0	0							
54973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3219	0	1895	0	0	0	0	0	0	0	0	0	0	0	0							
55336													0	0	0	41	0	0																			
55635													17	0	0	0	0	0																			
55653													54	18	0	0	0	0																			
55970													0	0	0	0	0	0																			
56258													0	0	0	0	0	0																			
56351	0	0	0	0	0	2167	0	0	0	0	0	0	314	0	0	326	9	0	0	0	0	0	0	0	0	0	0	0	0	0							
56548													0	0	0	0	0	0																			
56717													0	0	0	11	0	26																			
57040				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
57451													0	0	0	5	0	26																			
58225													58	0	26	23	0	6																			
58243	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
58355													0	0	0	0	0	0																			
58551													180	1	15	1	2	0																			
58636													591	0	211	139	0	31																			
58757													0	0	0	0	0	0																			
58971	0	0	0	0	0	0	0	0	0	0	0	0	66	0	60	378	0	32	0	0	0	0	0	0	0	0	0	0	0	0							
59316													791	0	222	18	0	0																			
59352													0	0	0	0	0	0																			
59370													0	0	0	595	0	170																			
59754													21	0	17	0	0	0																			
60143							0	0	0																												
60330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	0	5	0	0	0	0	0	0	0	0	0	0	0	0							
60545													40	0	0	97	31	5																			
60554													0	0	0	0	0	0																			
60648													11	0	3	2	0	3																			
61122	0	0	0	0	0	0	0	0	0	0	0	0	184	0	0	289	41	22	0	0	0	0	0	0	0	0	0	0	0	0							
61355													18	14	0	9	0	0																			
61476													0	0	0	2	0	0																			
61757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
61832													0	0	0	0	0	0																			
61953													0	0	0	0	0	0																			
62044													0	0	0	0	0	0																			
62110													0	0	0	0	0	0																			
62147													8	0	0	0	0	0																			
63050													472	17	66	0	0	0																			
63069							0	0	0																												
63201													3	0	0	115	0	0																			
63573													0	0	0	0	0	0																			
63733	0	0	0	44	0	55	0	0	0	3	0	0	168	0	97	1551	594	126	0	0	7	0	0	0	0	0	0	41	0	55							
64150													0	0	0	0	0	0																			
64552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
64730													6	0	0	15	0	0																			
65205													0	0	0	13	0	9																			
65513							0	0	0																												
65559	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
65858													104	0	6	71	0	38																			
66154													0	0	0	42	0	5																			
66275													59	0	2	2	2	0																			
66677				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
67142													0	0	0	0	0	0																			
67151													0	0	0	0	0	0																			
67209													0	0	0	594	0	245																			
67254													0	3	0	0	0	0																			
67656	0	0	0	0	0	895	0	0	0	0	0	0	0	0	0	7	0	3	0	0	66	0	0	895	0	0	0	0	0	0							
67870													0	0	0	5	0	0																			
68671													0	0	0	12	0	0																			
68756	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
68831													0	0	0	0	0	0																			
69333	0	0	0	0	0	0	0	0	0	0	0	0	291	0	35	108	4	6	0	0	0	0	0	0	0	0	0	0	0	0							
69678													0	0	0	23	0	0																			
70218				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
70414													42	20	0	30	1	0																			
70638													175	0	77	399	0	464																			
70955													0	0	0	6	17	0																			
71073													0	0	0	0	0	0																			
71457													0	0	0	0	0	0																			
71859													0	0	0	0	0	0																			
72258													0	0	0	0	0	0																			
72351													2	0	9	6	0	0																			
72454													15	0	0	5	0	0																			
72678													120	0	54	84	0	65																			
73116													0	0	0	2	0	0																			
73152													0	0	0	18	3	0																			
73554													14	11	6	0	0	0																			
73956													0	0	0	0	0	0																			
74056													0	0	0	0	0	0																			
74140	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
74403	0	0	0	0	0	0	0	0	0	0	0	0	118	0	11	247	0	577	0	0	0	0	0	0	0	0	0	0	0	0							
74449													0	0	0	1	0	0																			
75259													0	0	0	0	0	0																			
75446													111	2	0	38	3	0																			
75455													19	0	14	4	0	18																			
75633							0	0	4669																												
75651													44	0	21	0	12	0																			
76153				0	0	0	0	0	0	0	0	0	131	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
76443													0	0	0	31	0	20																			
76854													0	0	0	27	0	0																			
77150				0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
77253													51	0	0	59	0	39																			
77422													0	0	0	0	0	0																			
77851	0	0	0	0	0	0	0	0	0	0	0	0	18	0	45	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0							
78157													26	0	0	5	0	0																			
78241													62	0	31	36	2	0																			
78559													0	0	0	0	0	0																			
79042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
79127													30	0	82	95	0	111																			
79145													0	0	0	0	0	0																			
79257													0	0	0	0	0	0																			
79855													0	0	0	195	96	0																			
80150													34	0	3	42	69	27																			
80374													0	0	0	0	0	0																			
80431													16	0	20	53	0	72																			
81175													0	0	0	0	0	0																			
82033													0	0	0	0	0	0																			
82257													0	0	0	0	0	0																			
82350													69	0	0	20	0	5																			
83151													0	0	0	0	0	0																			
83375													0	0	0	98	12	0																			
83638							0	0	0																												
83834													0	0	0	0	0	0																			
83852													0	0	0	6	4	0																			
83955													22	0	13	137	0	0																			
84046													0	0	0	0	0	0																			
84541													1	0	2	89	45	8																			
85052													0	0	0	0	0	0																			
85472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
85931													0	0	0	0	0	0																			
86349													107	0	23	166	0	90																			
86675													0	0	0	2	30	0																			
87047													0	0	0	0	0	0																			
87234													0	0	0	4	0	0																			
87476													0	0	5	0	0	0																			
87579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
88231													0	0	0	0	0	0																			
88259													0	0	0	3	0	0																			
88352				0	0	0	0	0	0	0	0	0	110	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
88455													26	6	25	0	0	0																			
88950													0	0	0	9	0	0	1																		
89032													0	0	0	46	0	0																			
89135													0	0	0	0	0	0																			
89854													0	0	0	0	0	0																			
89957													0	0	0	0	0	0																			
90047													32	26	0	50	0	8																			
90177													0	0	0	9	0	0																			
90328													0	0	0	14	0	0																			
90337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
90579													0	0	0	0	0	0																			
91615													8	0	0	18	0	3																			
91754	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	69	0	0	0	0	28	0	0	0	0	0	0	0	0	0							
91950													0	0	0	3	0	0																			
92144													17	0	0	0	0	0																			
92676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
92706													0	0	0	82	32	0																			
92902													43	0	0	64	2	62																			
93244													28	0	0	0	0	3																			
93543													41	0	16	38	0	0																			
93619							0	0	0																												
94139													147	0	26	16	0	71																			
94522													44	7	0	35	3	0	0	0	0																
94755													47	0	28	6	0	36																			
94858													0	10	0	142	0	0																			
95051	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	669	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
95677													0	0	0	14	0	0																			
96553													0	0	0	59	21	0																			
97055													0	0	0	0	0	0																			
97279													37	0	38	0	0	15																			
97457													0	0	5	0	0	19																			
97804													0	0	0	0	0	0																			
97943													12	10	0	11	1	0																			
98351													0	0	0	0	0	0																			
98463													0	0	0	0	0	0																			
98717				0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
99143													68	36	47	221	3	10																			
99376	0	0	0	0	0	0	0	0	0	0	0	0	307	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
99442													624	28	0	187	0	26																			
99536													9	0	0	123	17	30																			
99853													27	0	13	27	1	58																			
100236													10	0	0	0	0	0																			
100357													0	0	0	30	0	0																			
100562	0	0	0	0	0	0	0	0	0	0	0	0	169	0	133	11	0	6	0	0	76	0	0	0	0	0	0	0	0	0							
100777													0	0	0	0	0	0																			
100843													217	0	97	62	0	15																			
101037													0	0	3	59	0	0																			
101439													140	0	6	154	7	31																			
101671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	15	2	0	0	0	0	0	0	0	0	0	0	0	0							
101738													767	21	0	475	201	0																			
101952													0	0	3	0	0	0																			
102333													1	0	45	0	0	0																			
102342													0	0	0	0	0	0																			
102557													0	0	0	0	0	0																			
102874				0	0	0	0	0	0				0	0	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0							
103134													0	0	0	0	0	8																			
104234													25	16	0	0	0	0																			
104542													194	0	19	46	0	7																			
104971													0	0	0	0	0	0																			
105026													79	5	0	17	2	2																			
105473													40	0	0	26	0	0																			
105530													9	0	2	10	0	1																			
106359	0	0	0	0	0	0	0	0	0	0	0	0	926	0	195	81	0	1	0	0	1400	0	0	0	0	0	0	0	0	0							
106452													0	0	0	0	0	0																			
106676													0	0	0	0	0	0																			
107244	0	0	0	0	0	0	0	0	0	0	0	0	28	0	11	3343	0	2344	0	0	0	0	0	0	0	0	0	0	0	0							
107570													108	0	0	104	0	73																			
107758													4	0	4	4	0	1																			
108072													8	0	0	23	0	6																			
108269													0	0	0	24	0	0																			
108652													17	0	25	3	0	5																			
108746													0	0	0	0	0	0																			
108951													0	0	0	0	0	0																			
109136													0	0	13	0	0	0																			
109154													0	0	0	0	0	0																			
109453													29	0	0	0	0	0																			
109574													0	0	11	0	0	0																			
109659													0	0	0	0	0	0																			
