"IDRSSD"	RCFD2143	RCFD2150	RCFD2651	RCFD3163	RCFD3164	RCFD3190	RCFD4088	RCFD6164	RCFD6165	RCFDA590	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFDJA29	RCFDJF76	RCFDK192	RCFDK193	RCFDK194	RCFN5513	RCON2143	RCON2150	RCON2651	RCON3163	RCON3164	RCON3190	RCON4088	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB569	RCONB570	RCONB571	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	RCONJA29	RCONJF76	RCONK192	RCONK193	RCONK194	RCONL133	RCONL135	RCONLG26	RCONLG27	RCONLG28	RCONLL57	RCONLL59	RCONLL60	RCONMM07	RCONMQ52	RCONN523	RCONN524	TE01N528	TE01N529	TE02N528	TE02N529	TE03N528	TE03N529	TE04N528	TE04N529	TE05N528	TE05N529	TE06N528	TE06N529	TE07N528	TE08N528	TE09N528	TE10N528	TEXT4087	
837840																														628	15	1003	0	0	12006	true	0	0	0	0	15	5193	2	0	false	0	10000	1003	1003	0	0	0	10000	0	0	0	0	10000	true	false		628		0	0			0	0	0	0	0	0			0																		unityms.bank	
837952																														0	0	0	0	0	0	true	0	0	0	0	0	185	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	2	0		0	0			0	0	0	0	0	0			0			FLINT HILLS BANK D/B/A BANK OF OSAGE CITY		FLINT HILLS BANK D/B/A HARTFORD STATE BANK		FLINT HILLS BANK D/B/A BANK OF BURLINGAME											secure.flinthillsbank.com	
837970																														0	42	4000	0	0	4000	true	42	0	0	0	0	546	0	0	false	0	0	4000	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0	1	true	0	0	0	0	0	0			0																		www.fifthdistrict.com	
838155																														0	0	0	0	0	0	true	0	0	0	0	0	1086	4	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	0	0		0	0			0	0	0	0	0	0	0	0	5	0																	www.peoples-state.com	
839068																														2396	0	0	2396	0	0	true	0	0	0	0	0	25186	3	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false		0		0	0			0	0	0	0	0	0			0																		https://www.securitystbk.com	
839246																														0	0	6750	0	0	6750	true	0	0	0	0	0	7874	3	0	false	0	0	6750	0	0	0	0	0	0	0	0	0	0	false	false		0		0	0			0	0	0	0	0	0			0																		www.bankcolumbia.com	
839255																														173	1000	0	173	0	0	true	1000	0	0	0	0	1160	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0			0	0	0	0	0	0			0																		www.fnbmwc.com	
839572																														3953	2422	70000	0	3953	270000	true	2368	0	0	0	54	258	0	3953	false	0	80000	70000	120000	0	0	0	80000	0	0	0	0	0	true	false	0	0		0	0	1	true	0	0	0	0	0	0			56	4444	www.mph.bank	mph.bank															www.libertysavingsbank.com	
839817																														573	0	750	573	0	750	true	0	0	0	0	0	585	1	0	false	0	0	750	0	0	0	0	0	0	0	0	0	0	true	false		0	0	0	0			0	0	0	0	0	0			0																		http://www.farmersandtradersbank.com	
839974																														0	0	663	0	0	11740	true	0	0	0	0	0	0	0	0	false	0	0	663	9077	2000	0	0	0	0	0	0	0	0	false	false	0	0		0	0	1	true	0	0	0	0	0	0			0																		www.grahamsl.com	
840019																														500	0	5000	500	0	12000	true	0	0	0	0	0	1147	1	0	false	0	0	5000	2000	5000	0	0	0	0	0	0	0	0	true	false	0	0		0	0			0	0	0	0	0	0			2		www.citizensinsuranceagency.com																www.citizensbankrb.com	
840251																														0	0	2000	0	0	2000	true	0	0	0	0	0	0	0	0	false	0	0	2000	0	0	0	0	0	0	0	0	0	0	false	false		0		0	0			0	0	0	0	0	0			9																		http://www.homebank-trust.com	
840354																														0	74	1850	0	0	4150	true	0	0	0	0	74	2349	2	0	false	0	2300	1850	0	0	0	0	2300	0	0	0	0	2300	true	false		0		0	0			0	0	0	0	0	0			0																		www.1stbago.com	
840363																														2999	0	50000	2999	0	50000	true	0	0	0	0	0	1417	1	0	false	0	0	50000	0	0	0	0	0	0	0	0	0	0	true	true	0	0		0	0			2	33	0	0	0	0			113																		www.fbsw.com	
840747																														0	1681	141300	0	0	181300	true	632	0	1049	0	0	6482	3	0	false	0	30000	141300	10000	0	0	0	30000	0	0	0	0	30000	true	false	0	0		0	0			0	0	0	0	0	0			70																		www.fsb1879.com	
841472																														417	0	3000	0	417	46500	true	0	0	0	0	0	2795	2	417	false	0	0	3000	21500	5000	17000	0	0	0	0	0	0	0	true	false	0	0		0	0			0	0	0	0	0	0			0		www.mutualsavingsindiana.com		www.mymsb.csinufund.com														www.mymsb.bank	
841753																														0	0	0	0	0	0	true	0	0	0	0	0	2384	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true		0		0	0			0	0	0	0	0	0			0																		www.mycitybank.com	
841838																														67	0	25000	0	67	25000	true	0	0	0	0	0	0	0	67	false	0	0	25000	0	0	0	0	0	0	0	0	0	0	true	false	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0																	www.thread.bank	
842376																														0	0	55654	0	0	189484	true	0	0	0	0	0	0	0	0	false	0	133830	55654	0	0	0	0	133830	0	0	0	0	133830	true	false		0		0	0			0	0	0	0	0	0			0																		www.wvsbank.com	
842460																														1072	11770	0	0	1072	0	true	0	0	0	0	11770	28718	12	1755	true	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true		0	0	0	0			4	112	0	0	0	0	0	0	580	9062																	www.lonestarnationalbank.com	
842853																														0	0	0	0	0	0	true	0	0	0	0	0	294	1	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false		0		0	0			0	0	0	0	0	0			4																		www.umbnl.com	
