"IDRSSD"	RCONG353	RCONG354	RCONG355	RCONG356	RCONG357	RCONG358	RCONG359	RCONG360	RCONG361	RCONG362	RCONG363	RCONG364	RCONG365	RCONG366	RCONG367	RCONG368	RCONG369	RCONG370	RCONG371	RCONG372	RCONG373	RCONG374	RCONG375	RCONHT50	RCONHT51	RCONHT52	RCONHT53	RCONHT54	RCONHT55	RCONHT56	RCONHT57	RCONHT58	RCONHT59	RCONHT60	RCONHT61	RCONK142	RCONK143	RCONK144	RCONK145	RCONK146	RCONK147	RCONK148	RCONK149	RCONK150	RCONK151	RCONK152	RCONK153	RCONK154	RCONK155	RCONK156	RCONK157	RCONMG95	
	SFP TPS ISS RE INV TRS HTM FV	SFP TPS ISS RE INV TR AFS AMRTZ COST	SFP TPS ISS RE INV TR AFS FV	SFP CORP & SIMILAR LN HTM AMRTZ COST	SFP CORP & SIMILAR LN HTM FV	SFP CORP & SIMILAR LN AFS AMRTZ COST	SFP CORP & SIMILAR LN AFS FV	SFP 1T4 RES MBS I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS I OR G GSE HTM FV	SFP 1T4 RES MBS I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS I OR G GSE AFS FV	SFP 1T4 MBS N I OR G GSE HTM AMRTZ	SFP 1T4 RES MBS N I OR G GSE HTM FV	SFP 1T4 MBS N I OR G GSE AFS AMRTZ	SFP 1T4 RES MBS N I OR G GSE AFS FV	SFP DVRS (MIXED) POOLS SFP HTM AMRTZ	SFP DVRS (MIXED) POOLS SFP HTM FV	SFP DVRS (MIXED) POOLS SFP AFS AMRTZ	SFP DVRS (MIXED) POOLS SFP AFS FV	SFP OTHR CLTRL REF ASSET HTM AMRTZ	SFP OTHR CLTRL REF ASSET HTM FV	SFP OTHR CLTRL REF ASSET AFS AMRTZ	SFP OTHR CLTRL REF ASSET AFS FV	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	US government agency obligations (ex	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Mortgage backed securities (MBS), Is	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	Asset-backed securities and structur	MBS CMRL PT SCTY GUAR FNMA HTM AMTRZ	MBS CMRL PT SCTY GUAR FNMA HTM FV	MBS CMRL PT SCTY GUAR FNMA AFS AMTRZ	MBS CMRL PT SCTY GUAR FNMA AFS FV	MBS CMRL PT SCTY OTHR HTM AMTRZ	MBS CMRL PT SCTY OTHR HTM FV	MBS CMRL PT SCTY OTHR AFS AMTRZ	MBS CMRL PT SCTY OTHR AFS FV	MBS CMRL OTHR CMRL GUAR FNMA HTM AMT	MBS CMRL OTHR CMRL GUAR FNMA HTM FV	MBS CMRL OTHR CMRL GUAR FNMA AFS AMT	MBS CMRL OTHR CMRL GUAR FNMA AFS FV	MBS CMRL OTHR CMRL OTHR CMRL HTM AMT	MBS CMRL OTHR CMRL OTHR CMRL HTM FV	MBS CMRL OTHR CMRL OTHR CMRL AFS AMT	MBS CMRL OTHR CMRL OTHR CMRL AFS FV	Amortized cost of available-for-sale	
303747																								1499	1409	6805	5693	0	0	2782	2351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
303952																								0	0	58423	52377	0	0	2179	1952	0	0	0	0	0	0	3148	2787	0	0	0	0	0	0	2906	2568	0	0	0	0		
304173																								0	0	21434	19630	0	0	85781	73971	0	0	474	398	0	0	33769	29028	0	0	0	0	0	0	23987	18765	0	0	0	0		
304520																								0	0	2743	2768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
304575																								0	0	0	0	0	0	521	510	0	0	0	0	0	0	12	12	0	0	0	0	0	0	0	0	0	0	0	0		
304762																								0	0	4471	4462	0	0	6641	6604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
304913																								0	0	0	0					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
305059																								0	0	7157	6765	0	0	9463	8826	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
305077																								0	0	6397	6258	0	0	21750	19146	0	0	508	455	861	726	9129	8584	0	0	0	0	0	0	783	782	0	0	0	0		
305237																								0	0	22271	22032	0	0	17160	15538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
305442																								0	0	3000	2439	0	0	36062	31197	0	0	3573	3513	0	0	13356	11442	0	0	0	0	0	0	12306	10011	0	0	0	0		
306056																								0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
306159																								0	0	997	953					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
306337																								0	0	496	452	0	0	27595	24472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
306908																								0	0	26945	26223	0	0	8572	7798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
307062																								0	0	211116	196385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
307334																								0	0	10877	9747	0	0	9083	8199	0	0	10114	10074	0	0	4376	4269	0	0	0	0	0	0	689	662	0	0	0	0		
307361																								0	0	10000	10000	0	0	18325	16597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
307679																								4668	4516	5304	5194	8049	7621	28286	27342	0	0	6716	6528	0	0	2669	2545	0	0	0	0	0	0	3690	3136	0	0	0	0		
308256																								3000	2834	2000	1962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
308340																								0	0	4706	4150	11	11	15487	13567	0	0	2040	1771	0	0	0	0	0	0	0	0	0	0	11027	8840	0	0	0	0		
308836																								0	0	25000	24549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
309150																								0	0	4499	4378	0	0	12779	11774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
309655																								0	0	479	468	0	0	23448	21904	0	0	34441	34266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
