"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON5590	RCON6648	RCON6810	RCON6835	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	RCONHK05	RCONHK06	RCONHK07	RCONHK08	RCONHK09	RCONHK10	RCONHK11	RCONHK12	RCONHK13	RCONHK14	RCONHK15	RCONJ473	RCONJ474	RCONJH83	RCONK220	RCONK222	RCONK223	RCONMT87	RCONMT88	RCONMT89	RCONMT90	RCONMT91	RCONMT92	RCONMT93	RCONMT94	RCONMT95	RCONP752	RCONP753	RCONP754	RCONP756	RCONP757	RCONP758	RCONP759	
1669	43802	0	45143	101129	0	195939	0	0	19071	0	164405	0	360	44008	27755	19856	10915	150206	164005	590	40	5115	10032	10032	18282	33785	6234	1541	51541	20615	17406	2629	255	32087	40905	0	9039	38021	0	0		0		9783		0		0	true							
1856	1012	0	1931	4493	0	7816	0	0	0	0	30537	0	1876	3057	4440	13267	0	5885	17791	0	10870	0	0	0	2498	11234	142	19	13732	259	2105	0	0	9454	2364	0	0	2364	0	0		0		0		0		0	false							
2161	30782	0	67089	161224	0	164320	0	0	29833	0	161224	0	11904	25528	35867	67914	5386	97231	149320	0	0	0	29833	0	14905	7904	18356	467	7977	0	9311	11585	0	5765	20896	53224	0	9311	0	0		0		46742		0		46742	true							
2732	55632	0	9123	143973	0	194056	0	0	0	0	428875	4750	43919	52042	27759	140912	10117	184933	379715	0	491	3472	0	0	43705	40960	6176	432	84665	54099	80175	6784	0	63514	141058	22541	0	134274	0	0		0		0		0		0	true							
2750	14461	0	4287	9456	0	20790	0	0	0	0	33519	0	8181	10263	5977	857	2037	16503	25338	0	0	1261	0	0	3230	9526	1240	63	12060	813	3327	0	0	8082	4140	0	0	3546	0	0		0		0		0		0	true							
3252	19719	0	129044	61785	0	172298	0	0	11009	0	111612	0	43784	167764	10012	18640	5848	43254	65637	0	2191	0	11009	11009	14082	18185	3833	1284	32197	26445	8693	731	0	27372	35869	5337	0	35138	1850	0		0		4837		0		4837	false							
3458	4488	0	3045	10988	0	17356	0	0	1314	0	54327	0	7499	8126	16878	5751	762	14311	46828	0	0	0	1314	1314	7275	19341	7741	156	25552	1586	5056	2934	0	17635	9576	0	0	6642	0	0		0		0		0		0	true							
3720	63242	0	43336	95003	0	201794	0	0	0	0	137233	0	12581	52034	20344	13303	6158	158458	124652	0	0	2492	0	0	5852	32371	626	0	38138	5290	16549	0	0	18505	21839	0	0	21839	0	0		0		0		0		0	true							
3971	111903	0	251	145997	0	243708	0	0	25032	0	607870	0	7147	4658	163525	137013	17377	243457	567597	0	33126	7736	25032	18078	24316	184837	63187	3120	209153	13315	53869	16310	0	111935	83494	0	0	67184	1094	0		0		0		0		0	true	117170	126287	88813	48200	90916	20987	
4156	25403	0	8421	43420	0	94538	0	0	0	0	133577	0	11587	15688	18343	45146	3172	86115	120008	2	1982	1596	0	0	19366	24344	4249	1060	43710	1755	9247	2021	987	30675	14010	13024	0	11002	1232	0		5536		0		0		5536	true							
4231	23194	0	34228	40321	0	80939	0	0	0	0	66129	0	3552	36207	12158	12666	11890	46711	62577	0	0	7681	0	0	2895	10617	7341	3635	13512	598	1825	2360	998	12330	5781	0	0	2423	0	0		0		0		0		0	true							
5069	23165	2	0	24204	0	26630	0	0	176383	0	323514	4750	1477	0	139764	41237	994	26628	279995	0	37292	740	176383	152995	32806	123472	22102	9748	156278	10377	48782	4523	7302	48364	70984	0	0	59159	2772	0		0		0		0		0	false							
5135	31158	0	61727	99262	0	197004	0	0	17508	0	272335	0	10390	61292	66381	44940	20054	135277	244437	0	17508	11542	17508	17508	36522	99302	4640	0	135824	21664	33075	1032	0	74083	55771	0	0	54739	0	0		0		0		0		0	true							
5210	340134	69	137141	500332	0	1041682	0	0	0	0	837193	0	48703	159878	132767	264907	53877	903922	788135	550	355	12270	0	0	43928	105048	35126	4915	146612	11379	27722	4034	0	56250	43135	60896	0	38232	0	0		0		50373		0		50373	true	104151	318238	154692	110215	312266	27868	
5461	357677	0	11358	89752	0	89752	0	0	0	0	618271	0	26206	22140	8001	209747	2942	78394	588832	0	3233	617	0	0	9942	12226	804	0	22168	11252	16624	0	0	14970	27876	136784	0	27876	0	0		0		136784		0		136784	true							
5751	16140	0	4839	43955	0	75804	0	0	21933	0	185894	0	42866	33975	16131	94273	5688	70965	140758	0	2270	2156	20363	744	8291	17198	8657	1004	25489	7767	11513	2176	18875	19019	40331	23337	1570	19280	448	0		0		19065		0		19065	true							
6039	45396	0	20854	169558	0	199279	0	0	0	0	197124	0	2158	17836	39060	33221	7392	178425	194966	0	0	1693	0	0	22265	53082	3363	705	75347	6570	32522	0	0	40355	39092	0	0	39092	99	0		0		0		0		0	true							
6329	136969	0	20726	556374	0	695468	0	0	112490	0	866524	0	95234	1052	94765	395938	11135	673257	765829	1485	5461	2802	112490	112490	71187	148028	14680	6222	219215	36049	52711	2398	2341	145352	93499	377073	0	88760	2137	0		0		335198		0		335198	true	148007	133538	0	395938	136967	2	
7009	0	0	0	111580	0	111580	0	0	0	0	355575	0	0	0	0	355575	1	111580	355575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81655		273920		0		0		0	false							
7045	37422	0	12148	34149	0	167098	0	0	0	0	104911	0	5206	0	16839	33451	7377	154950	99705	0	0	1181	0	0	7901	15398	5405	989	4346	1490	2856	0	0	12854	4346	0	0	4346	0	0		0		0		0		0	true							
7072	87167	11	2681	68139	0	94461	0	0	6804	0	278975	0	13420	9750	44470	68500	13475	91769	265555	0	0	4004	345	271	15305	50994	14822	1060	66298	4853	29570	3245	3459	37711	41127	0	3000	34422	250	0		0		0		0		0	true							
7456	25481	0	20067	27495	0	61184	0	0	0	0	55463	0	5961	22528	13881	0	2273	41117	49502	0	0	108	0	0	8040	12550	2278	95	20590	2007	5012	0	0	9082	7019	0	0	7019	0	0		0		0		0		0	true							
7634	12683	0	2020	17492	0	22801	0	0	0	0	53707	0	140	502	10053	2284	6524	20781	53567	0	0	4499	0	0	6813	13457	5016	1982	20270	3875	5459	1576	562	17215	11472	0	0	9334	0	0		0		0		0		0	false							
8462	1297	0	6777	37324	0	89871	0	0	0	0	71388	0	10335	15006	8429	8285	3415	82841	61053	253	0	1808	0	0	9184	9736	1490	0	18355	5309	35546	542	0	11981	41397	0	0	40855	0	0		0		0		0		0	true							
8631	18256	0	1410	22772	0	27618	0	0	0	0	40857	0	1747	2127	6408	2130	2259	26208	39110	0	0	1285	0	0	4423	7749	1032	183	12172	3244	3394	446	0	6979	7084	0	0	6638	0	0		0		0		0		0	true							
9357	152716	262	1244	50519	0	56886	0	0	1	0	393466	12375	0	0	718	234563	1135	55380	381091	0	0	336	1	1	838	781	392	225	1618	3627	325	0	0	1516	3952	19918	0	3952	0	0		0		19918		0		19918	true							
9553	22104	16	9615	29741	0	54739	0	0	4109	0	82373	0	3878	13004	18054	8711	6697	45108	77731	0	764	0	4109	0	10056	22197	4473	3656	32253	5739	4354	1083	0	22328	11176	0	0	10093	0	0		0		0		0		0	true							
9807	621518	0	50993	132426	0	212051	0	0	0	0	1985692	0	532563	145544	58403	922043	81548	161058	1453129	0	0	538	0	0	51722	88913	16867	20	140386	232539	51794	275	0	99120	284608	10900	0	282656	15859	0		0		0		0		0	true	8423	21475	526243	103740	351494	253415	
9955	38705	30	3653	43520	0	73665	0	0	0	0	105470	0	18865	19592	4484	54843	558	69982	86605	0	0	0	0	0	2017	4810	1414	318	6827	1011	2353	0	0	4075	3364	0	0	3364	0	0		0		0		0		0	true							
10250	249526	0	10747	43284	0	121543	0	0	0	0	510716	0	15942	4416	51111	121590	25299	109302	494525	1494	249	10261	0	0	40949	48463	18869	2165	89412	8185	15284	5299	388	59334	29156	72785	0	23469	739	0		0		36968		0		36968	true							
10849	99293	0	767	10693	0	16780	0	0	0	0	240592	0	49286	44436	34917	31266	7226	16012	191306	1	0	2525	0	0	19256	42191	11235	371	61447	3486	31914	1580	0	38136	36980	0	0	35400	0	0		0		0		0		0	false							
11145	59376	0	52098	98023	0	177443	0	0	11753	0	203437	0	16271	1996	42729	53513	9780	125345	187166	0	0	5813	11753	0	8154	32129	24465	1728	40283	5199	13148	5725	0	23748	24072	0	0	18346	0	0		0		0		0		0	true							
11640	22609	0	56033	92292	0	212994	0	0	0	0	125665	0	4118	45984	26408	18253	16760	156961	121547	0	0	9939	0	0	18430	21021	7332	5628	39268	11329	17171	2497	1394	26004	32391	0	0	28500	0	0		0		0		0		0	true							
11837	6793	0	65021	15416	0	96222	0	0	10039	0	50778	0	70	63257	9718	10213	2009	31201	50708	0	0	727	0	0	2203	6427	7415	2104	8630	0	14002	775	846	8431	15623	0	10039	14002	0	0		0		0		0		0	true							
12030	41880	0	41588	171098	0	218051	0	0	0	0	268385	0	1494	43082	69447	52263	16516	176463	266891	0	0	6085	0	0	32330	93007	9407	2750	125337	4486	30942	1320	0	68047	36748	0	0	35428	0	0		0		0		0		0	false							
12142	38658	0	19495	108230	0	177877	0	0	5998	0	116022	0	8611	23381	22587	14551	5814	158215	107411	167	0	1798	5998	5998	16262	26616	979	0	32469	8265	10384	307	0	21270	18956	0	0	18649	0	0		0		0		0		0	true							
12311	16313246	74	7246064	54196114	0	73901342	0	0	5582055	249	81622603	0	1499906	3750011	6537994	50184683	1383738	66643238	80113797	11966	8651	291862	5582055	5492263	3361822	8094430	338237	43957	11456252	1072564	2165269	46032	2363	5300452	3286228	4095145	0	3237833	0	114438	229	1817374	31	9225096	1054470	174154	833	5837130	true	10555570	15662004	29200452	18919425	343724	15959882	
12647	31238	0	3165	70173	0	76444	0	0	0	0	111176	0	7591	1000	8948	54415	2556	73279	103585	0	0	0	0	0	3961	8308	4206	0	12269	4648	3900	500	0	7527	9048	0	0	8548	0	0		0		0		0		0	true							
12946	149911	0	379364	579835	0	1150372	0	0	0	0	1343550	0	113321	269911	159493	570965	49048	769778	1229479	1230	750	23728	0	0	101830	213061	17141	4988	313811	105892	175837	3674	251	177528	285654	535206	0	281729	0	0		0		0		0		0	true	132482	42142	351079	116358	137612	12298	
13103	119820	0	154627	462216	0	905640	0	0	50000	0	1558200	0	314648	0	215162	804711	63718	750876	1242807	137	745	27729	50000	0	108696	211775	42346	10441	280451	107113	143124	8066	2108	158096	260411	51992	0	250237	0	0		0		0		0		0	true	48081	275597	342446	222147	56377	63443	
13251	5476	0	1661	11772	0	16841	0	0	0	0	39643	0	2893	3884	5982	23595	820	15180	36750	0	0	0	0	0	1272	5408	1607	0	6680	0	2285	0	0	2304	2285	0	0	2285	0	0		0		0		0		0	true							
13457	2566	0	422	5806	0	8887	0	0	0	0	13854	0	278	634	2692	2909	944	8465	13576	0	0	147	0	0	1688	3884	550	0	5572	0	2258	0	0	3429	2258	0	0	2258	0	0		0		0		0		0	false							
14155	34189	0	8094	151830	0	153462	0	0	0	0	158257	0	16256	24350	25242	51203	7559	143375	141752	1993	249	3658	0	0	21378	39249	2711	679	60626	2997	5324	528	0	38774	8849	55048	0	8321	0	0		0		35619		0		35619	true							
14650	7961	0	3250	15636	0	21158	0	0	0	0	50820	0	3106	3338	3625	25802	2135	17908	41011	0	6703	1444	0	0	1334	11962	768	221	13296	725	2046	0	0	10661	2771	0	0	2771	4231	0		0		0		0		0	true							
14753	24667	1	1263	20060	0	20060	0	0	0	0	35410	0	1016	1588	6267	0	2456	18796	34394	0	0	761	0	0	4466	5051	142	3	9517	806	0	275	0	3395	1081	0	0	806	0	0		0		0		0		0	false							
14865	149359	8	55993	503160	0	503160	0	0	0	0	272664	0	22009	50781	20123	74109	15632	447159	250045	0	610	6548	0	0	20734	17504	5811	673	33974	2932	1542	0	0	24599	4474	103349	0	1487	0	0		0		0		0		0	true							
14977	5492	0	0	13517	0	17367	0	0	0	0	27125	0	0	0	6012	1036	3866	17367	27125	0	0	1995	0	0	4757	10140	744	102	14897	2178	2676	0	0	9732	4854	0	0	4854	0	0		0		0		0		0	false							
16551	64112	0	14663	101456	0	164508	0	0	0	0	217950	0	10298	8487	59297	44597	26666	149845	207652	0	0	11687	0	0	26879	32101	24434	7393	58972	8175	5561	3268	1429	31510	18433	0	0	13736	0	0		0		0		0		0	true							
17110	0	0	0	0	0	0	0	0	0	0	119402	0	7126	0	14244	0	4991	0	112276	0	0	3340	0	0	55668	0	0	0	55668	63734	0	0	0	41424	63734	0	0	63734	0	0		0		0		0		0	false							
17147	1557195	0	1596793	2600919	0	8066720	0	0	628643	0	6855590	0	1154963	3257	931328	2959238	154771	6469077	5700627	850	0	40238	628643	548203	342381	1249649	116038	6941	1573144	168486	420021	35317	324	783681	624149	586872	0	588507	4608	0		0		0		0		0	true	270336	1722434	1074654	1263137	1032797	521156	
17259	14922	0	754	15022	0	20301	0	0	0	0	36254	0	2846	3101	8733	1017	4502	19547	33408	0	0	1989	0	0	3627	10360	1470	730	13987	847	3031	250	0	7454	4128	0	0	3878	0	0		0		0		0		0	false							
17950	118062	229	50805	194726	0	282728	0	0	5000	0	389289	850	77250	44542	45626	143972	18296	231694	305334	0	5855	8498	5000	5000	23528	57210	5975	1313	80738	15357	20159	2488	1224	42399	39228	44965	0	35516	0	0		0		31381		0		31381	true							
17978	52163	0	0	2204	0	43273	0	0	0	0	139256	0	1247	810	41419	2591	25531	43273	135349	0	2660	10878	0	0	14583	40889	6877	3669	55472	2763	15145	576	0	24599	18484	0	0	17908	0	0		0		0		0		0	true							
18050	123605	0	106047	318673	0	430023	0	0	0	0	429266	0	12503	106372	52196	90146	11819	323976	415436	0	1327	5283	0	0	39933	70075	7996	0	107680	23179	73026	1305	0	65809	97510	20321	0	95826	0	0		0		10178		0		10178	false							
18827	1157222	0	32542	64742	0	154809	0	0	20287	0	1683783	0	313858	300562	98287	270337	19602	121302	1368664	965	1261	5725	20287	0	60389	97202	35145	9395	157591	24131	26319	1879	1764	103844	54093	72626	0	50450	0	0		0		14409		0		14409	true	37788	12817	85665	184672	462707	458436	
18836	25864	0	7511	53395	0	73730	0	0	0	0	118470	0	14188	18852	29809	38121	12049	66219	103820	0	462	4773	0	0	12042	22558	13669	2330	31626	889	2715	282	0	20791	3886	3034	0	3604	0	0		0		251		0		251	true							
18854	152700	0	317244	902212	0	956174	0	0	273484	0	635258	0	12845	10947	36886	225781	5268	638930	573271	0	49142	1986	273484	273484	51192	107868	10030	620	159059	32038	33714	21315	0	132823	87067	530830	0	65752	49142	0		0		0		0		0	true	0	0	124679	101102	79890	5197	
19356	11776	0	5412	50175	0	51017	0	0	21194	0	69515	0	3289	6038	10389	10134	1503	36411	62737	9194	3489	442	0	0	5909	9857	5189	269	15162	6387	6293	3700	10000	10836	26380	0	9194	12680	0	0		0		0		0		0	false							
19936	23855	0	51555	91238	0	205182	0	0	0	0	198179	0	21358	62982	21696	113332	7547	153627	176821	0	0	2841	0	0	9667	28999	2387	2333	38666	4821	11883	901	0	21690	17605	0	0	16704	0	0		0		0		0		0	true							
19972	87254	0	0	0	0	0	0	0	0	0	87254	0	0	0	0	0	0	0	87254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0		0		0		0	false							
20053	20134	0	2891	32826	0	41071	0	0	17569	0	111353	0	1830	0	32499	28242	8435	38180	109523	0	0	2859	17569	2737	12049	17214	10212	10499	29263	6379	5472	1151	0	17476	13002	4344	0	11851	0	0		0		0		0		0	true							
20633	47029	0	19812	39339	0	142657	0	0	0	0	151520	0	13676	17759	28082	28568	10587	122845	137096	0	748	3658	0	0	4915	47129	3874	1480	52044	400	18125	0	0	29316	18525	24980	0	18525	0	0		0		21989		0		21989	true							
20857	54215	0	46473	163640	0	256340	0	0	0	0	297158	0	47526	90440	34351	142871	17065	209825	249632	42	0	3506	0	0	18266	34600	9220	1719	52866	14644	17066	3792	765	29454	36267	0	0	31710	0	0		0		0		0		0	true							
21256	1460	0	2688	3462	0	6577	0	0	0	0	3363	0	321	1521	375	461	1159	3889	3042	0	0	841	0	0	70	97	278	155	167	0	0	841	0	225	841	0	0	0	0	0		0		0		0		0	true							
21359	13457	0	2575	19121	0	28792	0	0	0	0	40165	0	3613	1160	3891	14485	4052	26217	36552	0	0	0	0	0	1338	3000	2191	166	4338	1500	1761	2267	0	2804	5528	0	0	3261	0	0		0		0		0		0	true							
21658	28883	3	6427	18408	0	92684	0	0	0	0	93732	0	1294	3868	34056	11115	14349	86254	92438	0	0	5880	0	0	5128	36078	4944	803	41172	1962	3925	560	334	12897	6781	0	0	5887	0	0		0		0		0		0	true							
22048	31080	0	19908	139123	0	139123	0	0	0	0	110391	0	10367	20795	20225	0	6755	118218	99788	997	236	3476	0	0	12685	32678	5494	7537	45363	5607	12837	2472	0	38170	20916	40998	0	18444	0	0		0		0		0		0	true							
22543	57801	0	22367	133733	0	177675	0	0	0	0	137667	0	8480	0	13556	38496	4117	154559	129187	749	0	1250	0	0	8059	23080	2852	570	31139	2470	3960	378	0	21006	6808	40089	0	6430	0	0		0		26284		0		26284	true							
22552	17829	0	3863	30459	0	47946	0	0	7273	0	60322	0	2893	2590	9807	8428	2039	44083	57429	0	0	0	7273	7024	3039	18165	4382	2807	21204	2521	3150	0	0	18586	5671	0	0	5671	0	0		0		0		0		0	true							
22730	44	0	37653	111396	0	134069	0	0	11	0	95898	0	23849	53431	11261	66575	1773	96416	72049	0	0	100	11	0	4526	11403	2740	1076	15445	3652	5882	0	0	8484	9534	0	0	9534	0	0		0		0		0		0	true							
23456	26853	0	10979	35281	0	127056	0	0	0	0	149845	0	14229	20542	46584	16740	13293	116077	135616	0	0	4251	0	0	19835	42374	17992	1003	62209	6209	15805	2774	259	34619	25047	0	0	22014	0	0		0		0		0		0	true							
23504	2335491	0	271757	3060128	0	3493420	0	0	898707	0	7069169	0	1793023	1520067	296644	3125996	132747	3221663	5276146	0	0	47735	898707	898707	591590	652021	81228	10047	1243611	97664	148459	25811	862	1038242	272796	746120	0	246123	0	0		0		837672		0		655737	true	1301848	122551	1004439	1438099	174366	1059947	
23643	16932	0	22593	49955	0	85837	0	0	8485	0	143436	0	16268	38478	25250	15311	6744	63244	127068	0	100	3799	5858	5114	13150	30838	12678	1121	43988	8246	37026	7626	508	32537	53406	0	2000	45272	0	0		0		0		0		0	true							
23755	74563	204	20050	73767	0	141035	0	0	0	0	139487	0	12598	21689	14344	20631	3499	120781	126889	0	0	743	0	0	5979	20172	8420	925	20376	2678	2788	3331	0	21152	8797	18448	0	5466	0	0		0		11464		0		11464	false							
24006	747395	7	71261	88525	0	116038	0	0	103917	0	1536414	0	44160	108542	264060	263993	60587	44770	1489754	0	2500	22956	103917	100710	110064	283926	16727	6076	393990	35123	68225	4546	339	152733	108233	0	0	103348	0	0		0		0		0		0	true	30167	13917	55639	161694	612826	134569	
24378	21376	0	0	13063	0	19234	0	0	0	0	42538	4	500	500	11576	1190	3863	19234	42034	0	0	955	0	0	999	8987	6198	2629	9985	0	583	576	0	7236	1159	0	0	583	0	0		0		0		0		0	false							
24659	39046	0	2358	31229	0	53482	0	0	0	0	49112	0	2650	2888	6213	693	3470	51124	46462	0	0	1506	0	0	3141	2680	1840	516	5046	694	504	0	0	1963	1198	0	0	504	0	0		0		0		0		0	true							
24949	50772	0	12032	136985	0	189746	0	0	0	0	248243	0	5117	7366	62232	85199	12060	177217	243126	497	0	2668	0	0	22766	46695	24516	650	69402	3649	6878	7118	0	32395	17645	15079	0	10527	0	0		0		12315		0		12315	true							
25357	369158	70	16844	14250	0	71200	0	0	0	0	481155	252	3667	14827	26468	29981	9015	54286	477236	0	0	5092	0	0	25998	30560	3834	4196	56558	8492	7552	974	411	38120	17429	0	0	16044	0	0		0		0		0		0	true							
25647	26716	70	0	51824	0	53608	0	0	0	0	269989	0	0	0	52055	69624	9714	53538	269989	0	0	5109	0	0	33317	66438	27076	823	99728	13700	21058	11237	0	75599	45995	0	0	34758	0	0		0		0		0		0	false							
26765	63249	0	149301	1179679	0	1448173	0	0	11334	0	1704165	0	34599	121853	61587	834879	12764	1296033	1664102	2839	5464	10358	11334	11334	80072	180840	9318	2644	260912	179749	332811	16532	4072	211287	533164	117832	0	512560	5230	0		0		74834		0		74834	true	94322	81929	192320	629131	62090	1159	
27070	135382	0	13707	169091	0	169091	0	0	41006	0	550240	0	40209	400	175453	93493	50922	154387	509878	997	153	19013	41006	41006	47347	178439	40072	1261	221057	16946	24822	12168	310	91666	54246	20485	0	41216	0	0		0		17084		0		17084	false							
27614	112430	0	29511	141497	0	262360	0	0	0	0	265965	0	29541	59051	51606	50323	875	232849	236424	0	0	875	0	0	33498	41852	8109	1676	74885	6441	0	11354	281	33529	18076	0	0	6441	0	0		0		0		0		0	true							
27847	74011	0	59435	147004	0	273091	0	0	1490	0	463625	0	26391	60045	114547	47479	38440	213407	432925	249	4309	20681	0	0	55079	196799	22134	711	251878	12149	50437	4827	0	160176	67413	52989	1490	62586	4074	0		0		15519		0		15519	true							
28013	866093	0	364651	251281	0	674058	0	0	100000	0	3259336	0	406639	736628	307643	1669520	47722	309407	2852697	0	0	14788	0	0	397133	198197	16035	14089	595330	48637	43651	3963	2018	317811	98269	0	0	92288	0	0		0		0		0		0	true	115343	194064	1508893	160627	861442	4651	
28152	45478	0	8232	57625	0	84207	0	0	264	0	124989	0	9373	10697	17465	44136	8554	75975	115366	0	250	2911	264	14	12487	14163	4116	628	21783	3147	834	0	0	13929	3981	6154	0	3981	0	0		0		0		0		0	true							
28675	19266	0	20040	52549	0	53682	0	0	93497	0	165157	0	14985	0	106307	23884	3430	33642	150172	0	0	1167	93497	79497	51632	41007	19438	458	92639	2165	4706	2097	504	6228	9472	0	0	6871	0	0		0		0		0		0	false							
28732	27736	0	2808	49895	0	58562	0	0	0	0	63642	0	2798	4218	7245	9720	3259	55754	60844	0	0	1494	0	0	4405	13813	560	0	18218	603	6430	376	0	11532	7409	0	0	7033	0	0		0		0		0		0	true							
29476	3381	0	5428	11242	0	29067	0	0	3269	0	61468	0	13520	10193	11364	3604	4019	23142	44216	497	3732	2358	0	0	22397	12269	4007	107	34566	10768	3532	1403	0	27417	15703	2537	3269	14300	10932	0		0		0		0		0	true							
29636	112693	0	36293	66538	0	160151	0	0	0	0	1010160	0	142430	148424	88343	650940	37022	123858	866981	0	749	19099	0	0	37053	105422	16138	5241	142475	12832	39592	17930	12319	75511	82673	92914	0	52424	0	0		0		87013		0		87013	false							
