"IDRSSD"	RCFD1410	RCFD1420	RCFD1460	RCFD1563	RCFD1590	RCFD1763	RCFD1764	RCFD1797	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFD5367	RCFD5368	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF158	RCFDF159	RCFDF160	RCFDF161	RCFDF162	RCFDF163	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCFDHK25	RCFDK098	RCFDK137	RCFDK163	RCFDK164	RCFDK165	RCFDK168	RCFDK203	RCFDK204	RCFDK207	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1763	RCON1764	RCON1766	RCON1797	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB534	RCONB535	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONGW45	RCONGW46	RCONGW47	RCONHK25	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RCONK098	RCONK137	RCONK158	RCONK159	RCONK160	RCONK161	RCONK162	RCONK163	RCONK164	RCONK165	RCONK166	RCONK168	RCONK203	RCONK204	RCONK207	RCONK256	RCONLE75	RCONLG24	RCONLG25	RIADG377	
88455																																																																175937	689		147297			40574	1476		8100	473708	0	0	144	17826	785	0	157786	1779	3811	1555	2443	7808	427	156531	21909	76707	97951	91688	11060				0	3					6047	0	48100	13074			0			0	0														192615	0	0	0	0		0	8596							0	3960	0	0	0	0	0			0	0	0	0	0	1244	0	0	CONF	CONF		
88950																																																																18987	1058		8837			17586	7796		0	115989	0	0	0	11299	946	0	20042	441	1155	4913	4240	519	0	5267	13312	20723	33831	28645	2914				0	0					0	12729	33989	1844			0			0	0														41875	0	0	0	0		0	0							0	574	0	0	0	0	0			0	0	0	0	0	344	0	0	CONF	CONF		
89032																																																															0	58	864		3909			12232	2610		0	80662	0	0	709	14729	110	663	25836	1434	1898	3809	7092	386	110	11808	14422	19181	17886	1527	1089				0	0					7073	11816	10738	10836			0			166	0														20548	0	0	0	218		0	9							0	584	0	0	0	52	0			0	0	0	0	0	5094	0	0	CONF	CONF		
89135																																																																3034	2115		758			4744	1323		52	68014	0	0	0	31975	260	21762	6736	260	6167	20592	2643	661	1434	668	7675	18463	7695	1209	0				0	0					5842	4214	4598	7186			0			107	0													0	16906	0	0	0	107		0	33							0	306	0	0	0	0	0			0	0		0	0	1574	0	0	CONF	CONF	0	
89854																																																																4957	7511		14235			22992	3054		37	182077	0	378	0	31921	2460	1131	48830	2034	3175	6176	15348	2885	2236	25858	17763	43565	56216	4712	2041				0	57					5879	12118	26041	48835			0			0	0													0	40908	0	0	0	0		0	84							0	317	0	0	0	0	0			0	0	0	0	0	1201	0	0	CONF	CONF	0	
89957																																																																4970	2796		444			11607	27		17	143130	0	0	0	42147	453	35076	22893	264	2451	2761	5170	4552	26874	25805	11535	21609	10436	12632	18459				0	0					13710	28959	9782	26212			0			0	0													0	137602	0	0	0	0		0	11							0	93	0	0	0	0	0			0	0		0	0	1902	0	0	CONF	CONF	0	
90047																																																															0	4377	0		1931			1716	0		0	21191	0	0	0	10844	94	0	3749	77	1325	3348	5760	298	0	1696	1285	1754	5251	346	5				0	0					91	0	0	352			0			0	0														0	0	0	0	0		0	35							0	912	0	0	0	0	0			0	0	0	0	0	839	0	0	CONF	CONF		
90177																																																																0	0		0			0	3236		0	285828	1534	0	0	277289	2635	12866	945	2691	8947	1385	2352	44922	216402	4402	1629	68	343	3578	34				0	0					464	2623	249	31			0			1045	107														53392	0	0	0	1045		0	0							0	0	0	0	0	0	0			0	0	0	0	0	835	0	1687	CONF	CONF		
90328																																																															0	23725	67277		2949			39624	49903		5043	779138	0	0	0	260330	2457	224149	49097	11069	12885	58402	92375	85110	28	107724	21374	120946	191517	74700	1493				0	911					11674	41447	116044	142389			0			1369	198														187850	0	0	0	1717		1000	7249							0	2009	0	0	0	64	0			272	272	0	0	0	5107	12	396	CONF	CONF		
90337																																																															0	263	6329	0	465	97969	0	97969	1643		0	471092	163	0	0	49699	1858	5738	192437	7207	3800	15182	21940	1338	0	150595	30835	87326	129812	21471	594	0	0	0	106	84	0				24509	72977	82653	129866	0	0	0			0	76	0	0	0	0	0	0	0	0	0	0	0	0		234211				0	0	0	0							0	207	0	0	0	0	0	0	0	0	0	0	0	0	2627	0	0	CONF	CONF		
