"IDRSSD"	RCFD0071	RCFD0081	RCFD1773	RCFD2130	RCFD2143	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFDJA22	RCFDJJ34	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON1773	RCON2130	RCON2143	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	RCONJA22	RCONJJ34	
956527																																							37212	4571	22358	0	0	2	0	5966	188842	163385	439	163824	0	4252	0	0	25018	1000	188842	0	0	24286	0	0	1144	0	40462	122923			0	113744	109492	-1412	0	0	0	0	25018	0	9241	
956554																																							19786	709	17924	0	0	854	0	315	110909	89276	224	89500	0	1000	0	0	21409	325	110909	0	0	19791	0	0	2620	0	32340	56936			0	69321	68321	-1327	0	0	0	0	21409	0	3000	
956750																																							27832	17071	275883	0	7811	52643	0	28631	803299	736700	3473	740173	0	4799	0	0	63126	2981	803299	0	0	38895	0	0	46805	0	363932	372768			0	398227	393428	-25555	0	0	0	0	63126	0	0	
956938																																							1347	17752	67124	0	268	17327	307	40965	1032203	883248	6753	936001	0	11797	46000	0	96202	2300	1032203	0	0	76516	0	0	24307	1458	236002	647245			0	785472	773675	-6921	375	0	0	0	96202	0	111605	
956956																																							2328	2461	61316	0	0	4972	0	14114	377509	310023	1080	359382	0	1604	48279	0	18127	200	377509	0	0	33993	0	0	575	0	108940	201083			0	187482	185878	-16641	0	0	0	0	18127	0	106440	
957757																																							95911	11224	104802	0	2210	5874	0	4279	405748	359178	2719	379473	0	1683	0	0	26275	490	405748	0	0	24107	0	0	11154	0	116037	243141			0	183070	181387	-9476	0	0	0	17576	26275	61	0	
958204																																							10116	6662	0	0	1052	24707	0	116100	2127072	1602753	48686	1978398	0	16770	326959	0	148674	0	2127072	0	0	193776	0	0	8230	0	410158	1192595			0	1627755	1610985	-53332	121	0	0	0	148674	1700	355629	
958231																																							20806	886	0	0	0	15	0	371	42235	31667	33	31700	0	54	0	0	10535	120	42235	0	0	9535	0	0	880	0	5056	26611			0	19714	19660	0	0	0	0	0	10535	0	497	
958558																																							14738	9974	129756	0	0	2798	0	13843	309306	265790	2278	268068	0	2530	0	0	41238	1000	309306	0	0	46687	0	0	1000	0	70850	194940			0	118746	116216	-7449	21981	0	0	0	41238	0	0	
958727																																							58272	54782	559100	10139	87860	39065	27	76113	3108528	2655262	16909	2760057	0	25342	25000	0	348471	3000	3108528	0	0	183835	0	0	216510	4048	888585	1766677			0	2244464	2219122	-54874	0	0	0	62886	348471	0	0	
958763																																							9486	1338	51751	0	0	4215	805	2956	145039	128536	719	129255	0	1334	0	0	15784	800	145039	0	0	20691	0	0	1000	0	48921	79615			0	74317	72983	-6707	1505	0	0	0	15784	0	0	
959304																																							134148	25167	856498	0	17253	63708	0	498227	8473791	6730124	229264	7581717	0	38593	587329	0	892074	10	8473791	278	0	496467	0	0	432974	0	828382	5901742			0	6832425	6793832	-37377	0	0	35000	0	892074	11346	73334	
959443																																							4168	7314	69531	0	0	5124	45	7920	295263	241163	1761	262760	0	4483	19836	0	32503	60	295263	0	0	31593	0	0	10640	0	37889	203275			0	200131	195648	-9790	5513	0	0	0	32503	0	0	
